№ строки	Название	Адрес	Телефон	Режим работы	Адрес головной организации	Тип объекта
1	Аптечный пункт. Государственное бюджетне учреждение здравоохранения города Москвы "Городская поликлиника № 127 Департамента здравоохранения города Москвы"	Затонная ул. 11 корп.2	(499) 616-22-11	Пн 08:00 - 20:00; Вт 08:00 - 20:00; Ср 08:00 - 20:00; Чт 08:00 - 20:00; Пт 08:00 - 20:00; Сб 09:00 - 18:00; Вс 09:00 - 16:00	ЗАО "Вилард"127473, Москва 1-ый Волконский переулок, д. 10, стр. 1	Аптечный пункт
2	Аптечный пункт. Государственное бюджетное учреждение здравоохранения города Москвы "Городская поликлиника № 166 Департамента здравоохранения города Москвы"	Домодедовская ул. 9	(495)343-35-55	Пн 08:00 - 20:00; Вт 08:00 - 20:00; Ср 08:00 - 20:00; Чт 08:00 - 20:00; Пт 08:00 - 20:00; Сб 09:00 - 18:00; Вс 09:00 - 16:00	ЗАО "Вилард"127473, Москва 1-ый Волконский переулок, д. 10, стр. 1	Аптечный пункт
3	Аптечный пункт. Государственное бюджетне учреждение здравоохранения города Москвы " Детская городская поликлиника № 110 Департамента здравоохранения города Москвы"	Декабристов ул. 39	(499) 404-92-70	Пн 08:30 - 19:00; Вт 08:30 - 19:00; Ср 08:30 - 19:00; Чт 08:30 - 19:00; Пт 08:30 - 19:00; Сб 09:00 - 15:00	ЗАО "Вилард"127473, Москва 1-ый Волконский переулок, д. 10, стр. 1	Аптечный пункт
4	Аптечный пункт. Государственное бюджетне учреждение здравоохранения города Москвы "Городская поликлиника № 170 Департамента здравоохранения города Москвы"	Подольских Курсантов ул. 2 к.2	(495) 382-26-88	Пн 08:00 - 20:00; Вт 08:00 - 20:00; Ср 08:00 - 20:00; Чт 08:00 - 20:00; Пт 08:00 - 20:00; Сб 09:00 - 18:00; Вс 09:00 - 16:00	ЗАО "Вилард"127473, Москва 1-ый Волконский переулок, д. 10, стр. 1	Аптечный пункт
5	Аптечный пункт. Филиал № 3 Государственного бюджетного учреждения здравоохранения города Москвы "Городская поликлиника № 52 Департамента здравоохранения города Москвы"	Лебедянская ул. 10	(495)329-71-55	Пн 08:00 - 20:00; Вт 08:00 - 20:00; Ср 08:00 - 20:00; Чт 08:00 - 20:00; Пт 08:00 - 20:00; Сб 09:00 - 18:00; Вс 09:00 - 16:00	ЗАО "Вилард"127473, Москва 1-ый Волконский переулок, д. 10, стр. 1	Аптечный пункт
6	Аптечный пункт. Филиал № 2  Государственного бюджетного учреждения города Москвы " Городская поликлиника № 210 Департамента здравоохранения города Москвы"	Алма-Атинская ул. 3 корп.3	(495)341-40-43	Пн 07:30 - 20:00; Вт 07:30 - 20:00; Ср 07:30 - 20:00; Чт 07:30 - 20:00; Пт 07:30 - 20:00; Сб 08:45 - 18:00; Вс 08:45 - 16:00	ЗАО "Вилард"127473, Москва 1-ый Волконский переулок, д. 10, стр. 1	Аптечный пункт
7	Аптечный пункт. Филиал № 3 Государственного бюджетного учреждения здравоохранения города Москвы "Городская поликлиника № 166 Департамента здравоохранения города Москвы"	Домодедовская ул. 29 корп.1	(495)391-20-00	Пн 08:00 - 20:00; Вт 08:00 - 20:00; Ср 08:00 - 20:00; Чт 08:00 - 20:00; Пт 08:00 - 20:00; Сб 09:00 - 18:00; Вс 09:00 - 16:00	ЗАО "Вилард"127473, Москва 1-ый Волконский переулок, д. 10, стр. 1	Аптечный пункт
8	Аптечный пункт. Филиал № 4 Государственного бюджетного учреждения здравоохранения города Москвы "Кардиологический диспансер № 2 Департамента здравоохранения города Москвы"	Чертаново Северное корп 805, стр.1	(495)318-79-41	Пн 08:00 - 20:00; Вт 08:00 - 20:00; Ср 08:00 - 20:00; Чт 08:00 - 20:00; Пт 08:00 - 20:00; Сб 09:00 - 18:00; Вс 09:00 - 16:00	ЗАО "Вилард"127473, Москва 1-ый Волконский переулок, д. 10, стр. 1	Аптечный пункт
9	Аптечный пункт. Государственное бюджетне учреждение здравоохранения города Москвы "Городская поликлиника № 210 Департамента здравоохранения города Москвы"	Каширское шоссе 57 корп.1	344-67-18	Пн 08:00 - 20:00; Вт 08:00 - 20:00; Ср 08:00 - 20:00; Чт 08:00 - 20:00; Пт 08:00 - 20:00	ЗАО "Вилард"127473, Москва 1-ый Волконский переулок, д. 10, стр. 1	Аптечный пункт
10	Аптечный пункт. Филиал № 2 Государственного бюджетного учреждения здравоохранения города Москвы  "Городская поликлиника № 170 Департамента здравоохранения города Москвы"	Варшавское шоссе 148 корп.1	386-91-90	Пн 08:00 - 20:00; Вт 08:00 - 20:00; Ср 08:00 - 20:00; Чт 08:00 - 20:00; Пт 08:00 - 20:00; Сб 09:00 - 18:00; Вс 09:00 - 16:00	ЗАО "Вилард"127473, Москва 1-ый Волконский переулок, д. 10, стр. 1	Аптечный пункт
