№ строки	Название	Адрес	Телефон	Электронная почта
1	Городской отдел жилищных субсидий района Щукино	ул. Рогова, д.12, кор. 2, стр. 1	(495)947-70-74	67@szao.subsident.ru
2	Городской отдел жилищных субсидий района Куркино	ул. Воротынская, д. 12, кор. 1	(499)401-80-86	141@szao.subsident.ru
3	Окружной отдел Северного Административного Округа Аэропорт	ул. Черняховского, д. 15, кор. 1	(499)152-53-21	64@sao.subsident.ru
4	Городской отдел жилищных субсидий района Беговой	Ленинградский пр-т, д. 14, корп. 1	(495)612-24-29	62@sao.subsident.ru
5	Городской отдел жилищных субсидий района Бескудниковский	ул. 800-летия Москвы, д. 4, кор. 2	(495)484-98-07	53@sao.subsident.ru
6	Городской отдел жилищных субсидий района Войковский	ул. Клары Цеткин, д. 29, кор. 1	(495)601-43-09	83@sao.subsident.ru
7	Городской отдел жилищных субсидий района Восточное Дегунино	ул. Дубнинская, д.40А, кор.3	(495)531-30-20	81@sao.subsident.ru
8	Городской отдел жилищных субсидий района Головинский	Солнечногорский проезд, д. 3, кор. 3	(495)453-33-81	73@sao.subsident.ru
9	Городской отдел жилищных субсидий района Дмитровский	ул. Софьи Ковалевской, д.6	(495)484-72-06	61@sao.subsident.ru
10	Городской отдел жилищных субсидий района Западное Дегунино	ул. Новая, д. 7	(499)906-35-21	82@sao.subsident.ru
11	Городской отдел жилищных субсидий района Коптево	ул.Зои и Александра Космодемьянских,  д. 27	(495)450-66-69	108@sao.subsident.ru
12	Городской отдел жилищных субсидий района Левобережный	ул. Смольная, д. 51, кор. 1	(499)767-17-62	124@sao.subsident.ru
13	Городской отдел жилищных субсидий района Савеловский	4-ый Вятский пер., д. 18, кор. 2	(495)612-79-77	109@sao.subsident.ru
14	Городской отдел жилищных субсидий района Сокол	Чапаевский пер., д. 18/1	(499)157-98-59	64@sao.subsident.ru
15	Окружной отдел Центрального Административного Округа Басманный	1-ый Басманный пер., д. 6	(499)261-40-94	75@cao.subsident.ru
16	Городской отдел жилищных субсидий района Замоскворечье	ул. Бахрушина, д. 13	(495)666-30-80	131@cao.subsident.ru
17	Городской отдел жилищных субсидий района Красносельский	2-ой Новый пер., д. 3-5	(499)264-42-23	138@cao.subsident.ru
18	Городской отдел жилищных субсидий района Мещанский	Ботанический пер., д. 7	(495)680-80-49	74@cao.subsident.ru
19	Городской отдел жилищных субсидий района Пресненский	ул. 1905 года, д. 19	(499)253-34-55	135@cao.subsident.ru
20	Городской отдел жилищных субсидий района Таганский	ул. Воронцовская, д.21, стр.1	(495)912-23-66	79@cao.subsident.ru
