№ строки	Название	Адрес	Число парковочных мест	Время работы	Иное
1	Пл. Рогожская Застава, 2	Пл. Рогожская Застава, 2	2.00000000000	Круглосуточно	введена в эксплуатацию
2	Рязанский пр-д	Рязанский пр-д	3.00000000000	Круглосуточно	введена в эксплуатацию
3	Улица Ладожская, 2/37	Улица Ладожская, 2/37	4.00000000000	Круглосуточно	введена в эксплуатацию
4	Театральный пр-д, 2	Театральный пр-д, 2	5.00000000000	Круглосуточно	введена в эксплуатацию
5	Пл. Славянская	Пл. Славянская	5.00000000000	Круглосуточно	введена в эксплуатацию
6	каширское шоссе	каширское шоссе	4.00000000000	круглосуточно	выход из метро замоскв. линии
7	Улица Краснопрудная, 1	Улица Краснопрудная, 1	20.00000000000	Круглосуточно	введена в эксплуатацию
8	Хордовый проезд	Хордовый проезд	4.00000000000	круглосуточно	у ул Хордовый пр. д.16 к.5
9	Проктируемый пр 5396 вл.15	Проктируемый пр 5396 вл.15	3.00000000000	круглосуточно	собственность ТЦ
10	Дмитрия Донского б-р, д. 2, к. 1	Дмитрия Донского б-р, д. 2, к. 1	4.00000000000	Круглосуточно	Северный выход из ст. метро
11	Старокачаловская ул., д. 1Б	Старокачаловская ул., д. 1Б	3.00000000000	Круглосуточно	Возле ресторана Пронто
12	Улица Привольная, д.71,к.1	Улица Привольная, д.71,к.1	4.00000000000	Круглосуточно	введена в эксплуатацию
13	Тихорецкий б-р, д. 1	Тихорецкий б-р, д. 1	20.00000000000	5.00-20.00	ТЦ Москва, со стор. ул. Перерва
14	ул. Гурьянова, д.2 стр.1	ул. Гурьянова, д.2 стр.1	4.00000000000	Круглосуточно	выход из ст. м. Печатники
15	Ленинский пр-т, д. 41	Ленинский пр-т, д. 41	3.00000000000	Круглосуточно	Возле Дома ткани
16	Дмитрия Донского б-р, д. 5	Дмитрия Донского б-р, д. 5	4.00000000000	Круглосуточно	Выход в сторону центра
17	Профсоюзная ул., д. 102	Профсоюзная ул., д. 102	4.00000000000	Круглосуточно	В заездном кармане
18	Профсоюзная ул., д. 56	Профсоюзная ул., д. 56	4.00000000000	Круглосуточно	возле ТЦ Панорама
19	Новоясеневский пр-т, д. 11	Новоясеневский пр-т, д. 11	3.00000000000	Круглосуточно	Возле ТЦ Золотой Вавилон
20	Новоясеневский пр-т, д. 24	Новоясеневский пр-т, д. 24	4.00000000000	Круглосуточно	Западный выход ст. метро
21	Литовский б-р, д. 22	Литовский б-р, д. 22	3.00000000000	Круглосуточно	Возле ТЦ Ясенево
22	Вавилова ул., д. 8	Вавилова ул., д. 8	4.00000000000	Круглосуточно	Возле м. Ленинский пр-т
23	Севастопольский пр-т, д. 24Б	Севастопольский пр-т, д. 24Б	4.00000000000	Круглосуточно	Возле ТЦ Экспострой
24	Госпитальная ул., д.14/1	Госпитальная ул., д.14/1	4.00000000000	Круглосуточно	введена в эксплуатацию
