№ строки	Название	Адрес	Административный округ	Руководитель	Телефон	Факс	Дополнительная информация
1	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 27  Департамента здравоохранения города Москвы»	115533, Москва, ул. Высокая, д.19, к.1	ЮАО	Кладова Лидия Ивановна	(499)612-5558	(499)612-5558	С 15.09.2012г. присоединяется к «ГП № 67»
2	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 28  Департамента здравоохранения города Москвы»	125493, Москва, ул. Пулковская, д.8	САО	Слободина Галина Александровна	(495) 458-7600	(499) 747-6181	С 15.09.2012г. присоединяется к «МСЧ № 51»
3	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 29  Департамента здравоохранения города Москвы»	129344, Москва, ул. Печорская, д.10, корп.2	СВАО	Аляев Дмитрий Никанорович	(495)471-3255	(495)471-2416	С 15.09.2012г. присоединяется к «ГП № 218»
4	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 30  Департамента здравоохранения города Москвы»	111558, Москва, Федеративный проспект, д.31	ВАО	Пасунков Сергей Борисович	(495)302-1568	302-1568	С 15.09.2012г. присоединяется к «ГП № 69»
5	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 31  Департамента здравоохранения города Москвы»	129323, Москва, ул. Снежная, д.22	СВАО	Кузичкина Светлана Фёдоровна	(499) 180-8055	(499) 180-8055	С 15.09.2012г. присоединяется к «ГП № 107»
6	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 32  Департамента здравоохранения  города Москвы»	113114, Москва, 1-й Дербеневский пер., д.3	ЮАО	Сидоркин Владимир Анатольевич	(495)235-8805	(495)235-2378	С 15.09.2012г. присоединяется к «ГП № 67»
7	Государственное  бюджетное учреждение здравоохранения города Москвы  «Городская клиническая больница № 53 Департамента здравоохранения города Москвы»	109432, Москва, ул Трофимова, д. 26	ЮВАО	Аракелов Сергей Эрнестович	(495) 958-9559	(495) 958-9434	самостоятельное
8	Государственное  бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 33  Департамента здравоохранения города Москвы»	117461, Москва, ул. Каховка, д.12-а	ЮЗАО	Коростылёв Вячеслав Вячеславович	(499)121-6517	(499 )121-9400	С 15.09.2012г. присоединяется к «КДЦ № 1»
9	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 34  Департамента здравоохранения города Москвы»	129347, Москва, ул. Лосевская, д.2	СВАО	Аляева Маргарита Николаевна	(499) 183-1738	(499) 183-1738	С 15.09.2012г. присоединяется к «ГП № 218»
10	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 3 Департамента здравоохранения города Москвы»	123001, .Москва, Ермолаевский пер, д.22/26	ЦАО	Дорошев Игорь Анатольевич.	(495) 650-1430	(495) 650-1431	самостоятельное
11	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 4 Департамента здравоохранения города Москвы»	109544, Москва, ул. Рабочая, д.34	ЦАО	и.о. Карелина Тамара Ивановна	(495) 678-7401	(495) 678-7512	С 15.09.2012г. присоединяется к «ГП № 46»
12	Государственное бюджетное  учреждение здравоохранения города Москвы «Городская клиническая больница № 1 им. Н. И. Пирогова Департамента здравоохранения города Москвы»	117049,  Москва, Ленинский проспект, дом 8	ЦАО	Шабунин Алексей Васильевич	(499) 236-6069	(499) 236-6528	самостоятельное
13	Государственное  бюджетное учреждение здравоохранения города Москвы «Диагностический  клинический  центр № 1   Департамента  здравоохранения  города Москвы»	117485, Москва, ул. Миклухо-Маклая, д.29, к.2	ЮЗАО	Манукян Левон Мамиконович	(495) 336-67-55	(495) 336-69-22	С 15.09.2012г. – присоединяютя городские поликлиники № 33, 74, 84, 203 и 205
14	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 5 Департамента здравоохранения  города Москвы»	107045, Москва, Даев пер., д.3	ЦАО	и.о. Петухова Юлия Олеговна	(495) 608-1680	(495) 608-1681	самостоятельное
15	Государственное  бюджетное учреждение здравоохранения города Москвы «Консультативно-диагностический центр № 2    Департамента  здравоохранения   города Москвы»	107564, Москва, ул. Миллионная, д.6	ВАО	Зайцев Леонид Васильевич	(499) 169-41-00	(499) 169-41-01	С 15.09.2012г. – присоединяютя городские поликлиники №41, 149 и 186
16	Государственное  бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 6  Департамента здравоохранения города Москвы»	127206, г. Москва, ул. Вучетича, дом 7Б	САО	Сенникова Татьяна Николаевна	(495) 611-2729	(495) 611- 2938	самостоятельное
17	Государственное бюджетное  учреждение здравоохранения города Москвы «Городская клиническая больница № 4  Департамента здравоохранения города Москвы»	115093, Москва, ул. Павловская, д.25	ЮАО	Алексеев Михаил Сергеевич	(499) 235-0443	(495) 952-6940	самостоятельное
