№ строки	Название	Адрес	Административный округ	Руководитель	Телефон	Факс	Доп. информация
1	Государственное бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 11  Департамента здравоохранения  города Москвы»	127015, Москва, 2-я Квесисская ул., д. 4	"	Ярыгин Сергей Викторович	(495) 685-7985	(495) 685-3804	"
2	Государственное бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 13  Департамента здравоохранения города Москвы»	111116, Москва, ул. Энергетическая, д.22	"	Шияфетдинов Абдулбари Абдурахманович	362-0409	362-0409	"
3	Государственное бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 14  Департамента здравоохранения города Москвы»	125362, Москва, ул. Свободы, д.19,кор.1	"	Бинну Сергей Иванович	491-5004	491-1109	"
4	Государственное бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 15 Департамента здравоохранения города Москвы»	129626, Москва, ул. Староалексеевская, д. 10	"	Сысоев Сергей Юрьевич	(495) 686-0198	(495) 686-0188	"
5	Государственное бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 19  Департамента здравоохранения города Москвы»	119021, Москва, Олсуфьевский пер., д. 1	"	Остроухова Алла Александровна	(499) 246-1672	(499) 246-1672	"
6	Государственное бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 2 Департамента здравоохранения  города Москвы»	119415, Москва, ул. Удальцова, д.8	"	 Кочеров Александр Михайлович	(499) 131-6055	(499) 131-6088	"
7	Государственное бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 23  Департамента здравоохранения города Москвы»	 121059, Москва, ул. Брянская, д. 4	"	Стилиди Галина Георгиевна	8-499-243-44-14	8-499-243-3120	"
8	Государственное бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 23  Департамента здравоохранения города Москвы»	 121059, Москва, ул. Большая Дорогомиловская, д.1	"	Стилиди Галина Георгиевна	8-499-243-44-14	8-499-243-3120	"
9	Государственное бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 27  Департамента здравоохранения города Москвы	115193, Москва, ул. 6-я Кожуховская, д.21	"	Коваленко Алексей Николаевич	 677-5886	710-1848	"
10	Государственное бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 3  Департамента здравоохранения   города Москвы»	115093, Москва, ул. Щипок, д.6/8	"	Бугрова Лидия Михайловна	236-5293	236-0115	"
11	Государственное бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 56  Департамента здравоохранения города Москвы»	107392, Москва, ул. Хромова, д.9/2	"	Терехов Геннадий Александрович	8-499-161-5308	8-499-161-4116	"
12	Государственное бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 61  Департамента здравоохранения города Москвы»	127572, Москва, ул. Череповецкая, д.15	"	Мансуров Фарит Фанович	(499) 200-6933	(499) 200-6947	"
13	Государственное бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 65 Департамента здравоохранения  города Москвы»	125368, Москва, 3-й Митинский пер., д.6	"	 Арсеенкова Ольга Юрьевна	754-0030	794-19-54	"
14	Государственное бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 66  Департамента здравоохранения города Москвы»	109316, Москва, Сосинский проезд, д.8/12	"	Фролова Александрв Ивановна	(495) 674-3497	(495) 674-3222	"
15	Государственное бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 7 Департамента здравоохранения города Москвы»	119334, Москва, Ленинский проспект, д.40	"	Вартанов Олег Игоревич	8-499-137-6479	8-499-137-6418	"
16	Государственное  бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 8  Департамента здравоохранения  города Москвы»	105043, Москва, ул.7-я Парковая, д.10,кор.1	"	Поляк Олег Евгеньевич	8-499-367-2272	8-499-367-2263	"
17	Государственное бюджетное  учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 9  Департамента здравоохранения города Москвы	125130, ул. Зои и Александра Космодемьянских, д.22	"	Кузнецов Владимир Анатольевич	450-5697	450-2241	"
18	Государственное  бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 34  Департамента здравоохранения города Москвы»	109263, Москва, 7-я ул. Текстильщиков, д.16	"	Крутер Ирина Викторовна	8-499-178-6546	8-499-178-6546	"
19	Государственное  бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 49  Департамента здравоохранения  города Москвы»	125413, Москва, Солнечногорский проезд, д.9	"	Аверина Светлана Дмитриевна	(495) 453-0132	(495) 453-7596	"
20	Государственное  бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 51 Департамента здравоохранения города Москвы»	109651, Москва, ул. Донецкая, д.9	"	Рабинович Леонид Михайлович	8-499-356-7451	8-499-357-6701	"
21	Государственное бюджетное  учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 53  Департамента здравоохранения  города Москвы»	107078, Москва, Большой Козловский пер., д.5	"	Белокопытова Людмила Евгеньевна	(495) 623-0727	(495) 625-9814	"
22	Государственное  бюджетное учреждение здравоохранения города Москвы «Городская стоматологическая поликлиника № 62  Департамента здравоохранения  города Москвы»	115516, Москва, ул. Каспийская, д.36	"	и.о. Камалова Альфия Аглямовна	321-6868	321-6672	"
23	Государственное  бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 64  Департамента здравоохранения города Москвы»	117628, Москва, бульвар Дмитрия Донского, д.9, кор.2	"	Соколаев Ильман Идрисович	 711-1211	711-1211	"
24	Государственное  бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 67  Департамента здравоохранения города Москвы»	111672, Москва, ул. Новокосинская, д.24-б	"	Шипунова Лидия Фёдоровна	702-1045	702-1045	"
25	Государственное бюджетное учреждение здравоохранения города Москвы «Городская стоматологическая поликлиника № 12  Департамента здравоохранения города Москвы»	127540, Москва, ул. Дубнинская , д.14а	"	Малинин Михаил Валерьевич	(499) 480-7638	(499) 480-7638	"
26	Государственное бюджетное учреждение здравоохранения города Москвы « Стоматологическая поликлиника № 20  Департамента здравоохранения города Москвы»	127254, Москва, ул. Добролюбова, д.21а	"	Айвазов Тигран Георгиевич	(495) 618-0581	(495) 618-0581	"
