№ строки	Название	Адрес	Административный округ	Руководитель	Телефон	Факс	Дополнительная информация
1	Государственное бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 15 Департамента здравоохранения города Москвы»	129626, Москва, ул. Староалексеевская, д. 10	СВАО	Сысоев Сергей Юрьевич	(495) 686-0198	(495) 686-0188	самостоятельное
2	Государственное бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 19  Департамента здравоохранения города Москвы»	119021, Москва, Олсуфьевский пер., д. 1	ЦАО	Остроухова Алла Александровна	(499) 246-1672	(499) 246-1672	самостоятельное
3	Государственное бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 2 Департамента здравоохранения  города Москвы»	119415, Москва, ул. Удальцова, д.8	ЗАО	Кочеров Александр Михайлович	(499) 131-6055	(499) 131-6088	самостоятельное
4	Государственное бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 23  Департамента здравоохранения города Москвы»	121059, Москва, ул. Брянская, д. 4	ЗАО	Стилиди Галина Георгиевна	8-499-243-44-14	8-499-243-3120	самостоятельное
5	Государственное бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 23  Департамента здравоохранения города Москвы»	121059, Москва, ул. Большая Дорогомиловская, д.1	ЗАО	Стилиди Галина Георгиевна	8-499-243-44-14	8-499-243-3120	самостоятельное
6	Государственное бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 27  Департамента здравоохранения города Москвы	115193, Москва, ул. 6-я Кожуховская, д.21	ЮВАО	Коваленко Алексей Николаевич	(495)677-5886	(495)710-1848	самостоятельное
7	Государственное бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 3  Департамента здравоохранения   города Москвы»	115093, Москва, ул. Щипок, д.6/8	ЦАО	Бугрова Лидия Михайловна	(495)236-5293	(495)236-0115	самостоятельное
8	Государственное бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 31 Департамента здравоохранения города Москвы»	124527, г. Зеленоград, Медицинский комплекс, проезд 4923, дом 2, стр.8	ЗелАО	Черкесов Владимир Петрович	(495)535-8243	(495)535-5565	самостоятельное
9	Государственное бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 32  Департамента здравоохранения  города Москвы»	129327, Москва, Чукотский проезд, д.8	СВАО	Михайлова Любовь Александровна	(499) 186-9301	(499) 186-9301	самостоятельное
10	Государственное бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 33  Департамента здравоохранения города Москвы»	103055, Москва, Тихвинский пер., д. 20	ЦАО	Непряхина Галина Владимировна	(499) 978-0237	(499) 972-0311	самостоятельное
11	Государственное бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 35  Департамента здравоохранения города Москвы»	г. Москва, Зеленоград, корп.1460	ЗелАО	Амирханян Александр Норайрович	8-499-733-9293	8-499-733-3452	самостоятельное
12	Государственное бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 4  Департамента здравоохранения  города Москвы»	109052, Москва, Рязанский проспект, д.11	ЮВАО	Аперян Манвел Седракович	(495)657-17-02	8-499-171-3235	самостоятельное
13	Государственное бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 48  Департамента здравоохранения города Москвы»	117485, Москва, ул. Профсоюзная, д.100	ЮЗАО	Сидоренко Ирина Анатольевна	(495)335-0551	(495)3359975	самостоятельное
14	Государственное бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 5  Департамента здравоохранения   города Москвы»	121614, Москва, ул. Крылатская, д.21	ЗАО	Маркин Юрий Валентинович	(495)415-1664	(495)415-1664	самостоятельное
15	Государственное бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 50 Департамента здравоохранения города Москвы»	107140, Москва, ул. Верхняя Красносельская, д.19	ЦАО	и.о. Тамазов Мурат Владимирович	8-499-264-6521	8-499-264-6821	самостоятельное
16	Государственное бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 55  Департамента здравоохранения города Москвы»	123154, Москва, бульвар генерала Карбышева, д.19, к.5	СЗАО	Уманская Наталия Гульвардовна	8-499-192-1783	8-499-192-1783	самостоятельное
17	Государственное бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 56  Департамента здравоохранения города Москвы»	107392, Москва, ул. Хромова, д.9/2	ВАО	Терехов Геннадий Александрович	8-499-161-5308	8-499-161-4116	самостоятельное
18	Государственное бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 60  Департамента здравоохранения города Москвы»	123458, Москва, ул. Твардовского, д.27	СЗАО	Терняк Евгений Владимирович	(495)750-4222	(495)750-4222	самостоятельное
19	Государственное бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 61  Департамента здравоохранения города Москвы»	127572, Москва, ул. Череповецкая, д.15	СВАО	Мансуров Фарит Фанович	(499) 200-6933	(499) 200-6947	самостоятельное
20	Государственное бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 65 Департамента здравоохранения  города Москвы»	125368, Москва, 3-й Митинский пер., д.6	СЗАО	Арсеенкова Ольга Юрьевна	(495)754-0030	(495)794-19-54	самостоятельное
21	Государственное бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 66  Департамента здравоохранения города Москвы»	109316, Москва, Сосинский проезд, д.8/12	ЦАО	Фролова Александрв Ивановна	(495) 674-3497	(495) 674-3222	самостоятельное
22	Государственное бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 7 Департамента здравоохранения города Москвы»	119334, Москва, Ленинский проспект, д.40	ЮЗАО	Вартанов Олег Игоревич	8-499-137-6479	8-499-137-6418	самостоятельное
23	Государственное  бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 8  Департамента здравоохранения  города Москвы»	105043, Москва, ул.7-я Парковая, д.10,кор.1	ВАО	Поляк Олег Евгеньевич	8-499-367-2272	8-499-367-2263	самостоятельное
24	Государственное бюджетное  учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 9  Департамента здравоохранения города Москвы	125130, ул. Зои и Александра Космодемьянских, д.22	САО	Кузнецов Владимир Анатольевич	(495)450-5697	(495)450-2241	самостоятельное
25	Государственное  бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 34  Департамента здравоохранения города Москвы»	109263, Москва, 7-я ул. Текстильщиков, д.16	ЮВАО	Крутер Ирина Викторовна	8-499-178-6546	8-499-178-6546	самостоятельное
26	Государственное  бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 49  Департамента здравоохранения  города Москвы»	125413, Москва, Солнечногорский проезд, д.9	САО	Аверина Светлана Дмитриевна	(495) 453-0132	(495) 453-7596	самостоятельное
27	Государственное  бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 51 Департамента здравоохранения города Москвы»	109651, Москва, ул. Донецкая, д.9	ЮВАО	Рабинович Леонид Михайлович	8-499-356-7451	8-499-357-6701	самостоятельное
28	Государственное бюджетное  учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 53  Департамента здравоохранения  города Москвы»	107078, Москва, Большой Козловский пер., д.5	ЦАО	Белокопытова Людмила Евгеньевна	(495) 623-0727	(495) 625-9814	самостоятельное
29	Государственное  бюджетное учреждение здравоохранения города Москвы «Городская стоматологическая поликлиника № 62  Департамента здравоохранения  города Москвы»	115516, Москва, ул. Каспийская, д.36	ЮАО	и.о. Камалова Альфия Аглямовна	(495)321-6868	(495)321-6672	самостоятельное
30	Государственное  бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 64  Департамента здравоохранения города Москвы»	117628, Москва, бульвар Дмитрия Донского, д.9, кор.2	ЮЗАО	Соколаев Ильман Идрисович	(495)711-1211	(495)711-1211	самостоятельное
31	Государственное  бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 67  Департамента здравоохранения города Москвы»	111672, Москва, ул. Новокосинская, д.24-б	ВАО	Шипунова Лидия Фёдоровна	(495)702-1045	(495)702-1045	самостоятельное
32	Государственное бюджетное учреждение здравоохранения города Москвы «Городская стоматологическая поликлиника № 12  Департамента здравоохранения города Москвы»	127540, Москва, ул. Дубнинская , д.14а	САО	Малинин Михаил Валерьевич	(499) 480-7638	(499) 480-7638	самостоятельное
33	Государственное бюджетное учреждение здравоохранения города Москвы « Стоматологическая поликлиника № 20  Департамента здравоохранения города Москвы»	127254, Москва, ул. Добролюбова, д.21а	СВАО	Айвазов Тигран Георгиевич	(495) 618-0581	(495) 618-0581	самостоятельное
34	Государственное бюджетное  учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 22  Департамента здравоохранения города Москвы»	111141, Москва, Зеленый проспект, д.10	ВАО	Батырбиев Эдик Мухдинович	(495)306-0200	(495)306-0200	самостоятельное
35	Государственное бюджетное учреждение здравоохранения города Москвы «Городская стоматологическая поликлиника № 24  Департамента здравоохранения города Москвы»	113556, Москва, Симферопольский проспект, д.15,к.2	ЮАО	Макарова Наталья Борисовна	8-499-610-7352	8-499-610-7352	самостоятельное
36	Государственное бюджетное учреждение здравоохранения города Москвы «Городская стоматологическая поликлиника № 24  Департамента здравоохранения города Москвы»	113556, Москва, Симферопольский проспект, д.15,к.3	ЮАО	Макарова Наталья Борисовна	8-499-610-7352	8-499-610-7352	самостоятельное
37	Государственное бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 11  Департамента здравоохранения  города Москвы»	127015, Москва, 2-я Квесисская ул., д. 4	САО	Ярыгин Сергей Викторович	(495) 685-7985	(495) 685-3804	самостоятельное
38	Государственное бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 13  Департамента здравоохранения города Москвы»	111116, Москва, ул. Энергетическая, д.22	ЮВАО	Шияфетдинов Абдулбари Абдурахманович	(495)362-0409	(495)362-0409	самостоятельное
39	Государственное бюджетное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 14  Департамента здравоохранения города Москвы»	125362, Москва, ул. Свободы, д.19,кор.1	СЗАО	Бинну Сергей Иванович	(495)491-5004	(495)491-1109	самостоятельное
