№ строки	Название	Адрес	Телефон	Режим работы
1	ГКУ ИС района Свиблово	г.Москва, ул.Снежная, д.13, корп.2	(499) 189-80-25	вт.-чт. 09.00-20.00 (без перерывов), пт. 09.00-16.45, сб.,вс. - выходной
2	ГКУ ИС района Перово	г.Москва, ул.Новогиреевская, д.28	(495) 651-85-38; (495) 651-85-43; (495) 651-85-76; (495) 651-85-79; (495) 304-18-42	пн.-пт. 08.00-20.00, без перерыва, сб. 08.00-15.45,  вс.-выходной
3	ГКУ ИС района Преображенское	г.Москва, ул.Хромова, д.7/1	(499) 785-52-73	пн.-пт. 08.00-20.00, без перерыва, сб. 08.00-15.45,  вс.-выходной
4	ГКУ ИС района Новокосино	г.Москва, ул.Новокосинская, д.20, корп.1	(495) 703-25-91	пн.-пт. 08.00-20.00, без перерыва, сб. 08.00-15.45,  вс.-выходной
5	ГКУ ИС района Метрогородок	г.Москва, Открытое ш., д.24, корп.11	(499) 966-71-90	пн.-пт. 08.00-20.00, без перерыва, сб. 08.00-15.00,  вс.-выходной
6	ГКУ ИС района Северное Измайлово	г.Москва, ул.9-я Парковая, д.66, корп.4	(499) 464-86-30	пн.-пт. 08.00-20.00, без перерыва, сб. 08.00-15.00,  вс.-выходной
7	ГКУ ИС района Соколиная гора	г.Москва, Мажоров пер., д.8	(495) 963-52-55	пн.-пт. 08.00-20.00, без перерыва, сб. 08.00-15.00,  вс.-выходной
8	ГКУ ИС района Сокольники	г.Москва, ул.Русаковская, д.28	(495) 603-04-95	пн.-пт. 08.00-20.00, без перерыва, сб. 08.00-15.00,  вс.-выходной
9	ГКУ ИС района Косино-Ухтомский	г.Москва, ул.Святоозерская, д.11	(499) 721-45-28	пн.-пт. 08.00-20.00, без перерыва, сб. 08.00-15.00,  вс.-выходной
10	ГКУ ИС района Новогиреево	г.Москва, ул.Новогиреевская, д.54	(495) 301-25-79; (499) 418-01-85	пн.-пт. 08.00-20.00, без перерыва, сб. 08.00-15.00,  вс.-выходной
11	ГКУ ИС района Измайлово	г.Москва, ул.8-я Парковая, д.30	(499) 165-04-33; (499) 463-21-44	пн.-пт. 08.00-20.00, без перерыва, сб. 08.00-15.00,  вс.-выходной
12	ГКУ ИС района Богородское	г.Москва, ул.Бойцовая, д.18, к.5	(495) 645-85-82	пн.-пт. 08.00-20.00, без перерыва, сб. 08.00-15.00,  вс.-выходной
13	ГКУ ИС района Вешняки	г.Москва, ул.Вешняковская, д.31А	(499) 786-34-62	пн.-пт. 08.00-20.00, без перерыва, сб. 08.00-15.00,  вс.-выходной
14	ГКУ ИС района Ивановское	г.Москва, ул.Молостовых, д.1Г	(495) 300-45-20	пн.-пт. 08.00-20.00, без перерыва, сб. 08.00-15.00,  вс.-выходной
15	ГКУ ИС района Гольяново	г.Москва, ул.Амурская, д.21, корп.3	(495) 645-86-35	пн.-пт. 08.00-20.00, без перерыва, сб. 08.00-15.00,  вс.-выходной
16	ГКУ ИС района Восточный	г.Москва, ул.Девятого мая, д.28	(499) 780-67-69	пн.-пт. 08.00-20.00, без перерыва, сб. 08.00-15.00,  вс.-выходной
17	ГКУ ИС района Восточное Измайлово	г.Москва, ул.Средняя Первомайская, д.44	(495) 645-86-42	пн.-пт. 08.00-20.00, без перерыва, сб. 08.00-15.00,  вс.-выходной
18	ГКУ ИС района Некрасовка	г.Москва, ул.1-я Вольская, д.16, пом.№ 2	(459) 706-82-27	пн.-пт. 09.00-20.00, без перерыва, сб. 08.00-15.00 , вс. - выходной
19	ГБУ МФЦ ЮВАО	г.Москва, пр-д Завода Серп и Молот, д.10	(495) 531-00-80	пн.-пт. 08.00-20.00, без перерыва, сб. 09.00-15.45,  вс.-выходной
20	ГКУ ИС района Печатники	г.Москва, ул.Гурьянова, д.23	(495) 721-30-79; (499) 746-24-19	вт.-пт. 08.00-20.00, без перерыва, сб. 09.00-15.45,  вс.-выходной
21	ГКУ ИС района Рязанский	г.Москва, ул.1-я Новокузьминская, д.10	(495) 633-66-73	пн.-пт. 09.00-20.00, без перерыва, сб. 09.00-17.00,  вс. - выходной
22	ГКУ ИС района Люблино	г.Москва, пр-т 40 лет Октября, д.11	(495) 350-26-40	пн.-пт. 08.00-20.00, без перерыва, сб. 08.00-16.00, вс.-выходной
23	ГКУ ИС района Выхино	г.Москва, ул.Ташкентская, д.21, корп.1	(495) 377-82-92	пн.-пт. 09.00-20.00, без перерывов, сб. 09.00-17.00,  вс.-выходной
24	ГКУ ИС района Жулебино	г.Москва, ул.Маршала Полубоярова, д.14	(495) 706-44-51; (495) 706-44-52	вт.-пт. 08.00-20.00, без перерыва, сб. 09.00-15.45,  вс.-выходной
25	ГКУ ИС района Капотня	г.Москва, Капотня, 2-й кв-л, д.4	(495) 355-18-85	пн.-пт. 08.00-20.00, без перерыва, сб. 08.00-16.00,  вс.-выходной
26	ГКУ ИС района Кузьминки	г.Москва, ул.Юных Ленинцев, д.47, корп.3	(499) 742-86-80; (499) 742-86-84	пн.-пт. 08.00-20.00, без перерыва, сб. 08.00-16.00, вс.-выходной
27	ГКУ ИС района Текстильщики	г.Москва, 7-ая ул.Текстильщиков, д.6/19	(499) 178-62-38	пн.-пт. 09.00-20.00, без перерыва, сб. 09.00-17.00,  вс.-выходной
28	ГКУ ИС района Марьино	г.Москва, ул.Братиславская, д.18, корп.3	(499) 722-77-89	вт.-пт. 08.00-20.00, без перерыва, сб. 09.00-15.45,  вс,пн.-выходной
29	ГКУ ИС Мещанского района	г.Москва, пер.Ботанический, д.7	(495) 680-33-07	пн.-пт. 08.00-17.00 (без перерыва) , сб., вс.-выходной
30	ГКУ ИС района Якиманка	г.Москва, Калужская пл., д.1	(499) 230-11-60	пн.-пт. 08.00-20.00 (без перерыва) , сб., вс.-выходной
31	ГКУ ИС района Хамовники	г.Москва, ул.Ефремова, д.13, корп.2	(499) 242-36-16	вт.-чт. 09.00-20.00 (без перерыва) , пт. 09.00-15.45, сб.,вс.-выходной
32	ГКУ ИС Тверского района	г.Москва, ул.Большая Дмитровка, д.9, стр.2	(495) 411-56-55	вт.-чт. 08.00-20.00 (без перерыва) , пт. 08.00-17.00, сб.,вс. - выходной
33	ГКУ ИС Пресненского района	г.Москва, ул.Красная Пресня, д.26, стр.1	(495) 787-38-02	вт.-сб. 09.00-20.00 (без перерыва) , вс. - выходной
34	ГКУ ИС Таганского района	г.Москва, ул.Динамовская, д.8, стр.1	(495) 911-94-24	вт.-пт. 09.00-20.00 (без перерыва) , сб.,вс. - выходной
35	ГКУ ИС Басманного района	г.Москва, 1-й Басманный пер., д.6	(499) 265-18-89; (499) 267-86-56	вт.-пт. 08.00-20.00 (без перерыва) , сб. 08.00-15.45, вс. - выходной
36	ГКУ ИС района Арбат	г.Москва, Проточный пер., д.9	(499) 241-55-03; (499) 241-51-05; (495) 916-56-58	вт.-пт. 08.00-20.00 (без перерыва) , сб.08.00-15.45, вс.-выходной
37	ГКУ ИС Замоскворечье	г.Москва, ул.Татарская, д.5, стр.2	(495) 951-75-59; (495) 951-35-79; (495) 951-53-31; (495) 951-72-88; (495) 951-76-53	вт.-чт. 09.00-20.00 (без перерыва) , сб. 09.00-15.45, вс.-выходной
38	ГКУ ИС Красносельского района	г.Москва, 2-й Новый пер., д.3/5	(499) 264-80-09	вт.-чт. 09.00-20.00 (без перерыва) , сб. 09.00-15.45, вс.-выходной
39	ГКУ ИС Савеловского района	г.Москва, ул.Мишина, д.38	(495) 614-63-11	пн.-пт. 08.00-20.00 (без перерыва) , сб.,вс. - выходной
40	ГКУ ИС района Сокол	г.Москва, ул.Панфилова, д.4, корп.3	(499) 198-60-64	пн.-пт. 08.00-20.00 (без перерыва) , сб.,вс. - выходной
41	ГУ ИС Молжаниновского района	г.Москва, ул.4-я Новоселки, д.2	(495) 510-57-58	пн.-пт. 08.00-20.00 (без перерыва) , сб.,вс. - выходной
42	ГКУ ИС Левобережного района	г.Москва, ул.Беломорская, д.26	(499) 455-91-87	пн.-пт. 08.00-20.00 (без перерыва) , сб.,вс. - выходной
43	ГКУ ИС района Коптево	г.Москва, ул.Коптевская, д.22	(495) 450-68-15; (499) 767-00-55	пн.-пт. 09.00-20.00 (без перерыва) , сб.,вс. - выходной
44	ГКУ ИC Тимирязевского района	г.Москва, ул.Тимирязевская, д.8, к.1	(495) 533-00-04	пн.-пт. 08.00-20.00 (без перервывов) , сб.,вс.-выходной
45	ГКУ ИС района Ховрино	г.Москва, ул.Фестивальная, д.63, корп.2	(499) 767-19-60; (495) 455-96-95	пн.-пт. 08.00-20.00 (без перерыва) , сб.,вс. - выходной
46	ГКУ ИС Хорошевского района	г.Москва, Хорошевское ш., д.68, корп.1	(495) 940-08-93; (495) 940-58-62	пн.-пт. 08.00-20.00 (без перерыва) , сб.,вс. - выходной
47	ГУ ИС района Западное Дегунино	г.Москва, ул.Весенняя, д.10	(499) 905-25-63	пн.-пт. 08.00-20.00 (без перерыва) , сб.,вс. - выходной
48	ГКУ ИС района Аэропорт	г.Москва, ул.Часовая, д.8	(499) 152-00-03; (499) 152-74-53	пн.-пт. 08.00-20.00 (без перерыва) , сб.,вс - выходной
49	ГКУ ИС района Беговой	г.Москва, ул.Расковой, д.16/26, стр.1	(495) 613-40-07	пн.-пт. 08.00-20.00 (без перерыва) , сб.,вс. - выходной
50	ГКУ ИС Бескудниковского района	г.Москва, ул.Дубнинская, д.3	(499) 480-23-66	пн.-пт. 08.00-20.00 (без перерыва) , сб. 08.00-15.45, вс.-выходной
51	ГКУ ИС Дмитровского района	г.Москва, ул.Клязьминская, д.11, корп.3	(495) 486-71-00; (495) 486-73-59	пн.-пт. 08.00-20.00 (без перерыва) , сб.,вс. - выходной
52	ГКУ ИС Головинского района	г.Москва, 3-ий Лихачевский пер., д.7, к.4	(495) 454-35-59; (495) 456-57-80	пн.-пт. 08.00-20.00 (без перерыва) , сб.,вс - выходной
53	ГКУ ИС района Восточное Дегунино	г.Москва, ул.Дубнинская, д.40А, к.1	(495) 531-30-20	пн.-пт. 08.00-20.00 (без перерыва) , сб.,вс. - выходной
54	ГКУ ИС Войковского района	г.Москва, 4-й Войковский пр., д.9	(499) 150-85-52; (495) 708-20-13	пн.-пт. 08.00-20.00 (без перерыва) , сб.,вс - выходной
55	ГКУ ИС района Алтуфьевский	г.Москва, Алтуфьевское ш., д.56А	(499) 902-00-06; (499) 902-13-47	вт.-пт. 09.00-20.00 (без перерыва) сб. 09.00-15.45, вс. - выходной
56	ГКУ ИС Алексеевского района	г.Москва, ул.Новоалексеевская, д.9А	(495) 411-56-38	вт.-пт. 09.00-20.00 (без перерыва) сб. 09.00-15.45, вс. - выходной
57	ГКУ ИС Бабушкинского района	г.Москва, ул.Печорская, д.11	(495) 411-67-40	пн.-пт. 09.00-20.00 (без перерыва), сб. 08.00-15.00, вс. - выходной
58	ГКУ ИС района Ярославский	г.Москва, Ярославское ш., д.116, корп.1	(495) 411-67-45	вт.-пт. 09.00-20.00 (без перерыва), сб. 09.00-15.45, вс. - выходной
59	ГКУ ИС района Южное Медведково	г.Москва, пр.Ясный, д.10	(495) 411-67-38	пн.-сб. 09.00-20.00 (без перерыва), вс. - выходной
60	ГКУ ИС района Бибирево	г.Москва, ул.Пришвина, д.3а	(495) 411-67-42	вт.-пт. 09.00-20.00 (без перерыва), сб. 09.00-15.45, вс. - выходной
61	ГКУ ИС района Северный	г.Москва, 9-я Северная линия, д.1, корп.1	(495) 411-67-27	вт.-пт. 09.00-20.00 (без перерыва), сб. 09.00-15.45, вс. - выходной
62	ГКУ ИС Лосиноостровского района	г.Москва, ул.Изумрудная, д.63/1	(495) 411-67-47	вт.-пт. 09.00-20.00 (без перерыва), сб. 09.00-15.45, вс. - выходной
63	ГКУ ИС района Лианозово	г.Москва, ул.Новгородская, д.32	(495) 411-56-54; (499) 908-85-07; (499) 908-84-57	вт.-пт. 09.00-20.00 (без перерыва), сб. 09.00-15.45, вс. - выходной
64	ГКУ ИС Бутырского района	г.Москва, Огородный пр-д, д.23	(495) 619-45-08	вт.-пт. 09.00-20.00 (без перерыва), сб. 09.00-15.45, вс. - выходной
