№ строки	Название	Адрес	Административный округ	Руководитель	Телефон	Факс	Дополнительная информация
1	Государственное бюджетное  учреждение здравоохранения города Москвы «Родильный дом  № 18  Департамента здравоохранения  города Москвы»	105094, Москва, ул. Гольяновская, д.4а	ЮВАО	Гогичаев Тамерлан Казбекович	(495) 360-6314	(495) 360-6314	отсутсвует
2	Государственное  бюджетное учреждение здравоохранения города Москвы «Родильный дом  № 20    Департамента  здравоохранения  города Москвы»	105264, Москва, ул. Верхняя Первомайская, д.57	ВАО	Горбунова Тамара Александровна	(495) 465-9308	(499) 748-1614	С 01.09.2012г. – присоединина Гинекологическая больница № 5
3	Государственное бюджетное учреждение здравоохранения города Москвы «Родильный дом  № 25   Департамента  здравоохранения  города Москвы»	119333, Москва, ул. Фотиевой, д. 6	ЮЗАО	Оленева Марина Александровна	(499) 137-3993	(499) 137-6794	отсутсвует
4	Государственное   бюджетное  учреждение здравоохранения города Москвы «Родильный  дом  № 26   Департамента здравоохранения города Москвы»	123182, Москва, ул. Сосновая, д.11	СЗАО	Науменко Марина Гареновна	(499) 190-4307	(499) 190-5076	закрыт на капитальный ремонт
5	Государственное  бюджетное учреждение здравоохранения города Москвы «Родильный  дом  № 27  Департамента здравоохранения города Москвы»	127008, Москва, Коптевский бульвар, д.5	САО	Швырева Елена Александровна	(499) 153-33-00	(499) 153-35-00	закрыт на капитальный ремонт
6	Государственное  бюджетное учреждение здравоохранения города Москвы  «Родильный дом  № 32    Департамента  здравоохранения  города Москвы»	123317, Москва, 3-я Красногвардейская ул., д.1	ЦАО	Семейкина Елена Юрьевна	(499) 256-1282	(499) 256-1282	отсутсвует
7	Государственное  бюджетное   учреждение здравоохранения города Москвы «Родильный  дом  № 1  Департамента здравоохранения города Москвы»	125480, Москва, ул. Вилиса Лациса, д. 4	СЗАО	Иванников Николай Юрьевич	(495) 495-3501	(495) 494-34-17	отсутсвует
8	Государственное  бюджетное  учреждение здравоохранения города Москвы «Родильный дом  № 2    Департамента  здравоохранения   города Москвы»	121096, Москва, ул. Олеко Дундича,  д.11	ЗАО	Питиримов Иван Иванович	(499) 148-7054	(499) 148-7054	С 01.09.2012г. Присоединен к  ГКБ № 72
9	Государственное бюджетное  учреждение здравоохранения города Москвы «Родильный дом  № 3  Департамента здравоохранения города Москвы»	119501, Москва, ул. Нежинская. д.3	ЗАО	Иванова Оксана Геннадьевна	(495) 442-5500	(495) 442-4666	отсутсвует
10	Государственное учреждение здравоохранения города Москвы Родильный дом  № 4  Управления здравоохранения   Юго-Западного  АО города Москвы	117421, Москва, ул. Новаторов, д. 3	ЮЗАО	Шарапова Ольга Викторовна	(495) 936-1463	(495) 936-2277	отсутсвует
11	Государственное  бюджетное учреждение здравоохранения города Москвы «Родильный дом  № 5    Департамента здравоохранения города Москвы»	129336, Москва, ул. Таймырская, д.6	СВАО	Судакова Галина Юрьевна	(495) 475-2176	(495) 475-2176	закрыт на капитальный ремонт
12	Государственное бюджетное  учреждение здравоохранения города Москвы «Родильный  дом  № 6  им. А. А. Абрикосовой   Департамента здравоохранения города Москвы»	125047, Москва, 2-я Миусская  ул., д. 1/10	ЦАО	и.о. Санчук Елена Николаевна	(499) 251-7757	(499) 251-7757	С 01.09.2012г. присоединяется к  ГБ № 8
13	Государственное  бюджетное учреждение здравоохранения города Москвы Родильный  дом  № 8   Департамента здравоохранения    города Москвы»	109507, Москва, Самаркандский бульвар, д.3, стр.1,2	ЮВАО	Кузнецов Вадим Петрович	(495) 709-0109	(495) 709-1703	отсутсвует
14	Государственное  бюджетное учреждение здравоохранения города Москвы «Родильный дом  № 10   Департамента здравоохранения   города Москвы»	117303, Москва, ул. Азовская,  д.22	ЮЗАО	Озимковская Елена Петровна	(495) 318-3653	(495) 318-9579	отсутсвует
15	Государственное  бюджетное учреждение здравоохранения города Москвы «Родильный дом  № 11  Департамента здравоохранения города Москвы»	127549, Москва, ул.  Костромская, д.3	СВАО	Овешникова Татьяна Зосимовна	(499) 206-00-39	(499) 206-13-88	отсутсвует
16	Государственное бюджетное  учреждение здравоохранения города Москвы «Родильный  дом  № 14  Департамента здравоохранения города Москвы»	109044, Москва, 3-й Крутицкий пер., д.16	ЦАО	Ярёма  Владимир Владимирович	(495) 676-9876	(495) 676-9876	отсутсвует
17	Государственное бюджетное  учреждение здравоохранения города Москвы «Родильный  дом  № 15  Департамента здравоохранения города Москвы»	115088, Москва, Шарикоподшипниковская ул., д.3	ЮВАО	Пастарнак Андрей Юрьевич	(495) 674-4286	(495) 674-4286	отсутсвует
18	Государственное  бюджетное учреждение здравоохранения города Москвы «Родильный дом  № 16  Департамента  здравоохранения   города Москвы»	125080, Москва,  ул. Верещагина, д.7	САО	и.о. Сиднев Дмитрий Александрович	(499) 728-10-52	(499) 198-2121	отсутсвует
19	Государственное учреждение здравоохранения города Москвы Родильный дом  № 17  Управления здравоохранения   Северного  АО города Москвы	127591, Москва, ул.  800-летия Москвы, д.22	САО	Торубаров Сергей Феликсович	(499) 906-0130	(499) 906-0131	отсутсвует
