№ строки	Название	Адрес	Административный округ, район	Адрес начала маршрута	Вид использования	Вид трассы	Протяженность (км)	Балансодержатель	Эксплуатирующая организация лыжной трассы
1	Парк «Березовая роща»	улица Куусинена, дома 15-19	САО	улица Куусинена, дома 15-19	Существующая	Прогулочная	0.80000000000	ГУ Мосзеленхоз	ГУ Мосзеленхоз
2	Парк по Коровинскому шоссе	Коровинское шоссе	САО	Коровинское шоссе	Существующая	Прогулочная	1.50000000000	ГУ Мосзеленхоз	ГУ Мосзеленхоз
3	Сквер у кинотеатра "Ереван"	Дмитровское шоссе, дом. 82	САО	Дмитровское шоссе, дом. 82	Существующая	Прогулочная	1.10000000000	ГУ Мосзеленхоз	ГУ Мосзеленхоз
4	Парк "Северные дубки"	Керамический проезд	САО	Керамический проезд	Существующая	Прогулочная	1.00000000000	ГУ Мосзеленхоз	ГУ "ЦФКиС САО"
5	Ходынское поле	Ходынский бульвар	САО	Ходынский бульвар	Существующая	Прогулочная	1.00000000000	ГУ Мосзеленхоз	Управа Хорошевского района
6	Олонецкий проезд, дом 10-20	Олонецкий проезд, дом 5	СВАО/Бабушкинский	Олонецкий проезд, дом 5	Существующая	Прогулочная	1.50000000000	ГКУ "Мосзеленхоз"	ГКУ "Мосзеленхоз"
7	ул. Сухонская, 19	ул. Сухонская,  д.19	СВАО/Северное Медведково	ул. Сухонская,  д.19	Существующая	Прогулочная	1.70000000000	ГКУ "Мосзеленхоз"	ГКУ "Мосзеленхоз"
8	9-я Северная линия, дом 1, корпус 3	9-я Северная линия, дом 1, корпус 3	СВАО/Северный	9-я Северная линия, дом 1, корпус 3	Существующая	Прогулочная	3.00000000000	Лесопаркхоз "Хлебниково"	ГУ "ЦФКиС СВАО"
9	Алтуфьевское шоссе, д. 102Б	Алтуфьевское шоссе, д. 102Б	СВАО, Бибирево	Алтуфьевское шоссе, д. 102Б	Существующая	Прогулочная	2.00000000000	ГПБУ "Управление ООПТ по СВАО"	ГПБУ "Управление ООПТ по СВАО"
10	ул. Мелиховская, д. 2 (пойма вдоль реки "Чермянка")	ул. Мелиховская, д. 2 (пойма вдоль реки "Чермянка")	СВАО, Бибирево	ул. Мелиховская, д. 2 (пойма вдоль реки "Чермянка")	Существующая	Прогулочная	2.00000000000	ГПБУ "Управление ООПТ по СВАО"	ГУ "ЦФКиС СВАО"
11	Участок между ул. Череповецкой, Псковской, Зональной, Угличской	Участок между ул. Череповецкой, Псковской, Зональной, Угличской	СВАО, Лианозово	Участок между ул. Череповецкой, Псковской, Зональной, Угличской	Проектируемая	Прогулочная	2.50000000000	ГПБУ "Управление ООПТ по СВАО"	ГУ "ЦФКиС СВАО"
12	Вдоль Вологодского проезда	Вдоль Вологодского проезда	СВАО, Лианозово	Вдоль Вологодского проезда	Существующая	Прогулочная	1.00000000000	ГКУ "ДирекцияЖКХиБ СВАО"	ГКУ "ДирекцияЖКХиБ СВАО"
13	Хлебниковский лесопарк, Студеный проезд, д. 1, корп. 1, ул. Полярная, д. 56, корп. 2	Хлебниковский лесопарк, Студеный проезд, д. 1, корп. 1, ул. Полярная, д. 56, корп. 2	СВАО, Северное Медведково	Хлебниковский лесопарк, Студеный проезд, д. 1, корп. 1, ул. Полярная, д. 56, корп. 2	Существующая	Прогулочная	1.50000000000	ГПБУ "Управление ООПТ по СВАО"	ГПБУ "Управление ООПТ по СВАО"
14	Хлебниковский лесопарк, ПК-1, 13 (кв. 117-119) Долгопрудненская аллея	Хлебниковский лесопарк, ПК-1, 13 (кв. 117-119) Долгопрудненская аллея	СВАО, Северный	Хлебниковский лесопарк, ПК-1, 13 (кв. 117-119) Долгопрудненская аллея	Проектируемая	Прогулочная	4.00000000000	ГПБУ "Управление ООПТ по СВАО"	ГПБУ "Управление ООПТ по СВАО"
15	ул. Ротерта, д. 5, Национальный парк "Лосиный остров"	ул. Ротерта, д. 5, Национальный парк "Лосиный остров"	СВАО, Ярославский	ул. Ротерта, д. 5, Национальный парк "Лосиный остров"	Существующая	Прогулочная	3.00000000000	ФГУ "Национальный парк "Лосиный остров"	Муниципалитет ВМО Ярославское в г. Москве, префектура СВАО
16	Территория между Алтуфьевским шоссе и поселком Нагорное (Московская область)	Территория между Алтуфьевским шоссе и поселком Нагорное (Московская область)	СВАО, Бибирево	Территория между Алтуфьевским шоссе и поселком Нагорное (Московская область)	Существующая	Прогулочная	5.00000000000	Московская область	Префектура СВАО
17	ул. Сельскохозяйственная, д. 26	ул. Сельскохозяйственная, д. 26	СВАО, Ростокино	ул. Сельскохозяйственная, д. 26	Существующая	Прогулочная	1.00000000000	ГУ "ИС района Ростокино"	Муниципалитет района Ростокино, префектура СВАО
18	ул. Гончарова, д. 6 (филиал Лианозовского парка)	ул. Гончарова, д. 6 (филиал Лианозовского парка)	СВАО, Бутырский	ул. Гончарова, д. 6 (филиал Лианозовского парка)	Существующая	Прогулочная	1.00000000000	Департамент Культуры города Москвы	ГУК "Лианозовский парк"
19	ГУК "Лианозовский парк культуры и отдыха", ул. Угличская, д. 13	ГУК "Лианозовский парк культуры и отдыха", ул. Угличская, д. 13	СВАО, Лианозово	ГУК "Лианозовский парк культуры и отдыха", ул. Угличская, д. 13	Существующая	Прогулочная	1.80000000000	ГУ "Мосзеленхоз"	Департамент культуры                              г. Москвы
20	Джамгаровский парк (Стартовая улица)	Джамгаровский парк (Стартовая улица)	СВАО, Лосиноостровский	Джамгаровский парк (Стартовая улица)	Проектируемая	Прогулочная	6.45000000000	ГУ "Мосзеленхоз"	ГУ "Мосзеленхоз"
21	Сквер по ул.Тайнинская. Осташковская, Изумрудная	Парк "Торфянка" ул. Осташковская, Изумрудная	СВАО, Лосиноостровский	Парк "Торфянка" ул. Осташковская, Изумрудная	Существующая	Прогулочная	1.20000000000	ГУ "Мосзеленхоз"	ГУ "Мосзеленхоз"
22	Бабушкинский ПКиО ул. Менжинского, д. 6	Бабушкинский ПКиО ул. Менжинского, д. 6	СВАО, Лосиноостровский	Бабушкинский ПКиО ул. Менжинского, д. 6	Существующая	Прогулочная	1.00000000000	ГУК "Бабушкинский парк"	ГУК "Бабушкинский парк"
23	ул. 1-ая Останкинская, вл. 7а	ул. 1-ая Останкинская, вл. 7а	СВАО, Останкинский	ул. 1-ая Останкинская, вл. 7а	Существующая	Прогулочная	5.90000000000	ГУП КСПК "Останкино"	ГУП КСПК "Останкино", префектура СВАО
24	Юрловский проезд, д. 6, вл. 12-14	Юрловский проезд, д. 6, вл. 12-14	СВАО, Отрадное	Юрловский проезд, д. 6, вл. 12-14	Существующая	Прогулочная	2.50000000000	ГКУ "ДирекцияЖКХиБ СВАО"	ГКУ "ДирекцияЖКХиБ СВАО"
25	Сквер у Миллионного моста	Проспект Мира, д. 161-163	СВАО, Ростокино	Проспект Мира, д. 161-163	Существующая	Прогулочная	1.10000000000	ГКУ "Мосзеленхоз"	ГКУ "Мосзеленхоз"
26	Ростокинский Акведук	Проезд Кодомцева, д. 5-15 (Акведук)	СВАО, Ростокино	Проезд Кодомцева, д. 5-15 (Акведук)	Существующая	Прогулочная	5.00000000000	ГКУ "Мосзеленхоз"	ГКУ "Мосзеленхоз"
27	Сквер у метро "Ботанический сад", ул. В. Пика-Леоновская	Сквер у метро "Ботанический сад", ул. В. Пика-Леоновская	СВАО, Ростокино	Сквер у метро "Ботанический сад", ул. В. Пика-Леоновская	Проектируемая	Прогулочная	7.00000000000	ГКУ "Мосзеленхоз"	ГКУ "Мосзеленхоз"
28	Тенистый пр. вл. 6-8	Тенистый пр. вл. 6-8	СВАО, Свиблово	Тенистый пр. вл. 6-8	Существующая	Прогулочная	1.50000000000	ГКУ "ДирекцияЖКХиБ СВАО"	ГКУ "ДирекцияЖКХиБ СВАО"
29	Этнографическая деревня Бибирево	Этнографическая деревня, вдоль улицы Белозерская	СВАО, Бибирево	Этнографическая деревня, вдоль улицы Белозерская	Проектируемая	Прогулочная	1.00000000000	ГУ "Мосзеленхоз"	ГУ "Мосзеленхоз"
30	Олонецкий проезд, дом 10-20	Олонецкий проезд, дом 5	СВАО/Бабушкинский	Олонецкий проезд, дом 5	Существующая	Прогулочная	0.80000000000	ГКУ "Мосзеленхоз"	ГКУ "Мосзеленхоз"
31	Сквер между ул.Саникова и ул. Хачатуряна	Сквер между ул.Саникова и ул. Хачатуряна	СВАО, Отрадное	Сквер между ул.Саникова и ул. Хачатуряна	Существующая	Прогулочная	2.00000000000	ГКУ "ДирекцияЖКХиБ СВАО"	ГКУ "ДирекцияЖКХиБ СВАО"
32	ул. Северодвинская, д. 11	ул. Северодвинская, д. 11	СВАО, Северное Медведково	ул. Северодвинская, д. 11	Проектируемая	Прогулочная	1.00000000000	ГКУ "ДирекцияЖКХиБ СВАО"	ГКУ "ДирекцияЖКХиБ СВАО"
33	ул. Сухонская, д. 7	ул. Сухонская, д. 7	СВАО, Южное Медведково	ул. Сухонская, д. 7	Существующая	Прогулочная	1.90000000000	ГКУ "Мосзеленхоз"	ГКУ "Мосзеленхоз"
34	Сквер по ул. Заповедная	Певческое поле, ул. Заповедная	СВАО, Южное Медведково	Певческое поле, ул. Заповедная	Существующая	Прогулочная	7.00000000000	ГУ "Мосзеленхоз"	ГУ "Мосзеленхоз"
