№ строки	Название	Адрес	Район	Юридический адрес	Телефон	Факс	Сайт	Электронная почта
1	Государственное бюджетное учреждение культуры города Москвы «Московский выставочный зал «Галерея А3»	119002, г.Москва, Староконюшенный пер., д.39	Арбат	119002, г.Москва, Староконюшенный пер., д.39	(495) 697-14-56	(495) 697-14-56	a3.artfor.ru	a3@complat.ru
2	Государственное бюджетное учреждение культуры города Москвы «Государственный выставочный зал «Ковчег»	127434, г.Москва, ул. Немчинова, д.12	Тимирязевский	127434, г.Москва, ул. Немчинова, д.12	(499) 977-00-44, (499) 977-00-88	(499) 977-00-88		gvz-kovcheg@mail.ru
3	Государственное бюджетное учреждение культуры города Москвы «Государственный выставочный зал «Галерея на Песчаной»	125252, г.Москва, ул. Новопесчаная, д.23/7	Сокол	125252, г.Москва, ул. Новопесчаная, д.23/7	(499) 943-51-31	(499) 943-51-31	na-peskah.ucoz.ru	napeskax@mail.ru
4	Государственное бюджетное учреждение культуры города Москвы «Государственный выставочный зал «Ростокино»	129128, г.Москва, ул. Ростокинская, д.1	Ростокино	129128, г.Москва, ул. Ростокинская, д.1	(499) 187-10-45	(499) 187-13-49	vzrostokino.ru	1871349@mail.ru
5	Государственное бюджетное учреждение культуры города Москвы «Государственный выставочный зал «Галерея L»	127018, г.Москва, ул. Октябрьская, д.26	Марьина Роща	127018, г.Москва, ул. Октябрьская, д.26	(495) 689-24-91	(495) 689-24-91		l-gallery@newmail.ru
6	Государственное бюджетное учреждение культуры города Москвы «Государственный выставочный зал «Галерея «Измайлово»	105037, г.Москва, Измайловский пр-д, д.4	Измайлово	105037, г.Москва, Измайловский пр-д, д.4	(499) 166-44-96	(499) 166-44-96		gallery-izmailovo@mail.ru
7	Государственное бюджетное учреждение культуры города Москвы «Выставочный зал «Богородское»	107370, г.Москва, Открытое ш., д.5 корп.6	Богородское	107370, г.Москва, Открытое ш., д.5 корп.6	(499) 168-30-15	(499) 168-87-60		art-bogorod@yandex.ru
8	Государственное бюджетное учреждение культуры города Москвы «Государственный выставочный зал «АРТ-Измайлово»	105043, г.Москва, Измайловский б-р, д.30	Измайлово	105043, г.Москва, Измайловский б-р, д.30	(499) 367-45-81	(499) 367-45-81		gvsmizm@mail.ru
9	Государственное бюджетное учреждение культуры города Москвы «Выставочный зал «Арт-холл Юго-восток»	109377, г.Москва, ул. Ташкентская, д.9	Выхино-Жулебино	109444, г. Москва, ул. Ташкентская, д.9	(495) 377-42-52	(495) 377-21-00	vzv-art.ru	vzarthall@cumail.ru
10	Государственное бюджетное учреждение культуры города Москвы «Государственный выставочный зал истории войны в Афганистане»	111123, г.Москва, ул. 1-я Владимирская, д.12 корп.1	Перово	111141, г.Москва, Зеленый пр-т, д.7а	(495) 306-43-30	(495) 306-43-30		afghan-museum@mail.ru
11	Государственное бюджетное учреждение культуры города Москвы «Государственный выставочный зал «Пересветов переулок»	109068, г.Москва, Пересветов пер., д.4 корп.1	Даниловский	109068, г.Москва, Пересветов пер., д.4 корп.1	(495) 675-22-28	(495) 675-22-28		peresvetovgallery@gmail.com
12	Государственное бюджетное учреждение культуры города Москвы «Государственный выставочный зал-музей «Наследие»	115598, г.Москва, ул. Лебедянская, д.24 корп.2	Бирюлево Восточное	115598, г.Москва, ул. Лебедянская, д.24 корп.2	(495) 329-60-39	(495) 329-00-27	bv.uao.mos.ru	zal-nasledie@mail.ru
13	Государственное бюджетное учреждение культуры города Москвы «Государственный выставочный зал «Варшавка»	117556, г.Москва, Варшавское ш., д.75 корп.1	Нагорный	117556, г.Москва, Варшавское ш., д.75 корп.1	(499) 613-39-35	(499) 610-58-25		varshavka-art@mail.ru
14	Государственное бюджетное учреждение культуры города Москвы «Государственный выставочный зал «Варшавка»	115230, г.Москва, Варшавское ш., д.68 корп.1	Нагорный	117556, г.Москва, Варшавское ш., д.75 корп.1	(499) 613-39-35	(499) 610-58-25		varshavka-art@mail.ru
