№ строки	Название	Адрес	Административный округ	Район	Заказчик	Площадь (кв.м.)
1	Маршала Федоренко, вл.2	Маршала Федоренко, вл.2	 САО	Беговой	Префектура	800.00000000000
2	Путевой пр,38А	Путевой пр,38А	 СВАО	Алтуфьевский	Префектура	1125.00000000000
3	ул.Чичерина,  д.8,к.1(сквер)	ул.Чичерина,  д.8,к.1(сквер)	 СВАО	Бабушкинский	Префектура	1125.00000000000
4	ул.Гончарова,6	ул.Гончарова,6	 СВАО	Бутырский	Префектура	1125.00000000000
5	ПКиО "Бабушкинский"	ПКиО "Бабушкинский"	 СВАО	Лосиноостровский	Департамент культуры города Москвы	1125.00000000000
6	ул.Тайнинская,11,к.1	ул.Тайнинская,11,к.1	 СВАО	Лосиноостровский	Префектура	1125.00000000000
7	КСПК "Останкино"	КСПК "Останкино"	 СВАО	Останкинский	Департамент жилищно-коммунального хозяйства и благоустройства города Москвы	1800.00000000000
8	Прудовый проезд,д.10	Прудовый проезд,д.10	 СВАО	Останкинский	Департамент жилищно-коммунального хозяйства и благоустройства города Москвы	800.00000000000
9	ул.Декабристов, д.29А	ул.Декабристов, д.29А	 СВАО	Отрадное	Префектура	1800.00000000000
10	Территория Ростокинского акведука	Территория Ростокинского акведука	 СВАО	Ростокино	Департамент жилищно-коммунального хозяйства и благоустройства города Москвы	800.00000000000
11	Проспект Мира, д.185	Проспект Мира, д.185	 СВАО	Ростокино	Префектура	1800.00000000000
12	Юрловский пр,вл.6	Юрловский пр,вл.6	 СВАО	Свиблово	Департамент жилищно-коммунального хозяйства и благоустройства города Москвы	1800.00000000000
13	Челобитьевское шоссе,д.14,к.3	Челобитьевское шоссе,д.14,к.3	 СВАО	Северный	Департамент жилищно-коммунального хозяйства и благоустройства города Москвы	1925.00000000000
14	Челобитьевское шоссе, д.2, к.1	Челобитьевское шоссе, д.2, к.1	 СВАО	Северный	Префектура	1925.00000000000
15	Студеный пр-д,д.34,д.36,д.38,к.1	Студеный пр-д,д.34,д.36,д.38,к.1	 СВАО	Северное Медведково	Префектура	2925.00000000000
16	ул.Грекова,4	ул.Грекова,4	 СВАО	Северное Медведково	Префектура	2925.00000000000
17	ул. Заповедная,д.28	ул. Заповедная,д.28	 СВАО	Южное Медведково	Префектура	1125.00000000000
18	Палехская ул.,д.11	Палехская ул.,д.11	 СВАО	Ярославский	Префектура	1125.00000000000
19	Белозерская, вл.10	Белозерская, вл.10	 СВАО	Бибирево	Префектура	1125.00000000000
20	Открытое шоссе, д. 9	Открытое шоссе, д. 9	 ВАО	Богородское	Префектура	1800.00000000000
21	ул. Вешняковская, 16Д	ул. Вешняковская, 16Д	 ВАО	Вешняки	Префектура	800.00000000000
22	Южный парк	Южный парк	 ВАО	Восточный	Префектура	1800.00000000000
23	ул.Новоостаповская (между домами 6, 10, 12)	ул.Новоостаповская (между домами 6, 10, 12)	 ЮВАО	Южнопортовый	Префектура	1800.00000000000
24	Территория за кинотеатром «Спутник», Солдатская, 15	Территория за кинотеатром «Спутник», Солдатская, 15	 ЮВАО	Лефортово	Префектура	3125.00000000000
25	ул.Привольная,напротив д.41	ул.Привольная,напротив д.41	 ЮВАО	Выхино-Жулебино	Департамент жилищно-коммунального хозяйства и благоустройства города Москвы	800.00000000000
26	ул. Зарайская вл.51-55	ул. Зарайская вл.51-55	 ЮВАО	Рязанский	Префектура	1800.00000000000
27	ул. Гурьянова, вл. 83	ул. Гурьянова, вл. 83	 ЮВАО	Печатники	Префектура	1800.00000000000
28	Капотня, 1-ый квартал	Капотня, 1-ый квартал	 ЮВАО	Капотня	Префектура	1800.00000000000
29	Загорьевская ул,д.31	Загорьевская ул,д.31	 ЮАО	Бирюлево Восточное	Префектура	800.00000000000
30	Востряковский пр-зд,д.23,к.2	Востряковский пр-зд,д.23,к.2	 ЮАО	Бирюлево Западное	Департамент жилищно-коммунального хозяйства и благоустройства города Москвы	800.00000000000
31	Парк Братеево	Парк Братеево	 ЮАО	Братеево	Департамент жилищно-коммунального хозяйства и благоустройства города Москвы	2800.00000000000
32	Коломенская наб,д.22	Коломенская наб,д.22	 ЮАО	Даниловское	Префектура	1800.00000000000
33	Загородное ш.,д.2	Загородное ш.,д.2	 ЮАО	Донской	Префектура	800.00000000000
34	Ореховый пр-зд,вл.41	Ореховый пр-зд,вл.41	 ЮАО	Зябликово	Префектура	800.00000000000
35	ул.Борисовские пруды,д.2	ул.Борисовские пруды,д.2	 ЮАО	Москворечье-Сабурово	Префектура	1800.00000000000
36	Каширский пр-зд,д.9,к.1	Каширский пр-зд,д.9,к.1	 ЮАО	Нагатино-Садовники	Префектура	1800.00000000000
37	Парк 60-летия Октября	Парк 60-летия Октября	 ЮАО	Нагатинский затон	Департамент жилищно-коммунального хозяйства и благоустройства города Москвы	2800.00000000000
38	Симферопольский б-р,15	Симферопольский б-р,15	 ЮАО	Нагорный	Префектура	800.00000000000
39	Маршала Захарова,14,вл.3	Маршала Захарова,14,вл.3	 ЮАО	Орехово-Борисово Северное	Префектура	800.00000000000
40	Шипиловский пр-зд,д.63	Шипиловский пр-зд,д.63	 ЮАО	Орехово-Борисово Южное	Департамент природопользования и охраны окружающей среды города Москвы	0.00000000000
41	Пролетарский пр-кт,д.41	Пролетарский пр-кт,д.41	 ЮАО	Царицыно	Департамент жилищно-коммунального хозяйства и благоустройства города Москвы	800.00000000000
42	Сумская ул., напротив вл.1-3	Сумская ул., напротив вл.1-3	 ЮАО	Чертаново Северное	Префектура	1800.00000000000
43	Днепропетровская ул,31	Днепропетровская ул,31	 ЮАО	Чертаново Центральное	Департамент жилищно-коммунального хозяйства и благоустройства города Москвы	800.00000000000
44	ФОК по ул.Красного Маяка, вл.28	ФОК по ул.Красного Маяка, вл.28	 ЮАО	Чертаново Центральное	Департамент природопользования и охраны окружающей среды города Москвы	800.00000000000
45	Россошанская ул.,6-10	Россошанская ул.,6-10	 ЮАО	Чертаново Южное	Префектура	800.00000000000
46	ул.Шверника,д.9,к.5	ул.Шверника,д.9,к.5	 ЮЗАО	Академический	Префектура	480.00000000000
47	Московский городской Дворец детского творчества, ул.Косыгина, 17	Московский городской Дворец детского творчества, ул.Косыгина, 17	 ЮЗАО	Гагаринский	Департамент жилищно-коммунального хозяйства и благоустройства города Москвы	800.00000000000
48	Каховка,д.11,стр.1	Каховка,д.11,стр.1	 ЮЗАО	Зюзино	Префектура	1800.00000000000
49	ул.Введенского,д.13,к2	ул.Введенского,д.13,к2	 ЮЗАО	Коньково	Префектура	860.00000000000
50	Севастопольский пр-кт,д.33-37	Севастопольский пр-кт,д.33-37	 ЮЗАО	Котловка	Департамент жилищно-коммунального хозяйства и благоустройства города Москвы	800.00000000000
51	Ленинский пр-кт, вл.82-86	Ленинский пр-кт, вл.82-86	 ЮЗАО	Ломоносовский	Префектура	2000.00000000000
52	Воронцовский парк	Воронцовский парк	 ЮЗАО	Обручевский	Департамент жилищно-коммунального хозяйства и благоустройства города Москвы	800.00000000000
53	ул. Старобитцевская, напротив д.23	ул. Старобитцевская, напротив д.23	 ЮЗАО	Северное Бутово	Департамент природопользования и охраны окружающей среды города Москвы	0.00000000000
54	ул.Островитянова,вл.10	ул.Островитянова,вл.10	 ЮЗАО	Теплый Стан	Департамент природопользования и охраны окружающей среды города Москвы	0.00000000000
55	Проектируемый пр-зд,46-68 (ул.Цурюпы,д.13)	Проектируемый пр-зд,46-68 (ул.Цурюпы,д.13)	 ЮЗАО	Черемушки	Префектура	1800.00000000000
56	ул.Южнобутовская,д.34-36 (Детский парк)	ул.Южнобутовская,д.34-36 (Детский парк)	 ЮЗАО	Южное Бутово	Префектура	1800.00000000000
57	ул.Голубинская.д.7,к.2	ул.Голубинская.д.7,к.2	 ЮЗАО	Ясенево	Префектура	1800.00000000000
58	ул. Рассказовская, д.31	ул. Рассказовская, д.31	 ЗАО	Внуково	Префектура	800.00000000000
59	ул.Кастанаевская, рядом с вл.64	ул.Кастанаевская, рядом с вл.64	 ЗАО	Дорогомилово	Префектура	800.00000000000
60	Парк "Москворецкий"	Парк "Москворецкий"	 ЗАО	Крылатское	Департамент природопользования и охраны окружающей среды города Москвы	0.00000000000
61	 ул.Курганская, напротив д.6-10	 ул.Курганская, напротив д.6-10	 ВАО	Гольяново	Департамент природопользования и охраны окружающей среды города Москвы	0.00000000000
62	Молостовых, 10д	Молостовых, 10д	 ВАО	Ивановское	Префектура	800.00000000000
63	ПКиО "Измайлово"	ПКиО "Измайлово"	 ВАО	Измайлово	Департамент культуры города Москвы	0.00000000000
64	Лухмановская, 35, напротив разворотного круга	Лухмановская, 35, напротив разворотного круга	 ВАО	Косино-Ухтомский	Префектура	1800.00000000000
65	НП "Лосиный остров" квартал 13/1	НП "Лосиный остров" квартал 13/1	 ВАО	Метрогородок	Департамент природопользования и охраны окружающей среды города Москвы	0.00000000000
66	ул.Лосиноостровская, кв.31	ул.Лосиноостровская, кв.31	 ВАО	Метрогородок	Департамент природопользования и охраны окружающей среды города Москвы	0.00000000000
67	Кусковская, д. 47	Кусковская, д. 47	 ВАО	Новогиреево	Префектура	800.00000000000
68	ул.Суздальская, вл.44	ул.Суздальская, вл.44	 ВАО	Новокосино	Департамент жилищно-коммунального хозяйства и благоустройства города Москвы	800.00000000000
69	ш.Энтузиастов, кв-л 38 (пересечение ш.Энтузиастов  и ул.2-ая Владимирская)	ш.Энтузиастов, кв-л 38 (пересечение ш.Энтузиастов  и ул.2-ая Владимирская)	 ВАО	Перово	Департамент природопользования и охраны окружающей среды города Москвы	0.00000000000
70	наб. Шитова, вл.8	наб. Шитова, вл.8	 ВАО	Преображенское	Департамент жилищно-коммунального хозяйства и благоустройства города Москвы	800.00000000000
71	Щелковское шоссе,д.2	Щелковское шоссе,д.2	 ВАО	Северное Измайлово	Префектура	1800.00000000000
72	ул.Уткина,41Б	ул.Уткина,41Б	 ВАО	Соколиная Гора	Префектура	800.00000000000
73	ПКиО "Сокольники"	ПКиО "Сокольники"	 ВАО	Сокольники	Департамент культуры города Москвы	0.00000000000
74	ул.Окская,д.16	ул.Окская,д.16	 ЮВАО	Кузьминки	Префектура	800.00000000000
75	ул.Совхозная, д.4,к.4	ул.Совхозная, д.4,к.4	 ЮВАО	Люблино	Департамент жилищно-коммунального хозяйства и благоустройства города Москвы	800.00000000000
76	Парк Артема Боровика	Парк Артема Боровика	 ЮВАО	Марьино	Префектура	1800.00000000000
77	Зеленая зона на пересечении  проектируемых проездов 6391 и 6392	Зеленая зона на пересечении  проектируемых проездов 6391 и 6392	 ЮВАО	Некрасовка	Префектура	1800.00000000000
78	Перовское шоссе, 27	Перовское шоссе, 27	 ЮВАО	Нижегородский	Префектура	1800.00000000000
79	Парк Шкулева	Парк Шкулева	 ЮВАО	Текстильщики	Префектура	800.00000000000
80	Ст. Басманная, д. 15- Сад им. Баумана	Ст. Басманная, д. 15- Сад им. Баумана	 ЦАО	Басманный	Департамент культуры города Москвы	0.00000000000
81	ПКиО Красная Пресня	ПКиО Красная Пресня	 ЦАО	Пресненский	Департамент культуры города Москвы	0.00000000000
82	ПКиО "Таганский" (Детский парк)	ПКиО "Таганский" (Детский парк)	 ЦАО	Таганский	Департамент культуры города Москвы	0.00000000000
83	Дмитровское ш., д.80	Дмитровское ш., д.80	 САО	Бескудниковский	Префектура	800.00000000000
84	Парк-Усадьба "Михалково"	Парк-Усадьба "Михалково"	 САО	Головинский	Префектура	800.00000000000
85	парк "Северные Дубки" Керамический пр-д, д.71	парк "Северные Дубки" Керамический пр-д, д.71	 САО	Восточное Дегунино	Префектура	800.00000000000
86	Парк по Ангарской улице	Парк по Ангарской улице	 САО	Дмитровский	Департамент жилищно-коммунального хозяйства и благоустройства города Москвы	1800.00000000000
87	ул. Талдомская, вл.2	ул. Талдомская, вл.2	 САО	Западное Дегунино	Префектура	1800.00000000000
88	Парк "Бригантина" Коптевский бульвар	Парк "Бригантина" Коптевский бульвар	 САО	Коптево	Префектура	800.00000000000
89	пр.Черепановых,68	пр.Черепановых,68	 САО	Коптево	Префектура	800.00000000000
90	парк Северного речного вокзала	парк Северного речного вокзала	 САО	Левобережный	Департамент жилищно-коммунального хозяйства и благоустройства города Москвы	800.00000000000
91	ул. Фестивальная,д.4	ул. Фестивальная,д.4	 САО	Левобережный	Префектура	1800.00000000000
92	Посёлок Новоподрезково, 3-я Подрезковая д.14	Посёлок Новоподрезково, 3-я Подрезковая д.14	 САО	Молжаниновский	Префектура	1800.00000000000
93	парк Дубки, ул.Немчинова,12	парк Дубки, ул.Немчинова,12	 САО	Тимирязевский	Департамент жилищно-коммунального хозяйства и благоустройства города Москвы	800.00000000000
94	ул. Онежская,д.53,к.1	ул. Онежская,д.53,к.1	 САО	Ховрино	Префектура	800.00000000000
95	Парк "Березовая роща" (ул.Куусинена , д.15-19)	Парк "Березовая роща" (ул.Куусинена , д.15-19)	 САО	Хорошевский	Префектура	800.00000000000
96	ул.Башиловская, 41(Вятская ул,вл.41) Стадион "Автомобилист"	ул.Башиловская, 41(Вятская ул,вл.41) Стадион "Автомобилист"	 САО	Савеловский	Префектура	800.00000000000
