№ строки	Адрес	Тип объекта	Ведомственная принадлежность	Телефон	Сайт	Электронная почта	Административный округ	Район
1	Рублевское шоссе дом 28 корпус 3	открытые ледовые катки на месте спортивных площадок (сезонные)	Муниципалитет	8-499-727-55-40	-	-	ЗАО	Крылатское
2	Туристская 11,корпус  2	общеобразовательные учреждения	Департамент образования города Москвы	8-495-948-66-19	-	-	СЗАО	Южное Тушино
3	Полоцкая улица, дом  8	открытые ледовые катки на месте спортивных площадок (сезонные)	Муниципалитет	8-499-727-55-32	-	-	ЗАО	Кунцево
4	улица  Крылатская, дом  1	открытые ледовые катки (сезонные)	частная	8-495-662-43-92	-	-	ЗАО	Крылатское
5	улица  Вилиса Лациса,  дом 11, корпус  3	открытые ледовые катки на месте спортивных площадок (сезонные)	Муниципалитет	8 -916-887-33-22	-	-	СЗАО	Северное Тушино
6	Рублёвское шоссе, дом  24, корпус  3	открытые ледовые катки на месте спортивных площадок (сезонные)	Муниципалитет	-	-	-	ЗАО	Кунцево
7	улица  Крылатская, дом  14	открытые ледовые катки (сезонные)	Муниципалитет	-	-	-	ЗАО	Крылатское
8	улица  Планерная дом 5, корпус  3	открытые ледовые катки на месте спортивных площадок (сезонные)	Муниципалитет	8 -916-887-33-22	-	-	СЗАО	Северное Тушино
9	Аэродромная,дом 9	общеобразовательные учреждения	Департамент образования города Москвы	8-495-948-66-19	-	-	СЗАО	Южное Тушино
10	улица  Красных Зорь, дом  37	открытые ледовые катки на месте спортивных площадок (сезонные)	Муниципалитет	8-495-446-57-83	-	-	ЗАО	Можайский
11	улица  Планерная,  дом 7, корпус 1	открытые ледовые катки на месте спортивных площадок (сезонные)	Муниципалитет	8 -916-887-33-22	-	-	СЗАО	Северное Тушино
12	Можайское шоссе, дом  10	открытые ледовые катки на месте спортивных площадок (сезонные)	Муниципалитет	8-495-446-57-83	-	-	ЗАО	Можайский
13	улица  Багрицкого,      дом  22	открытые ледовые катки на месте спортивных площадок (сезонные)	Муниципалитет	8-495-446-57-83	-	-	ЗАО	Можайский
14	улица  Планерная,  дом 12, корпус 1	открытые ледовые катки на месте спортивных площадок (сезонные)	Муниципалитет	8 -916-887-33-22	-	-	СЗАО	Северное Тушино
15	Нелидовская улица, дом  18	открытые ледовые катки на месте спортивных площадок (сезонные)	Муниципалитет	8-495-948-83-51	-	-	СЗАО	Южное Тушино
16	улица  Планерная,  дом 16, корпус 5	открытые ледовые катки на месте спортивных площадок (сезонные)	Муниципалитет	8 -916-887-33-22	-	-	СЗАО	Северное Тушино
17	улица Лукинская дом 7	открытые ледовые катки на месте спортивных площадок (сезонные)	Муниципалитет	8-495-733-06-45	-	-	ЗАО	Ново-Переделкино
18	улица Скульптора Мухиной дом 10 корпус 2	открытые ледовые катки на месте спортивных площадок (сезонные)	Муниципалитет	8-495-733-06-45	-	-	ЗАО	Ново-Переделкино
19	Барышиха улица, дом  33, корпус 1	открытые ледовые катки на месте спортивных площадок (сезонные)	Муниципалитет	8-926-904-63-05	-	-	СЗАО	Митино
20	улица  Лукинская дом 3 корпус 1	открытые ледовые катки на месте спортивных площадок (сезонные)	Муниципалитет	8-495-733-06-45	-	-	ЗАО	Ново-Переделкино
21	улица  Шолохова дом 30	открытые ледовые катки на месте спортивных площадок (сезонные)	Муниципалитет	8-495-733-06-45	-	-	ЗАО	Ново-Переделкино
22	Боровское шоссе дом 56	открытые ледовые катки на месте спортивных площадок (сезонные)	Муниципалитет	8-495-733-06-45	-	-	ЗАО	Ново-Переделкино
23	Барышиха,дом 17, корпус 1	общеобразовательные учреждения	Департамент образования города Москвы	8-495-759-27-32	-	-	СЗАО	Митино
