№ строки	Название	Адрес	Район	Административный округ
1	Ярмарка выходного дня на Измайловская площадь, вл. 1	Измайловская пл. 1	Измайлово	ВАО
2	Ярмарка выходного дня на ул. Лухмановская,  вл. 6	Лухмановская ул. 10А	Косино-Ухтомский	ВАО
3	Ярмарка выходного дня на Зеленый пр-т,  вл. 2	Зелёный просп. 2	Перово	ВАО
4	Ярмарка выходного дня на ул. Ферганская,  вл. 17	Ферганская ул. 17	Выхино-Жулебино	ЮВАО
5	Ярмарка выходного дня на ул. Привольная,  вл. 70	Привольная ул. 70	Выхино-Жулебино	ЮВАО
6	Ярмарка выходного дня на 1-й Капотнинский проезд, вл. 12	1-й Капотнинский пр. 12 с. 1	Капотня	ЮВАО
7	Ярмарка выходного дня на ул. Юных Ленинцев,     вл. 52 у кинотеатра «Высота»	ул. Юных Ленинцев 52	Кузьминки	ЮВАО
8	Ярмарка выходного дня на Волгоградский проспект, вл. 119	Волгоградский просп. 119А	Кузьминки	ЮВАО
9	Ярмарка выходного дня на Шоссе Энтузиастов,      вл. 26 (пл. Новая)	шоссе Энтузиастов 26	Лефортово	ЮВАО
10	Ярмарка выходного дня на Цимлянская ул., вл.1	Цимлянская ул. 1 к. 1	Люблино	ЮВАО
11	Ярмарка выходного дня на Новочеркасский бульвар, вл. 19А у кинотеатра «Экран»	Новочеркасский бульв. 19	Марьино	ЮВАО
12	Ярмарка выходного дня на ул. Нижегородская, вл. 76	Нижегородская ул. 76А	Нижегородский	ЮВАО
13	Ярмарка выходного дня на ул. 3-я Карачаровская, вл. 11	3-я Карачаровская ул. 11	Нижегородский	ЮВАО
14	Ярмарка выходного дня на ул. Шоссейная,  вл. 4	Шоссейная ул. 4 к. 1	Печатники	ЮВАО
15	Ярмарка выходного дня на Люберецкие поля, ул. Рождественская,  вл. 23/33	Рождественская ул. 23/33	Некрасовка	ЮВАО
16	Ярмарка выходного дня на ул. 1-я Новокузьминская, вл. 21	1-я Новокузьминская ул. 21	Рязанский	ЮВАО
17	Ярмарка выходного дня на ул. Михайлова, вл. 29	ул. Михайлова 29 к. 1	Рязанский	ЮВАО
18	Ярмарка выходного дня на Волгоградский пр-т, вл.46	Волгоградский просп. 46/15	Текстильщики	ЮВАО
19	Ярмарка выходного дня на ул. Трофимова,  вл. 17	ул. Трофимова 17	Южнопортовый	ЮВАО
20	Ярмарка выходного дня на ул. Михневская, вл.9/1	Михневская ул. 9 к. 1	Бирюлево Восточное	ЮАО
21	Ярмарка выходного дня на ул. Булатниковская, вл. 9/1	Булатниковская ул. 9	Бирюлево Западное	ЮАО
22	Ярмарка выходного дня на ул. Борисовкие пруды,   вл. 26, стр.2	ул. Борисовские Пруды 26	Братеево	ЮАО
23	Ярмарка выходного дня на ул. Восточная, вл. 26	Восточная ул.	Даниловский	ЮАО
24	Ярмарка выходного дня на 1-й Донской проезд	1-й Донской пр.	Донской	ЮАО
