№ строки	Название	Адрес	Телефон	Сайт
1	Черемушкинский отдел ЗАГС Управления ЗАГС Москвы	улица Миклухо-Маклая, дом 20	(495) 330-72-55	www.zags.mos.ru/zags_moskvy/otdely/cheremushkinskiy_otdel_zags/
2	Чертановский отдел ЗАГС Управления ЗАГС Москвы	Ялтинская улица, дом 1а	(499) 619-66-62	www.zags.mos.ru/zags_moskvy/otdely/chertanovskiy_otdel_zags/
3	Митинский отдел ЗАГС Управления ЗАГС Москвы	Пятницкое шоссе, дом 16, корпус 4	(495) 752-61-26	www.zags.mos.ru/zags_moskvy/otdely/mitinskiy_otdel_zags/
4	Отдел ЗАГС Южное Бутово Управления ЗАГС Москвы	улица Маршала Савицкого, дом 28	(499) 940-98-18	www.zags.mos.ru/zags_moskvy/otdely/otdel_zags_yuzhnoe_butovo/
5	Троицкий отдел ЗАГС Управления ЗАГС Москвы	город Троицк, Центральная улица, дом 28	(495) 851-04-80	www.zags.mos.ru/zags_moskvy/otdely/troitskiy_otdel_zags/
6	Новомосковский отдел ЗАГС Управления ЗАГС Москвы	город Московский, микрорайон 1, дом 19а	(495) 841-82-94	www.zags.mos.ru/zags_moskvy/otdely/novomoskovskiy_otdel_zags/
7	Академический отдел ЗАГС Управления ЗАГС Москвы	Профсоюзная улица, дом 13/12	(499) 125-53-11	www.zags.mos.ru/zags_moskvy/otdely/akademicheskiy_otdel_zags/
8	Архивно-информационный отдел Управления ЗАГС Москвы	Малый Харитоньевский переулок, дом 10, стр. 1	(495) 623-70-89	www.zags.mos.ru/zags_moskvy/otdely/arkhivno_informatsionnyy_otdel/
9	Тушинский отдел ЗАГС Управления ЗАГС Москвы	Химкинский бульвар, дом 14, корп. 1	(499) 493-25-95	www.zags.mos.ru/zags_moskvy/otdely/tushinskiy_otdel_zags/
10	Управление ЗАГС Москвы	улица Новый Арбат, дом 21	(495) 697-52-46	www.zags.mos.ru/contacts/
11	Ухтомский отдел ЗАГС Управления ЗАГС Москвы	Лухмановская улица, дом 15, корпус 3	(499) 797-72-10	www.zags.mos.ru/zags_moskvy/otdely/ukhtomskiy_otdel_zags/
12	Хамовнический отдел ЗАГС Управления ЗАГС Москвы	1-й Вражский переулок, дом 4	(499) 255-88-05	www.zags.mos.ru/zags_moskvy/otdely/khamovnicheskiy_otdel_zags/
13	Хорошевский отдел ЗАГС Управления ЗАГС Москвы	улица Народного Ополчения, дом 23, корпус 2	(495) 947-67-60	www.zags.mos.ru/zags_moskvy/otdely/khoroshevskiy_otdel_zags/
14	Царицынский отдел ЗАГС Управления ЗАГС Москвы	Кантемировская улица, дом 9	(499) 320-73-00	www.zags.mos.ru/zags_moskvy/otdely/tsaritsynskiy_otdel_zags/
15	Бабушкинский отдел ЗАГС Управления ЗАГС Москвы	улица Менжинского, дом 23, корпус 1	(499) 186-00-58	www.zags.mos.ru/zags_moskvy/otdely/babushkinskiy_otdel_zags/
16	Богородский отдел ЗАГС Управления ЗАГС Москвы	бульвар Маршала Рокоссовского, дом 21/21	(499) 169-11-70	www.zags.mos.ru/zags_moskvy/otdely/bogorodskiy_otdel_zags/
17	Вернадский отдел ЗАГС Управления ЗАГС Москвы	улица Лобачевского, дом 2	(499) 432-32-40	www.zags.mos.ru/zags_moskvy/otdely/vernadskiy_otdel_zags/
18	Гагаринский отдел ЗАГС Управления ЗАГС Москвы	Ленинский проспект, дом 44	(499) 137-37-51	www.zags.mos.ru/zags_moskvy/otdely/gagarinskiy_otdel_zags/
19	Дворец бракосочетания № 1 Управления ЗАГС Москвы	Малый Харитоньевский переулок, дом 10, стр. 1	(495) 621-33-78	www.zags.mos.ru/zags_moskvy/dvortsy/dvorets_brakosochetaniya_1/
20	Дворец бракосочетания № 3 Управления ЗАГС Москвы	улица Юных Ленинцев, дом 35, корп. 1	(499) 179-66-14	www.zags.mos.ru/zags_moskvy/dvortsy/dvorets_brakosochetaniya_3/
21	Дворец бракосочетания № 4 Управления ЗАГС Москвы	Бутырская улица, дом 17	(495) 685-79-88	www.zags.mos.ru/zags_moskvy/dvortsy/dvorets_brakosochetaniya_4/
22	Дворец бракосочетания № 5 Управления ЗАГС Москвы	Измайловское шоссе, дом 73ж	(495) 603-94-14	www.zags.mos.ru/zags_moskvy/dvortsy/dvorets_brakosochetaniya_5/
23	Дмитровский отдел ЗАГС Управления ЗАГС Москвы	Коровинское шоссе, дом 6, корпус 2	(499) 488-25-68	www.zags.mos.ru/zags_moskvy/otdely/dmitrovskiy_otdel_zags/
