№ строки	Кадастровый номер	Адрес	Площадь (кв.м.)	Разрешение на использование
1	77:05:0011001:92	ул Маршала Захарова    (г Москва, ул Маршала Захарова, вл 8, корпус 1)	19093.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ЦЕНТРА ОБРАЗОВАНИЯ С ПРИЛЕГАЮЩИМ ЗЕМЕЛЬНЫМ УЧАСТКОМ
2	77:09:0002024:30	ул Ивана Сусанина    (г Москва, ул Ивана Сусанина, вл 4А)	12630.00000000000	ЭКСПЛУАТАЦИИ ДЕТСКОГО САДА
3	77:05:0004007:63	ул Судостроительная    (г Москва, ул Судостроительная, вл 11, корпус 2)	9295.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ, СТРОЕНИЙ И СООРУЖЕНИЙ ДЕТСКОГО САДА С ПРИЛЕГАЮЩИМ ЗЕМЕЛЬНЫМ УЧАСТКОМ
4	77:02:0014009:11	ул Вересковая    (г Москва, ул Вересковая, вл 16а, стр 1)	4341.00000000000	эксплуатации здания детского сада
5	77:01:0006039:13	ул Иерусалимская    (г Москва, ул Иерусалимская, вл 4, стр 1,3)	2700.00000000000	эксплуатации поликлиники
6	77:02:0008008:55	ул Декабристов    (г Москва, ул Декабристов, вл 34А)	8742.00000000000	эксплуатации здания детского сада
7	77:02:0023008:60	ул Маломосковская    (г Москва, ул Маломосковская, вл 9а)	4461.00000000000	использования территории и эксплуатации здания дошкольного образовательного учреждения
8	77:02:0002012:66	ул Пришвина    (г Москва, ул Пришвина, д 19а)	8821.00000000000	ИСПОЛЬЗОВАНИЯ ТЕРРИТОРИИ И ЭКСПЛУАТАЦИИ здания дошкольного учреждения
9	77:01:0003052:29	пер Глинистый    (адресные ориентиры: Глинистый переулок  вл. 7, стр.1		
10	77:07:0012011:68	ул Веерная    (г Москва, ул Веерная, вл 34, корпус 1)	9171.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА № 582
11	77:05:0011004:90	проезд Борисовский    (г Москва, проезд Борисовский, вл 3, корпус 3)	8839.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО ДОМА-ИНТЕРНАТА №8 ДЛЯ УМСТВЕННО-ОТСТАЛЫХ ДЕТЕЙ С ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИЕЙ
12	77:09:0002023:29	ул Дегунинская    (г Москва, ул Дегунинская, вл 2)	18543.00000000000	ОСУЩЕСТВЛЕНИЯ УЧЕБНО-ВОСПИТАТЕЛЬНОЙ ДЕЯТЕЛЬНОСТИ
13	77:09:0002023:24	ул Дегунинская    (г Москва, ул Дегунинская, вл 24)	9034.00000000000	ЭКСПЛУАТАЦИИ ДЛЯ ОСУЩЕСТВЛЕНИЯ УЧЕБНО-ВОСПИТАТЕЛЬНОЙ ДЕЯТЕЛЬНОСТИ
14	77:04:0002019:35	проезд Саратовский 1-й    (г Москва, проезд 1-й Саратовский, вл 5, стр 1)	5565.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ЦЕНТРА ОБРАЗОВАНИЯ № 1403
15	77:01:0001098:25	пер Дегтярный    (г Москва, пер Дегтярный, вл 7, стр 1)	4345.00000000000	эксплуатации общеобразовательной школы
