№ строки	Название	Адрес	Административный округ	Руководитель	Телефон	Факс	Доп.информация
1	Женская консультация № 16	115280, Москва, ул.Ленинская Слобода, д.5, стр.1		Воронова Нина Зиновьевна	(499) 782-3192		
2	Женская консультация № 13	117485, Москва, ул. Профсоюзная, д.98/11		 и.о. Ильина Елена Вячеславовна	 (495) 336-5277	(495) 138-4485	
3	Женская консультация № 1	 117292, г. Москва, ул. Профсоюзная, дом 24, корп.3			(499) 125-0366	(499) 125-5042	
4	Женская консультация № 2	127560, Москва, ул. Плещеева, д.28		Шашлова Татьяна Альбертовна	 (499) 902-7688	(499) 902-7681	
5	 Женская консультация № 5	 125167, Москва, ул. Степана Супруна, д.3		Черенова Людмила Алексеевна	(495) 614-1348		
6	Женская консультация № 4	125183, Москва, 4-ый Новомихалковский проезд, д. 6		Лукина Надежда Александровна	(495) 154-5270		
7	Женская консультация № 8	127411, Москва, Дмитровское шоссе, д.135		Чалова Татьяна Сергеевна	 (495) 614-1348		
8	Женская консультация № 3	109044, Москва, ул.1-я Дубровская, д.3		Коротыгина Екатерина Дмитриевна	(495) 677-1410		
9	Женская консультация № 6	101000, Москва, ул. Маросейка. д.13а		и.о. Тишина Валентина Александровна	 (495) 621-6117		
10	Женская консультация № 7	121069, Москва, Борисоглебский пер., д.6		Якунина Наталья Александровна	(495) 695-4041		
11	Женская консультация № 12	119435, Москва, ул. Малая Пироговская, д.15		Чепурная Юлия Юрьевна	 (499) 246-5563	(499) 245-7709	
12	Женская консультация № 15	107140, Москва, ул. В.Красносельская, д.17/2		Исмаилова Сельминат Гаджикеримовна	(499) 264-7005		
13	Женская консультация № 10	124489, г. Зеленоград, Медицинский комплекс проезд 4923, д.2, стр.6		Пузырькова Инесса Альбертовна	(499) 734-1493	(499)735-8249	
