№ строки	Название	Адрес	Площадь,га	Телефон	Места захоронений	Статус кладбища
1	Ореховское кладбище	Шипиловский пр., д. 45	2.2512000000000003	325-28-45	Захоронение урной в землю	Закрытое
2	Орловское кладбище	Д. Орловка, ул. Староорловская, пос. Западный, Боровское ш., 4-й км. За МКАД	0.6552	437-47-00	Открытый колумбарий	Закрытое
3	Останкинское кладбище	Прудовый пр., вл. 11	2.3203	602-21-39	Открытый колумбарий	Закрытое
4	Остафьево кладбище	Поселение Рязановское, п. Остафьево	7.25	232-40-21	захоронение урной в землю	Закрытое
5	Переделкинское кладбище	поселение Внуковское, с. Переделкино	4.5	448-67-88	захоронение урной в землю	Закрытое
6	Перепечинское кладбище	Московская обл., Солнечногорский р-н, п/о Перепечино, 32-й км. Ленинградского ш.	106.5	578-90-26	открытый колумбарий, захоронение урной в землю	Открытое
7	Перловское кладбище	93-й км. МКАД	12.711	474-24-19	захоронение урной в землю	Закрытое
8	Перовское кладбище	Ул. Кетчерская, д. 20	5.8857	375-29-61	Открытый колумбарий, захоронение урной в землю	Закрытое
9	Песье кладбище	Поселение Щаповское, д. Песье	0.45	232-40-21	захоронение урной в землю	Закрытое
10	Покровское кладбище	Ул. Подольских Курсантов, стр. 24	14.453800000000001	383-43-38	Захоронение урной в землю	Закрытое
11	Преображенское кладбище	ул. Перображенский Вал, д. 17а	16.5209	(499) 161-12-01	Открытый колумбарий	Закрытое
12	Прокшинское кладбище	Поселение Сосенское, д. Прокшино	4.0	448-67-88	захоронение урной в землю	Закрытое
13	Пучково кладбище	Поселение Первомайское, д. Пучково	1.8	952-47-37, 952-29-63	захоронение урной в землю	Закрытое
14	Пыхтинское кладбище	Поселение Внуковское, с. Пыхтино	20.0	448-67-88	захоронение урной в землю	Закрытое
15	Пятницкое кладбище	Дроболитейный пер., вл. 3	14.2592	687-34-61	Захоронение урной в землю, захоронение урной в саркофаг	Закрытое
