№ строки	Название	Адрес	Наименование и ОПФ	Серия и номер лицензии	Дата начала срока действия лицензии	Дата окончания срока действия лицензии	Текущее состояние лицензии
1	Магазин	Россия, Московская область, Наро-Фоминский район, Наро-Фоминск	Общество с ограниченной ответственностью "Калашников"	2158 ДТУ	20120815	20130815	Действует
2	Магазин	Россия, Москва, улица Захарьинские Дворики, 3	Общество с ограниченной ответственностью "Капитан у руля"	1215 ДТУ	20111221	20161221	Действует
3	Магазин	Россия, Москва, улица Брусилова, 15	Общество с ограниченной ответственностью "Комфорт"	1176 ДТУ	20111216	20161216	Действует
4	Магазин	Россия, Москва, улица Брусилова, 27к2	Общество с ограниченной ответственностью "Азимут"	12572 ДПРУ	20100730	20150730	Действует
5	Магазин	Россия, Москва, улица Маршала Савицкого, 22к2	Общество с ограниченной ответственностью "Альянс-групп"	1133 ДТУ	20111207	20161207	Действует
6	Магазин	Россия, Москва, улица Маршала Савицкого, 22к2	Общество с ограниченной ответственностью "Фактор"	893 ДТУ	20110923	20160923	Действует
7	Кафе	Россия, Москва, улица Маршала Савицкого, 16к1	Общество с ограниченной ответственностью "Эллин-трейд"	12423 ДПРУ	20100618	20150618	Действует
8	Магазин	Россия, Москва, улица Маршала Савицкого, 18к1	Общество с ограниченной ответственностью "АНВЛАГ"	12547 ДПРУ	20100723	20150723	Действует
9	Магазин	Россия, Москва, улица Маршала Савицкого, 28к1	Общество с ограниченной ответственностью "Альянс-групп"	1404 ДТУ	20120202	20150202	Действует
10	Магазин	Россия, Москва, улица Маршала Савицкого, 12	Общество с ограниченной ответственностью "Пульс"	13290 ДПРУ	20101202	20151202	Действует
11	Магазин	Россия, Москва, улица Маршала Савицкого, 16	Общество с ограниченной ответственностью "ЭксКапитал"	12420 ДПРУ	20100616	20150616	Действует
12	Магазин	Россия, Москва, улица Маршала Савицкого, 8	Общество с ограниченной ответственностью "ВИКТОРИ"	11531 ДПРУ	20100126	20150126	Действует
13	Магазин	Россия, Москва, улица Маршала Савицкого, 20	Общество с ограниченной ответственностью "Каскад"	1121 ДТУ	20111209	20161209	Действует
14	Магазин	Россия, Москва, улица Маршала Савицкого, 24	Общество с ограниченной ответственностью "Комфорт-С"	12928 ДПРУ	20110510	20150928	Действует
15	Магазин	Россия, Москва, поселок Липки, Дачная улица, 7	Общество с ограниченной ответственностью "Лучи"	12288 ДПРУ	20100506	20130506	Действует
16	Магазин	Россия, Москва, Чечерский проезд, 102а	Общество с ограниченной ответственностью "Тебриз"	8323 ДПРУ	20081029	20131029	Действует
17	Склад-магазин	Россия, Москва, Варшавское шоссе, вл248с10	Общество с ограниченной ответственностью "Отдохни-77"	13273 ДПРУ	20101210	20161210	Действует
18	Магазин	Россия, Москва, Чечерский проезд, 92	Общество с ограниченной ответственностью "Скорпион"	496 ДТУ	20110624	20130624	Действует
19	Ресторан	Россия, Москва, Южнобутовская улица, 117	Общество с ограниченной ответственностью "Бумеранг"	9579 ДПРУ	20090519	20140519	Действует
20	Магазин	Россия, Москва, Южнобутовская улица, 52	Общество с ограниченной ответственностью "Искра"	12377 ДПРУ	20100625	20130625	Действует
21	Магазин	Россия, Москва, 2-я Мелитопольская улица, 21к2	Общество с ограниченной ответственностью "Алкомас"	9233 ДПРУ	20090313	20140313	Приостановлена
22	Магазин	Россия, Москва, 2-я Мелитопольская улица, 21к2	Общество с ограниченной ответственностью "МС Групп"	1185 ПРЗЮЗ	20051227	20161227	Действует
23	Магазин	Россия, Москва, Южнобутовская улица, 29	Общество с ограниченной ответственностью "АЛЬТЭКС"	696 ДТУ	20110729	20130729	Действует
24	Универсам	Россия, Москва, Южнобутовская улица, 29	Общество с ограниченной ответственностью "РичФор"	8369 ДПРУ	20090911	20131105	Действует
25	Магазин	Россия, Москва, 2-я Мелитопольская улица, 3а	Открытое акционерное общество "Седьмой Континент"	1867 ДТУ	20120718	20170718	Действует
26	Кафе	Россия, Москва, Южнобутовская улица, 42	Общество с ограниченной ответственностью "Калабуха"	2776 ДПРУ	20061027	20131027	Действует
27	Магазин	Россия, Москва, Южнобутовская улица, 23	Общество с ограниченной ответственностью "Клайм Трейд"	13017 ДПРУ	20101022	20131022	Действует
28	Магазин	Россия, Москва, улица Адмирала Лазарева, 62	Общество с ограниченной ответственностью "Елакс"	13064 ДПРУ	20101019	20151019	Действует
29	Магазин	Россия, Москва, улица Адмирала Лазарева, 62	Общество с ограниченной ответственностью "Центр"	11503 ДПРУ	20100119	20130119	Действует
30	Кафе	Россия, Москва, Чечерский проезд, вл3с1	Общество с ограниченной ответственностью "Кафе-Алиса. ру"	155 ДТУ	20110421	20140421	Действует
31	Магазин	Россия, Москва, улица Адмирала Лазарева, 58	Общество с ограниченной ответственностью "СОРТС-Торкас"	8850 ДПРУ	20090209	20140209	Действует
32	Магазин	Россия, Москва, улица Адмирала Лазарева, 43	Общество с ограниченной ответственностью "ОмегаПрезент"	11612 ДПРУ	20100127	20150127	Действует
33	Магазин	Россия, Москва, улица Бунинская Аллея, 2	Общество с ограниченной ответственностью "ЮРГА"	3414 ДПРУ	20061220	20141220	Действует
34	Универсам	Россия, Москва, улица Адмирала Лазарева, 52	Закрытое акционерное общество "Торговый дом "ПЕРЕКРЕСТОК"	12004 ДПРУ	20100402	20150402	Действует
35	Магазин	Россия, Москва, Синельниковская улица, 47	Общество с ограниченной ответственностью "Марков и КО"	11899 ДПРУ	20100326	20150326	Действует
36	Кафе	Россия, Москва, Синельниковская улица, 47	Общество с ограниченной ответственностью "Драфт"	7436 ДПРУ	20080619	20130619	Действует
37	Магазин	Россия, Москва, улица Адмирала Лазарева, 54к1	Общество с ограниченной ответственностью "ГЕРМАН"	12449 ДПРУ	20100615	20130615	Действует
38	Магазин	Россия, Москва, Южнобутовская улица, 17	Общество с ограниченной ответственностью "ПРОДТЕХСНАБ"	2704 ДТУ	20121107	20171107	На выдаче
39	Бар "Чашка"	Россия, Москва, улица Академика Семенова, 3	Общество с ограниченной ответственностью "КРЦ  "Виктория"	12557 ДПРУ	20100727	20150727	Действует
40	Магазин	Россия, Москва, Изюмская улица, 50	Общество с ограниченной ответственностью "АЛИГАР"	1147 ДПРУ	20060628	20140628	Действует
41	Магазин	Россия, Москва, Изюмская улица, 53к2	Общество с ограниченной ответственностью "Радуга"	760 ДТУ	20110803	20160803	Действует
42	Магазин	Россия, Москва, улица Адмирала Лазарева, 52к3	Общество с ограниченной ответственностью "Пивновъ"	11481 ДПРУ	20100113	20130113	Действует
43	Магазин	Россия, Москва, улица Адмирала Лазарева, 40	Общество с ограниченной ответственностью "ТОРГОВЫЙ ДОМ МЖК БУТОВО"	832 ПРЗЮЗ	20050621	20140621	Действует
44	Универсам	Россия, Москва, Веневская улица, 15	Закрытое акционерное общество "Торговый дом "ПЕРЕКРЕСТОК"	5819 ДПРУ	20071031	20171031	Действует
45	Универсам	Россия, Москва, Скобелевская улица, 24	Закрытое акционерное общество "Торговый дом "ПЕРЕКРЕСТОК"	12012 ДПРУ	20100408	20150408	Действует
46	Магазин	Россия, Москва, улица Адмирала Лазарева, 38	Общество с ограниченной ответственностью "Ассорти"	13104 ДПРУ	20101103	20151103	Действует
47	Кафе	Россия, Москва, Скобелевская улица, 20	Общество с ограниченной ответственностью "ДОСУГ-ИНТЕРПРАЙЗ"	4907 ДПРУ	20070702	20150720	Действует
48	Магазин	Россия, Москва, Скобелевская улица, 20	Общество с ограниченной ответственностью "ПОЛИСТИЛЬ"	51 ДТУ	20110318	20150413	Действует
49	Магазин	Россия, Москва, Ливенская улица, 11	Общество с ограниченной ответственностью "Лучи"	12290 ДПРУ	20100506	20130506	Действует
50	Магазин	Россия, Москва, Скобелевская улица, 23	Закрытое акционерное общество "ДИСКОНТцентр"	9213 ДПРУ	20090311	20140311	Действует
51	Магазин	Россия, Москва, улица Адмирала Лазарева, 36	Общество с ограниченной ответственностью "Рассвет"	11162 ДПРУ	20091223	20141223	Действует
