№ строки	Название объекта	Адрес	Наименование и ОПФ	Серия и номер лицензии	Дата начала срока действия лицензии	Дата окончания срока действия лицензии	Текущее состояние лицензии
1	Бар "Чашка"	Россия, Москва, улица Академика Семенова, 3	Общество с ограниченной ответственностью "КРЦ  "Виктория"	12557 ДПРУ	2010-07-27 04:00:00.0	2015-07-27 04:00:00.0	Действует
2	Магазин	Россия, Москва, Изюмская улица, 50	Общество с ограниченной ответственностью "АЛИГАР"	1147 ДПРУ	2006-06-28 04:00:00.0	2014-06-28 04:00:00.0	Действует
3	Магазин	Россия, Москва, Изюмская улица, 53к2	Общество с ограниченной ответственностью "Радуга"	760 ДТУ	2011-08-03 04:00:00.0	2016-08-03 04:00:00.0	Действует
4	Магазин	Россия, Москва, улица Адмирала Лазарева, 52к3	Общество с ограниченной ответственностью "Пивновъ"	11481 ДПРУ	2010-01-13 04:00:00.0	2013-01-13 04:00:00.0	Действует
5	Магазин	Россия, Москва, улица Адмирала Лазарева, 40	Общество с ограниченной ответственностью "ТОРГОВЫЙ ДОМ МЖК БУТОВО"	832 ПРЗЮЗ	2005-06-21 04:00:00.0	2014-06-21 04:00:00.0	Действует
6	Универсам	Россия, Москва, Веневская улица, 15	Закрытое акционерное общество "Торговый дом "ПЕРЕКРЕСТОК"	5819 ДПРУ	2007-10-31 04:00:00.0	2017-10-31 04:00:00.0	Действует
7	Универсам	Россия, Москва, Скобелевская улица, 24	Закрытое акционерное общество "Торговый дом "ПЕРЕКРЕСТОК"	12012 ДПРУ	2010-04-08 04:00:00.0	2015-04-08 04:00:00.0	Действует
8	Магазин	Россия, Москва, улица Адмирала Лазарева, 38	Общество с ограниченной ответственностью "Ассорти"	13104 ДПРУ	2010-11-03 04:00:00.0	2015-11-03 04:00:00.0	Действует
9	Кафе	Россия, Москва, Скобелевская улица, 20	Общество с ограниченной ответственностью "ДОСУГ-ИНТЕРПРАЙЗ"	4907 ДПРУ	2007-07-02 04:00:00.0	2015-07-20 04:00:00.0	Действует
10	Магазин	Россия, Москва, Скобелевская улица, 20	Общество с ограниченной ответственностью "ПОЛИСТИЛЬ"	51 ДТУ	2011-03-18 04:00:00.0	2015-04-13 04:00:00.0	Действует
11	Магазин	Россия, Москва, Ливенская улица, 11	Общество с ограниченной ответственностью "Лучи"	12290 ДПРУ	2010-05-06 04:00:00.0	2013-05-06 04:00:00.0	Действует
12	Магазин	Россия, Москва, Скобелевская улица, 23	Закрытое акционерное общество "ДИСКОНТцентр"	9213 ДПРУ	2009-03-11 04:00:00.0	2014-03-11 04:00:00.0	Действует
13	Магазин	Россия, Москва, улица Адмирала Лазарева, 36	Общество с ограниченной ответственностью "Рассвет"	11162 ДПРУ	2009-12-23 04:00:00.0	2014-12-23 04:00:00.0	Действует
