№ строки	Название	Адрес	Дата начала строительства	Дата окончания
1	Прочие работы	Щукинская ул., д.12	20120613	20121231
2	Капитальный ремонт	Маршала Жукова просп., д.35, к.1	20120621	20121231
3	Капитальный ремонт	Маршала Жукова просп., д.35, к.1	20120706	20121231
4	Капитальный ремонт	Парковая 7-я ул., д.26	20120703	20121231
5	Капитальный ремонт	Парковая 7-я ул., д.26	20120824	20121231
6	Капитальный ремонт	Парковая 7-я ул., д.26	20120727	20121231
7	Капитальный ремонт	Парковая 7-я ул., д.26	20120706	20121231
8	Капитальный ремонт	Коптевский Большой пр., д.16а	20120712	20121231
9	Капитальный ремонт	Коптевский Большой пр., д.16а	20120322	20121231
10	Капитальный ремонт	Коптевский Большой пр., д.16а	20120713	20121231
11	Капитальный ремонт	Коптевский Большой пр., д.16а	20120322	20121231
12	Капитальный ремонт	Коптевский Большой пр., д.16а	20120713	20121231
13	Капитальный ремонт	Мосфильмовский 2-й пер., д.8	20120629	20121231
14	Капитальный ремонт	Красноказарменная ул., д.9	20120419	20121231
15	Капитальный ремонт	Югорский пр., д.22, к.1	20120220	20121231
16	Капитальный ремонт	Югорский пр., д.22, к.1	20120621	20121231
17	Капитальный ремонт	Югорский пр., д.22, к.1	20120703	20121231
18	Капитальный ремонт	Югорский пр., д.22, к.1	20120730	20121231
19	Капитальный ремонт	Крутицкий Вал ул., д.18, стр.2,3	20120710	20121231
20	Капитальный ремонт	Крутицкий Вал ул., д.18, стр.2,3	20120710	20121231
21	Капитальный ремонт	Коптельский 1-й пер., д.14/16, стр.2	20120703	20121231
22	Капитальный ремонт	Коптельский 1-й пер., д.14/16, стр.2	20120119	20121231
23	Капитальный ремонт	Коптельский 1-й пер., д.14/16, стр.2	20120630	20121231
24	Капитальный ремонт	Коптельский 1-й пер., д.14/16, стр.2	20120802	20121231
25	Капитальный ремонт	Новая пл., д.10 с.2	20120809	20121231
26	Капитальный ремонт	Новая пл., д.10 с.2	20120809	20121231
27	Капитальный ремонт	Новая пл., д.10 с.2	20120828	20121231
28	Капитальный ремонт	Новая пл., д.10 с.2	20120809	20121231
29	Капитальный ремонт	Новая пл., д.10 с.2	20120809	20121231
30	Капитальный ремонт	Новая пл., д.10 с.2	20120809	20121231
31	Капитальный ремонт	Новая пл., д.10 с.2	20120621	20121231
32	Капитальный ремонт	Новая пл., д.10 с.2	20120326	20121231
33	Капитальный ремонт	Пушечная ул., д.7/5 с.3	20111201	20121231
34	Капитальный ремонт	Ракетный б-р, д.4	20120426	20121231
35	Капитальный ремонт	Ракетный б-р, д.4	20120726	20121231
36	Капитальный ремонт	Ракетный б-р, д.4	20120213	20121231
37	Прочие работы	Миусская пл., д.2/2	20120613	20121231
38	Капитальный ремонт	Селезнёвская ул., д.9	20120821	20121231
39	Капитальный ремонт	Болотниковская ул., д.7, к.5	20120718	20121231
40	Капитальный ремонт	Болотниковская ул., д.7, к.5	20120723	20121231
41	Капитальный ремонт	Петровка ул., д.26, стр.3	20111017	20121231
