№ строки	Название	Адрес	Юридический адрес	Руководитель	Телефон	Факс	ЛПУ	Дополнительная информация
1	Детская городская поликлиника № 22 Молочная кухня	ул. Чапаевский пер.10/2	ул. Чапаевский пер.10/2	Лабутина Людмила Анатольевна	(499) 157-11-66	8-499-158-34-88	ГБУЗ Детская городская поликлиника № 22	отсутствует
2	Детская городская поликлиника № 37 Молочная кухня	ул. Флотская, д.44	ул. Флотская,44	Розыева Айна	(495) 458-14-39	8-495-455-88-66	ГБУЗ Детская городская поликлиника № 37	отсутствует
3	Детская городская поликлиника № 39 Молочная кухня	ул. Проезд Березовой Рощи, д.2	ул. Проезд Березовой рощи, дом 2	Лебягина Елена Викторовна	(499) 762-70-23	8-499-762-63-10	ГБУЗ Детская городская поликлиника № 39	отсутствует
4	Детская городская поликлиника № 45 Молочная кухня	ул. Клары Цеткин,11 к.2	ул. Клары Цеткин,11-2	Кадочников Иван Сергеевич	(495) 450-67-77	8-499-159-66-10	ГБУЗ Детская городская поликлиника № 45	отсутствует
5	Детская городская поликлиника № 68 Молочная кухня	ул. Дубнинская, 40 к.3	ул. Дубнинская,40-3	Иванова Наталья Игоревна	(495) 485-31-01	8-495-485-50-65	ГБУЗ Детская городская поликлиника № 68	отсутствует
6	Детская городская поликлиника № 76 Молочная кухня	Проезд Черепановых д.44	ул. Проезд Черепановых дом 44, окружной МРП	Золотова Валентина Григорьевна; Грачева Галина Петровна	(499) 154-31-98	8-495-154-53-35	ГБУЗ Детская городская поликлиника № 76	отсутствует
7	Детская городская поликлиника № 77 Молочная кухня	Бескудниковский б-р, 19 кор. 1	ул. Бескудниковский б-р, 19 кор. 1	Кузеванова Галина Константиновна; Ибниева Някия Ганиевна	(495) 488-14-85	8-499-489-03-65	ГБУЗ Детская городская поликлиника № 77	отсутствует
8	Детская городская поликлиника № 79 Молочная кухня	Коровинское шоссе, д.20, к.1	ул. Коровинское шоссе, 20-1	Вдовина Елена Викторовна	(495) 484-35-01	8-495-489-42-24	ГБУЗ Детская городская поликлиника № 79	отсутствует
9	Детская городская поликлиника № 86 Молочная кухня	ул. Учинская, д.3, кор.1	ул. Учинская,3, кор.1	Уханова Галина Юрьевна	8-495-486-57-52	8-495-486-57-52	ГБУЗ Детская городская поликлиника № 86	отсутствует
10	Детская городская поликлиника № 87 Молочная кухня	ул. Петрозаводская, д.9, к.2	ул. Петрозаводская,9-2	Шуйдина Ольга Николаевна	(499) 457-81-28	8-495-451-45-68	ГБУЗ Детская городская поликлиника № 87	отсутствует
11	Детская городская поликлиника № 133 Молочная кухня	Ленинградское шоссе,122	ул. Ленинградское шоссе,122	Семина Нина Михайловна	(495) 450-67-77	8-495-457-32-71	ГБУЗ Детская городская поликлиника № 133	отсутствует
12	Детская городская поликлиника № 193 Молочная кухня	ул. Маршала Федоренко, 6	ул. Маршала Федоренко, 6	Шихманова Любовь Акрамовна	(495) 486-20-63	8-495-486-20-64	ГБУЗ Городская поликлиника № 193	отсутствует
13	Детская  инфекционная больница № 12 Молочная кухня	ул. Беговая, д.6, к.4	ул. Беговая,6-4	Тимофеева Ольга; Лаврентьева Людмила Михайловна	(495) 945-14-69	8-495-945-14-69	ГКУЗ Детская инфекционная больница № 12	отсутствует
14	Детская городская поликлиника № 13 Молочная кухня	ул. Шатурская, д. 8	ул. Яснополянская, д.8	И.о. главново врача Михеичева Г.Н.	(495) 171-29-01	8-499-170-28-47	ГБУЗ ДГП № 13	отсутствует
15	Детская городская поликлиника № 13 Молочная кухня	Перовское шоссе, д. 16/2	ул. Яснополянская, д.8	И.о. главново врача Михеичева Г.Н.	8-495-171-29-01	8-499-170-28-47	ГБУЗ ДГП № 13	отсутствует
16	Городская поликлиника № 36 детское отделение. Молочная кухня	ул. Новомарьинская,  д. 5	ул. Новомарьинская,  д. 3	Главный врач Киреев  С.А.	(495) 658-58-71	8-495-658-58-71	ГБУЗ ГП №36  детское отделение	отсутствует
17	Детская городская поликлиника № 48 Молочная кухня	ул. Артюхиной, д.8/10	ул. Артюхиной, д.27, к. 3	Главный врач Коршикова Л.В.	(495) 179-58-82	8-499-179-58-81	ГБУЗ ДГП № 48	отсутствует
18	Детская городская поликлиника № 49 Молочная кухня	ул. Зеленодольская, д.7, к.2	ул.	Главный врач Рафиева Т.А.	(495) 175-53-94	8-499-175-53-94	ГБУЗ ДГП № 49	отсутствует
19	Детская городская поликлиника № 53 Молочная кухня	Ташкентская, д. 25, к.1	ул. Самаркандский б-р, д.17,к.2	Главный врач Таланова В.В.	(495) 376-57-39	8-495-376-57-39	ГБУЗ ДГП № 53	отсутствует
20	Детская городская поликлиника № 53 Молочная кухня	Волгоградский пр-т, д.96,к.4	ул. Есенинский б-р, д. 12,к. 1	Главный врач Мустафина Г.А.	(495) 172-06-98	8-495-376-57-39	ГБУЗ ДГП № 53	отсутствует
21	Детская городская поликлиника № 61 Молочная кухня	ул. Сайкина, д.21	ул. 2-й Южнопортовый пр-д, 25, к. 1	Главный врач Гафыкина В.И.	(495) 679-46-03	8-495-958-88-40	ГБУЗ ДГП № 61	отсутствует
22	Детская городская поликлиника № 93 Молочная кухня	ул. Гурьянова, д 51	ул.   Полбина, д 50	Главный врач Жданова Т.С.	(495) 353-12-05	8-495-353-12-05	ГБУЗ ДГП № 93	отсутствует
23	Детская городская поликлиника № 101 Молочная кухня	ул. Крутицкий Вал, д.3	ул.   Крутицкий вал, д.3	Главный врач Золотавин С.В.	(495) 676-11-02	8-495-676-16-05	ГБУЗ ДГП № 101	отсутствует
24	Детская городская поликлиника №  7. Молочная кухня	ул.  Молдагуловой, д. 5 А	ул.  Молдагуловой, д. 5 А	Королева Людмила Владимировна	(495) 786-35-50	(499) 373-57-11	ГБУЗ Детская городская поликлиника №  7	отсутствует
25	Детская городская поликлиника № 14. Молочная кухня № 15	Федеративный пр., д. 19 А	ул. Союзный пр., д. 12 А;	Хмырова Лариса Леонидовна	(495) 303-50-37; (495) 303-04-59	(495) 302-51-77	ГБУЗ Детская городская поликлиника № 14	отсутствует
26	Детская городская поликлиника №  16. Молочная кухня	ул. Открытое шоссе, д. 24, корп. 1	ул. Открытое шоссе, д. 24, корп. 6,	Смирнов Владимир Рудольфович	(499) 167-85-11	8-499-167-63-51	ГБУЗ Детская городская поликлиника № 16	отсутствует
27	Детская городская поликлиника №  16. Молочная кухня	ул. Ивантеевская, д. 28, корп. 1.	ул. Открытое шоссе, д. 24, корп. 6,	Смирнов Владимир Рудольфович	(499) 167-85-11	8-499-167-63-51	ГБУЗ Детская городская поликлиника № 16	отсутствует
28	Детская городская поликлиника № 17 Молочная кухня	ул. Зелёный пр., д. 6, корп. 2	ул.2-я Владимирская, д. 29 А;	Коновалов Александр Васильевич	(495) 304-74-30	8-495-368-34-50	ГБУЗ Детская городская поликлиника № 17	отсутствует
29	Детская городская поликлиника № 17 Молочная кухня	ул. Металлургов, д. 23/13.	ул.2-я Владимирская, д. 29 А;	Коновалов Александр Васильевич	(495) 304-74-30	8-495-304-65-74	ГБУЗ Детская городская поликлиника № 17	отсутствует
30	Детская городская поликлиника № 20 Молочная кухня	ул. 2-я Прядильная, д. 4.	ул. Первомайская, д. 10 А;	Власова Юлия Ивановна	(495) 367-02-45; (495) 165-43-32	8-499-165-43-32	ГБУЗ Детская городская поликлиника № 20	отсутствует
31	Детская городская поликлиника № 21 Молочная кухня	ул.  Вешняковская, д. 12Ж.	ул. Старый Гай, д. 3;	Лазарова Татьяна Тимофеевна	(495) 375-30-40; (495) 375-50-00	(495) 375-67-70	ГБУЗ Детская городская поликлиника № 21	отсутствует
32	Детская городская поликлиника №  28 Молочная кухня	ул. Халтуринская, д. 11.	ул. Халтуринская, д. 7 А;	Плюснина Ирина Петровна	(495) 168-92-15	8-499-168-60-15	ГБУЗ Детская городская поликлиника № 28	отсутствует
33	Детская городская поликлиника № 29 Молочная кухня	ул. Амурская, д. 62А,	ул. Амурская, д. 62 а;	Кулага Наталья Николаевна	(495) 462-06-96; (495) 467-38-38	8-495-462-05-39	ГБУЗ Детская городская поликлиника № 29	отсутствует
34	Детская городская поликлиника № 29 Молочная кухня	ул. Уссурийская, д. 11, корп. 3.	ул. Амурская, д. 62 а;	Кулага Наталья Николаевна	(495) 462-06-96; (495) 467-38-38	8-495-467-38-38	ГБУЗ Детская городская поликлиника № 29	отсутствует
35	Детская городская поликлиника № 31 Молочная кухня	ул.  2-я Владимирская, д. 57	ул. ул. Утренняя, д. 18 А	И.о. Шатайло Евгения Владимировна	(495) 368-55-08; (495) 309-20-30	8-495-309-20-30	ГБУЗ Детская городская поликлиника № 31	отсутствует
36	Детская городская поликлиника № 52 Молочная кухня	пр. Буденного, д. 24, корп. 1,	ул. Зверинецкая, д. 15;	Омельянюк Евгений Пантелеймонович	(495) 785-00-97; (495) 365-15-00	8-495-365-15-00	ГБУЗ Детская городская поликлиника № 52	отсутствует
37	Детская городская поликлиника № 52 Молочная кухня	ул. Зверинецкая, д. 15	ул. Зверинецкая, д. 15;	Омельянюк Евгений Пантелеймонович	(495) 369-46-93	8-495-369-46-=93	ГБУЗ Детская городская поликлиника № 52	отсутствует
38	Детская городская поликлиника № 60 Молочная кухня	ул. Байкальская, д. 39,	ул. Байкальская ул., д. 28;	Почуева Светлана Сергеевна	(495) 466-28-55; (495) 467-14-01	8-495-467-14-01	ГБУЗ Детская городская поликлиника № 60	отсутствует
39	Детская городская поликлиника № 60 Молочная кухня	Щелковское ш., д. 7, корп. 1,	ул. Байкальская ул., д. 28;	Почуева Светлана Сергеевна	(495) 468-85-19	8-495-468-85-19	ГБУЗ Детская городская поликлиника № 60	отсутствует
40	Детская городская поликлиника № 60 Молочная кухня	ул. Хабаровская, д. 16	ул. Байкальская ул., д. 28;	Почуева Светлана Сергеевна	(495) 469-74-86	8-495-469-74-86	ГБУЗ Детская городская поликлиника № 60	отсутствует
41	Детская городская поликлиника № 65 Молочная кухня	бульвар маршала Рокоссовского, д. 30	ул. Бульвар маршала Рокоссовского, д. 35;	Гаврикова Ольга Вениаминовна	(495) 160-32-11	(499) 781-40-31	ГБУЗ Детская городская поликлиника № 65	отсутствует
42	Детская городская поликлиника № 83 Молочная кухня	Сиреневый бульвар, д. 73	ул. Щелковское ш., д. 82, корп. 2;	Панагриева Оксана Вячеславовна	(495) 468-75-28; (495) 463-92-14	8-495-469-74-86	ГБУЗ Детская городская поликлиника № 83	отсутствует
43	Детская городская поликлиника № 85 Молочная кухня	ул. Сокольнический вал, д. 22	ул.  ул. Матросская тишина, д. 14;	Герасимчук Гунча Амангельдыевна	(495) 268-00-57; (495) 264-03-25	8-495-463-92-14	ГБУЗ Детская городская поликлиника № 85	отсутствует
44	Детская городская поликлиника № 95 Молочная кухня	шоссе Энтузиастов, д. 98, корп. 8	ул.  ул. Молостовых, д. 7;	Румянцева Елена Павловна	(495) 300-20-12; (495) 300-00-21	8-495-300-00-21	ГБУЗ Детская городская поликлиника № 95	отсутствует
45	Детская городская поликлиника № 120 Молочная кухня	ул. Святоозерская, д. 10	ул. Святоозерская ул., д. 10;	Наумова  Лариса Анатольевна	(495) 721-30-38	(499) 721-80-23	ГБУЗ Детская городская поликлиника № 120	отсутствует
46	Детская городская поликлиника № 122 Молочная кухня	ул. Средняя Первомайская, д. 38/7,	ул. Измайловский бульвар, д. 61;	Брагин  Александр Игоревич	(495) 748-91-24	8-499-748-91-24	ГБУЗ Детская городская поликлиника № 122	отсутствует
47	Детская городская поликлиника № 122 Молочная кухня	ул. 7-я парковая, д. 15, корп. 1.	ул. Измайловский бульвар, д. 61;	Брагин  Александр Игоревич	(495) 468-32-50; (495) 164-08-97	8-499-164-08-97	ГБУЗ Детская городская поликлиника № 122	отсутствует
48	Детская городская поликлиника № 137 Молочная кухня	Новокосинская ул., д. 38, корп. 2,	ул. Новокосинская, д. 36 А;	Леонова Ирина Владимировна	(495) 702-33-89; (495) 702-00-61	8-495-702-00-61	ГБУЗ Детская городская поликлиника № 137	отсутствует
49	Детская городская поликлиника № 137 Молочная кухня	Новокосинская ул., д. 20, корп. 2,	ул. Новокосинская, д. 36 А;	Леонова Ирина Владимировна	(495) 702-33-89; (495) 702-80-70	8-495-702-80-70	ГБУЗ Детская городская поликлиника № 137	отсутствует
50	Детская городская поликлиника № 137 Молочная кухня	ул. Суздальская, д. 10, корп. 3	ул. Новокосинская, д. 36 А;	Леонова Ирина Владимировна	(495) 702-33-89; (495) 702-80-41	8-495-702-80-41	ГБУЗ Детская городская поликлиника № 137	отсутствует
51	Городская поликлиника № 175 Молочная кухня	ул. Челябинская, д. 16, корп. 2	ул. Челябинская, д. 16, корп. 2;	Соколова Марина Валериановна	(495) 300-72-50; (495) 918-88-96	8-495-918-88-96	ГБУЗ Городская поликлиника № 175	отсутствует
52	Городская больница № 9 Молочная кухня	Западная ул., д. 2	Западная ул., д. 2;	Дрошнев Вячеслав Михайлович	(495) 780-51-17	8-499-780-51-17	ГБУЗ Городская больница № 9	отсутствует
53	Детская городская поликлиника № 15 Молочная кухня	ул. Тимирязевская,д. 6	ул. Тимирязевская,д. 6	Панина Варвара Митрофановна	(495) 611-58-38	8-495-976-97-55	ГБУЗ Детская городская поликлиника № 15	отсутствует
54	Детская городская поликлиника № 15 Молочная кухня	ул. Дмитровское шоссе, 41, к.1	ул. Тимирязевская,д. 6	Купранова Ольга Ивановна	(499) 976-97-55	8-499-976-43-10	ГБУЗ Детская городская поликлиника № 15	отсутствует
55	Детская городская поликлиника № 19 Молочная кухня	ул. Б.Коптевский проезд, 14, к.4	ул. Б.Коптевский проезд, 14-4	Куликова Тамара Васильевна	(499) 152-22-14	8-499-152-01-79	ГБУЗ Детская городская поликлиника № 19	отсутствует
