№ строки	Название	Адрес	Дата начала строительства	Дата окончания строительства
1	Лифты	Профсоюзная ул. д.130 к.2	17.07.2012	31.12.2012
2	Лифты	Островитянова ул. д.20	17.07.2012	31.12.2012
3	Лифты	Островитянова ул. д.23 к.2	17.07.2012	31.12.2012
4	Лифты	Островитянова ул. д.26 к.2	17.07.2012	31.12.2012
5	Лифты	Вильнюсская ул. д.3 к.1	11.07.2012	31.12.2012
6	Лифты	Академика Челомея ул. д.8 к.2	17.07.2012	31.12.2012
7	Лифты	Тарусская ул. д.4	17.07.2012	31.12.2012
8	Лифты	Миклухо-Маклая ул. д.57 к.1	12.04.2012	31.12.2012
9	Лифты	Введенского ул. д.22 к.2	11.07.2012	31.12.2012
10	Лифты	Литовский б-р д.26	11.07.2012	31.12.2012
11	Подъемные платформы и работы по ММГН	Ясногорская ул. д.3	20.07.2012	31.12.2012
12	Лифты	5-й квартал Капотни, д.16	12.04.2012	31.12.2012
13	Лифты	Алтайская ул., д.27	10.04.2012	31.12.2012
14	Лифты	Алтайская ул., д.29	10.04.2012	31.12.2012
15	Капитальный ремонт	Сиреневый б-р, д.70	15.08.2012	31.12.2012
16	Лифты	Сталеваров ул., д.4, к.1	12.04.2012	31.12.2012
17	Лифты	Сталеваров ул., д.4, к.4	12.04.2012	31.12.2012
18	Лифты	Полянка Малая ул., д.8	12.04.2012	31.12.2012
19	Лифты	Монетчиковский 1-й пер., д.8	12.04.2012	31.12.2012
20	Ремонт фасадов ЦАО и исторической часть города	Головин Большой пер., д.13	26.06.2012	31.12.2012
21	Ремонт фасадов ЦАО и исторической часть города	Пушкарёв пер., д.15	02.07.2012	31.12.2012
22	Ремонт фасадов ЦАО и исторической часть города	Пушкарёв пер., д.17	02.07.2012	31.12.2012
23	Ремонт фасадов ЦАО и исторической часть города	Пушкарёв пер., д.19	02.07.2012	31.12.2012
24	Ремонт фасадов ЦАО и исторической часть города	Сретенский б-р, д.5	26.06.2012	31.12.2012
25	Подъемные платформы и работы по ММГН	Гиляровского ул., д.48	23.07.2012	31.12.2012
26	Лифты	Озерковская наб., д.2/1	11.07.2012	31.12.2012
27	Лифты	Переяславская Большая ул., д.13	12.04.2012	31.12.2012
28	Лифты	Спасская Большая ул., д.33	10.04.2012	31.12.2012
29	Лифты	Садовая-Черногрязская ул., д.3б	10.04.2012	31.12.2012
30	Ремонт фасадов ЦАО и исторической часть города	Машкова ул., д.17	02.07.2012	31.12.2012
31	Ремонт фасадов ЦАО и исторической часть города	Земляной Вал ул., д.10	26.06.2012	31.12.2012
32	Ремонт фасадов ЦАО и исторической часть города	Ленинский просп., д.26	28.06.2012	31.12.2012
33	Ремонт фасадов ЦАО и исторической часть города	Ленинский просп., д.24	28.06.2012	31.12.2012
34	Лифты	Ленинский просп., д.20	10.04.2012	31.12.2012
