№ строки	Название объекта ремонта	Адрес	Дата начала работ	Дата окончания работ
1	Лифты	Мусы Джалиля ул., д.5, к.4	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
2	Подъемные платформы и работы по ММГН	Новомарьинская ул., д.5, к.1	2012-07-20 04:00:00.0	2012-07-27 04:00:00.0
3	Лифты	Задонский пр., д.16, к.2	2012-08-07 04:00:00.0	2012-12-31 04:00:00.0
4	Лифты	Шипиловская ул., д.55	2012-07-23 04:00:00.0	2012-12-31 04:00:00.0
5	Лифты	Шипиловская ул., д.55	2011-12-06 04:00:00.0	2012-12-31 04:00:00.0
6	Лифты	Мусы Джалиля ул., д.7, к.6	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
7	Лифты	Кустанайская ул., д.6, к.2	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
8	Лифты	3-й квартал Капотни, д.12	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
9	Лифты	3-й квартал Капотни, д.12	2012-07-23 04:00:00.0	2012-12-31 04:00:00.0
10	Лифты	Серпуховский Вал ул., д.9	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
11	Лифты	Пересветов пер., д.5	2012-07-23 04:00:00.0	2012-12-31 04:00:00.0
12	Лифты	Вернадского просп., д.89, к.1	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
13	Лифты	Карамзина пр. д.9 к.1	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
14	Лифты	Ореховый б-р, д.11, к.1	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
15	Подъемные платформы и работы по ММГН	Городецкая ул., д.8, к.3	2012-07-20 04:00:00.0	2012-12-31 04:00:00.0
16	Лифты	Елецкая ул., д.23	2012-08-07 04:00:00.0	2012-12-31 04:00:00.0
17	Лифты	Ореховый пр., д.15	2011-12-06 04:00:00.0	2012-12-31 04:00:00.0
18	Лифты	Булатниковский пр., д.14, к.6	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
19	Лифты	Булатниковский пр., д.16, к.1	2011-12-06 04:00:00.0	2012-12-31 04:00:00.0
20	Лифты	Михневский пр., д.4	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
21	Лифты	Лебедянская ул., д.19	2011-12-06 04:00:00.0	2012-12-31 04:00:00.0
22	Подъемные платформы и работы по ММГН	Липецкая ул., д.17	2012-07-18 04:00:00.0	2012-12-31 04:00:00.0
23	Лифты	Липецкая ул., д.17	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
24	Лифты	Липецкая ул., д.11	2011-12-08 04:00:00.0	2011-12-31 04:00:00.0
25	Лифты	Липецкая ул., д.15	2011-12-06 04:00:00.0	2012-12-31 04:00:00.0
26	Лифты	Шипиловский пр., д.61, к.2	2012-07-23 04:00:00.0	2012-12-31 04:00:00.0
27	Лифты	Домодедовская ул., д.38, к.1	2012-08-07 04:00:00.0	2012-12-31 04:00:00.0
28	Лифты	Каширское ш., д.132, к.1	2012-08-07 04:00:00.0	2012-12-31 04:00:00.0
29	Лифты	Каширское ш., д.130	2012-08-07 04:00:00.0	2012-12-31 04:00:00.0
30	Лифты	Ясеневая ул., д.10, к.2	2012-07-23 04:00:00.0	2012-12-31 04:00:00.0
31	Капитальный ремонт	Сиреневый б-р, д.1, к.4	2012-08-15 04:00:00.0	2012-12-31 04:00:00.0
32	Лифты	Прядильная 2-я ул., д.5	2011-12-16 04:00:00.0	2012-12-31 04:00:00.0
33	Лифты	Профсоюзная ул. д.130 к.2	2012-07-17 04:00:00.0	2012-12-31 04:00:00.0
34	Лифты	Островитянова ул. д.20	2012-07-17 04:00:00.0	2012-12-31 04:00:00.0
35	Лифты	Островитянова ул. д.23 к.2	2012-07-17 04:00:00.0	2012-12-31 04:00:00.0
36	Лифты	Островитянова ул. д.26 к.2	2012-07-17 04:00:00.0	2012-12-31 04:00:00.0
