№ строки	Название	Адрес	Метро	Число парковочных мест
1	Варшавское ш. 170	Варшавское ш. 170	Аннино	1103.00000000000
2	Строгинский б-р, вл.14	Строгинский б-р, вл.14	Строгино	100.00000000000
3	Кутузовский проспектт	Кутузовский проспектт	Славянский бульвар	290.00000000000
4	Кутузовский проспект	Кутузовский проспект	Славянский бульвар	880.00000000000
5	Пер: Ясеневая и Ореховый б-р	Пер: Ясеневая и Ореховый б-р	Красногвардейская	289.00000000000
6	Пер: Ясеневая и Ореховый б-р	Пер: Ясеневая и Ореховый б-р	Зябликово	289.00000000000
7	Пер: Ясеневая и Ореховый б-р	Пер: Ясеневая и Ореховый б-р	Зябликово	217.00000000000
8	Улица Грина	Улица Грина	Бульвар Дмитрия Донского	91.00000000000
9	Новоясеневский пр-д, вл.2	Новоясеневский пр-д, вл.2	Теплый Стан	256.00000000000
10	Новотушинский пр-д, вл.8, к.1	Новотушинский пр-д, вл.8, к.1	Волоколамская	326.00000000000
11	Вешняковская, вл. 24-26	Вешняковская, вл. 24-26	Выхино	360.00000000000
12	Хачатуряна, вл.13	Хачатуряна, вл.13	Отрадное	75.00000000000
13	Пер: Ясеневая и Воронежская	Пер: Ясеневая и Воронежская	Красногвардейская	32.00000000000
14	Пер: Шипиловской и Мусы Джалиля	Пер: Шипиловской и Мусы Джалиля	Красногвардейская	65.00000000000
15	Пер: Шипиловской и Мусы Джалиля	Пер: Шипиловской и Мусы Джалиля	Красногвардейская	68.00000000000
16	Пер: Шипиловской и Мусы Джалиля	Пер: Шипиловской и Мусы Джалиля	Красногвардейская	115.00000000000
17	Пер: Шипиловской и Мусы Джалиля	Пер: Шипиловской и Мусы Джалиля	Красногвардейская	90.00000000000
18	Адмирала Лазарева	Адмирала Лазарева	Бульвар Адмирала Ушакова	315.00000000000
19	Пятницкое ш., 54-56	Пятницкое ш., 54-56	Митино	680.00000000000
20	Измайловский пр-т, 49	Измайловский пр-т, 49	Измайловская	161.00000000000
21	Рязанский пр-т, 99	Рязанский пр-т, 99	Рязанский проспект	102.00000000000
22	Ореховый б-р, 24, к.2А	Ореховый б-р, 24, к.2А	Красногвардейская	197.00000000000
23	Ореховый б-р, 22	Ореховый б-р, 22	Красногвардейская	528.00000000000
24	Черневская	Черневская	Бунинская Аллея	260.00000000000
25	Тульская Б., 13	Тульская Б., 13	Тульская	97.00000000000
26	Ленинградское ш., вл.16, стр.9	Ленинградское ш., вл.16, стр.9	Войковская	200.00000000000
27	Измайловский пр-т., д.53	Измайловский пр-т., д.53	Измайловское	123.00000000000
28	Измайловский пр-т., д.53	Измайловский пр-т., д.53	Измайловское	123.00000000000
29	Рязанский пр-т, д.52	Рязанский пр-т, д.52	Рязанский проспект	40.00000000000
30	улица Академика Скрябина, д.4	улица Академика Скрябина, д.4	Рязанский проспект	50.00000000000
31	Рязанский проспект, д.58/1	Рязанский проспект, д.58/1	Рязанский проспект	35.00000000000
32	Зеленый пр., д.20	Зеленый пр., д.20	Перово	112.00000000000
33	Рязанский пр-т, д.60	Рязанский пр-т, д.60	Рязанский проспект	14.00000000000
34	Ул. Автозаводская 11	Ул. Автозаводская 11	автозаводская	620.00000000000
35	Вешняковская улица, д.24/26	Вешняковская улица, д.24/26	Выхино	819.00000000000
36	Большая черкизовская, д.125	Большая черкизовская, д.125	Черкизовская	820.00000000000
37	улица Шоссейная, вл.1Ц	улица Шоссейная, вл.1Ц	Текстильщики	40.00000000000
38	Ул. Восточная 26, с24	Ул. Восточная 26, с24	автозаводская	35.00000000000
39	9-я Парковая ул., 21/26	9-я Парковая ул., 21/26	Первомайская	40.00000000000
40	Плещеева ул.,8	Плещеева ул.,8	Бибирево	108.00000000000
41	Хачатуряна ул.,6	Хачатуряна ул.,6	Отрадное	11.00000000000
42	Волгоградский проспект вл.46/15	Волгоградский проспект вл.46/15	Текстильщики	42.00000000000
43	Алтуфьевское ш., 85	Алтуфьевское ш., 85	Алтуфьево	190.00000000000
44	Алтуфьевское ш., 86.к.1	Алтуфьевское ш., 86.к.1	Алтуфьево	850.00000000000
45	Широкая ул, 20	Широкая ул, 20	Медведково	35.00000000000
46	1-я Леонова ул.,16а	1-я Леонова ул.,16а	Ботанический сад	120.00000000000
47	Серебрякова пр-д.,2	Серебрякова пр-д.,2	Ботанический сад	130.00000000000
48	Мира пр-т.,97	Мира пр-т.,97	Алексеевская	167.00000000000
49	перес. Автоз-й и Велоз-й ул.	перес. Автоз-й и Велоз-й ул.	Автозаводская	5.00000000000
50	м. Ак.Янгеля	м. Ак.Янгеля	м. Ак.Янгеля	300.00000000000
51	Ореховый б-р, вл.24	Ореховый б-р, вл.24	м. Красногвардейская	670.00000000000
52	Енисейская ул, 26	Енисейская ул, 26	Бабушкинская	390.00000000000
53	Варшавское ш., 158 к2 (напротив)	Варшавское ш., 158 к2 (напротив)	м. Аннино	1103.00000000000
54	Шереметьевская ул.,5	Шереметьевская ул.,5	Марьина роща	30.00000000000
55	Сигнальный пр-д.,9	Сигнальный пр-д.,9	Владыкино	230.00000000000
56	Лескова ул., 8	Лескова ул., 8	Алтуфьево	190.00000000000
57	Грекова ул.,3,стр.6	Грекова ул.,3,стр.6	Медведково	50.00000000000
58	Снежная ул.,18	Снежная ул.,18	Свиблово	55.00000000000
59	Ореховый б-р 35А	Ореховый б-р 35А	м. Домодедовская	200.00000000000
60	Варшавское ш., 30	Варшавское ш., 30	м. Нагатинская	250.00000000000
61	Шоссейная ул., д. 2 к. 3	Шоссейная ул., д. 2 к. 3	Печатники	27.00000000000
62	Люблинская ул., д.165	Люблинская ул., д.165	Марьино	60.00000000000
