№ строки	Наименование организации	Задолженность на 15.12.2012
1	Открытое акционерное общество "Хлебозавод № 6"  	866 771 312,84
2	Государственное унитарное предприятие "Центр-СИТИ"	93 084 659,58
3	Открытое акционерное общество "Корпорация "Фазотрон- Научно-исследовательский институт радиостроения"	84 571 591,45
4	Открытое акционерное общество "Производственно-торговый комплекс "Зеленоградский"	69 710 876,54
5	Общество с ограниченной ответственностью "Строй Вест"	54 705 455,94
6	Закрытое акционерное общество "Строительное управление №155"	41 092 414,91
7	Общество с ограниченной ответственностью "ПСФ "Крост"	44 529 051,57 
8	Открытое акционерное московское общество "Завод имени И.А.Лихачева" (АМО ЗИЛ)	38 053 931,40
9	Общество с ограниченной ответственностью "Комплекс-Строй"  	37 539 746,87
10	Открытое акционерное общество "Инвестиционная компания "Мир фантазий"                 	36 722 971,10
11	Закрытое акционерное общество "Станкострой-8" 	29 824 126,30
12	Открытое акционерное общество "Московский металлургический завод "Серп и Молот"	28 935 095,49
13	Открытое акционерное общество  "Святогор" 	27 551 258,03
14	Общество с ограниченной ответственностью "МаркСтрой"	27 325 886,18
15	Открытое акционерное общество "Московский завод холодильного машиностроения "Компрессор"	24 323 092,49
16	Закрытое акционерное общество "ИНК-строй"            	22 753 107,03
17	Общество с ограниченной ответственностью "Международный парк развлечений и туризма" 	22 745 078,36
18	Общество с ограниченной ответственностью "Наша Марка"	18 245 228,31
19	Общество с ограниченной ответственностью "ОЛТЭР" 	17 888 121,31
20	Открытое акционерное общество "Московское производственное химико-фармацевтическое объединение имени Н.А.Семашко" 	15 268 843,07
21	Общество с ограниченной ответственностью "УКСП" 	14 811 461,57
22	Общество с ограниченной ответственностью "О.Ник'с" 	12 749 450,72
23	Общество с ограниченной ответственностью "Рибералта Инвестмент Лимитед"                	12 493 877,07
24	Общество с ограниченной ответственностью "ППК медная фольга" 	12 337 564,32
25	Закрытое акционерное общество "Финансово-Строительная Компания "Темпстрой"	12 152 781,12
26	Общество с ограниченной ответственностью "Фирма "Риэл"	11 892 713,05
27	Потребительский Жилищно-строительный кооператив "Журналист - 4" 	11 416 131,61
28	Открытое акционерное общество "Комплект" 	11 177 199,46
29	Открытое акционерное общество "Восток"	11 045 367,93
30	Закрытое акционерное общество "Интерстройсервис М"	10 999 050,97
31	Открытое акционерное общество "Тушинский машиностроительный завод"	10 434 607,73
32	Закрытое акционерное общество "Гончарное"	10 114 996,10
33	Открытое акционерное общество Всемирная Торгово-промышленная Компания "Меркурий"	9 780 770,23
34	Общество с ограниченной ответственностью "Фазис"   	9 723 638,57
35	Общество с ограниченной ответственностью Центр духовного и физического совершенствования женщины "Женский Центр"	9 601 220,45
36	Закрытое акционерное общество "Гемма"	9 448 553,52
37	Закрытое акционерное общество  "МОНА"	9 281 960,73
38	Закрытое акционерное общество "Строймонтаж-Капитал" 	8 899 995,69
39	Отряд специального назначения Московской железной дороги (Государственное предприятие) 	8 662 932,79
40	Закрытое акционерное общество "Трансстройторг"	8 616 448,25
41	Закрытое акционерное общество "СК Строймонтаж" 	8 459 144,48
42	Общество с ограниченной ответственностью Коммерческий Банк "Капитал Кредит" ООО КБ "Капитал Кредит"	8 368 413,28
43	Закрытое акционерное общество "Аркада Траст" 	8 261 049,72
44	Закрытое акционерное общество "Энерготехпром ИнвестСтрой" 	7 760 702,66
45	Общество с ограниченной ответственностью "Атрис ЛТД"   	7 707 404,67
46	Общество с ограниченной ответственностью Фирма "Селена" 	7 687 555,54
47	Открытое акционерное общество "КОРПОРАЦИЯ АЛЬТ"	7 568 032,96
48	Открытое акционерное общество "Инвестиционно-Строительная Компания"	7 487 807,49
49	Закрытое акционерное общество "Вертикаль" 	7 332 450,36
50	Открытое акционерное общество"НЕДВИЖИМОСТЬ ИЦ ЕЭС"	6 897 964,06
51	Федеральное государственное унитарное предприятие "Всероссийский научно-исследовательский и проектный институт тугоплавких металлов и твердых сплавов"	6 643 932,34
52	Открытое акционерное общество "Завод железобетонных изделий - 5" 	6 521 114,53
53	Закрытое акционерное общество "Московская мебельная фирма "Мосмебель"               	6 340 935,09
54	Закрытое акционерное общество "Южное Бутово" 	6 304 977,35
55	Общество с ограниченной ответственностью "Медстройинвест"	6 289 371,60
56	Закрытое акционерное общество "ЭкспоТрейд" 	6 183 316,46
57	Открытое акционерное общество "Центральный научно-исследовательский технологический институт"	6 041 615,81
58	Открытое акционерное общество "Бетиар-22" 	5 935 285,58
59	Закрытое акционерное общество "Гема-инвест"	5 899 385,82
60	Общество с ограниченной ответственностью "Проектно-строительная компания ТАК" 	5 870 711,41
61	Закрытое акционерное общество "Беговая-Плаза" 	5 750 609,60
62	Федеральное государственное унитарное предприятие "Государственный научно-исследовательский институт биосинтеза белковых веществ"	5 648 086,68
63	Общество с ограниченной ответственностью "Финансовый Центр "Нефть плюс Капитал"	5 619 835,34
64	Государственное предприятие  "Гостиница Арена"	5 607 545,04
65	Общество с ограниченной ответственностью "Крандайк-1"	5 507 240,82
66	ООО "Городской Семейный Клуб Монолит" 	5 493 033,97
67	Открытое акционерное общество по эксплуатации строительных машин и механизмов "Механизация-2"	5 327 413,85
68	Открытое акционерное общество "Строительно-промышленная компания Мосэнергострой"	5 052 198,47
69	Общество с ограниченной ответственностью "Грузовозофф"	4 934 043,37
70	Закрытое акционерное общество "Технологии Индустрии" 	4 801 566,84
71	Потребительский автостояночный кооператив "Амур-2" 	4 712 261,46
72	Общество с ограниченной ответственностью "Маэстротур"	4 449 333,78
73	Закрытое акционерное общество "Флейнер-Сити" 1	4 168 238,50
74	Общество с ограниченной ответственностью "ИгелСнаб" 	4 151 297,15
75	Закрытое акционерное общество "Инфосеть" 	4 056 669,17
76	Общество с ограниченной ответственностью "Трэйдинг-Люкс" 	3 986 652,10
77	Закрытое акционерное общество "Дом творчества "Братцево"СТД" 	3 934 368,42
78	Открытое акционерное общество "Строительная механизация №6"	3 913 405,36
79	Открытое акционерное общество "Московские учебники и Картолитография"	3 908 414,47
80	Закрытое акционерное общество "Стэли Холдинг" 	3 904 523,62
81	Закрытое акционерное общество "Сетунь Лтд"	3 870 758,04
82	Потребительский кооператив Автостояночного кооператива "Озерный" (АСК "Озерный") некоммерческая организация 	3 812 117,56
83	Общество с ограниченной ответственностью "Реванш"	3 728 810,87
84	Открытое акционерное общество "Золоторожский хлеб"	3 547 359,91
85	Общество с ограниченной ответственностью "Амсолит"	3 494 375
86	Общество с ограниченной ответственностью "АСТАРТА"	3 088 634,95 
87	Открытое акционерное общество "Карачаровский механический завод" 	3 026 538,31
88	Закрытое акционерное общество "Си Эс-Трейдинг"	2 998 266,95
89	Открытое акционерное общество "Московский машиностроительный завод "Вымпел"	2 987 433,60
90	Федеральное государственное унитарное предприятие "Опытный завод Всероссийского электротехнического института имени В.И.Ленина" 	2 916 656,14
91	Общество с ограниченной ответственностью "Эстейд" 	2 875 568,82
92	Закрытое акционерное общество "Омикрон" 	2 626 839,10
93	Московский Областной Банк (ООО) 	1 878 833,93
94	Закрытое акционерное общество "Озон" 	1 815 726,25
95	Общество с ограниченной ответственностью "Момент" 	1 717 836,92
96	Открытое акционерное общество "Холдинговая компания "Соколовская"  	1 659 071,42
97	Общество с ограниченной ответственностью "Экология. Технология. Образование-С"   	1 220 449,49
98	Открытое акционерное общество "Московский научно-исследовательский институт радиосвязи" 	677 093,84
99	Общество с ограниченной ответственностью "Промышленная компания "Желатин"     	495 602,61
100	Открытое акционерное общество "Столичный проект"                                   	342 167,54
