№ строки	Название объекта	Адрес	Контактный телефон	Адрес электронной почты
1	Государственное казенное учреждение Центр занятости населения Центрального административного округа города Москвы	ул. Николоямская д.49 стр.3	8-(495)-911-14-29	dtiz-cao-czn@trud.mos.ru
2	Государственное казенное учреждение Центр занятости населения Северного административного округа города Москвы	ул. Куусинена д. 2	8-(499)-195-02-85	cznsao@labor.ru
3	Государственное казенное учреждение Центр занятости населения Северо-Восточного административного округа города Москвы	ул. Сущёвский Вал д.14/22 корп.1	8-(495)-973-13-19	ChaplinskayaGV@trud.mos.ru
4	Государственное казенное учреждение Центр занятости населения Восточного административного округа города Москвы	ул. Суворовская д.27 стр.1	8-(495)-963-51-39	utzv@labor.ru
5	Государственное казенное учреждение Центр занятости населения Юго-Восточного административного округа города Москвы	ул. Юных Ленинцев д.9 стр.1	8-(499)-179-57-09	cznuv@labor.ru
6	Государственное казенное учреждение Центр занятости населения Южного административного округа города Москвы	ул. 5-я Кожуховская д.8 корп.2	8-(495)-675-82-28	czn-center@yandex.ru
7	Государственное казенное учреждение Центр занятости населения Юго-Западного административного округа города Москвы	Ломоносовский проспект д.15	8-(495)-930-08-39	utzuz@labor.ru
8	Государственное казенное учреждение Центр занятости населения Западного административного округа города Москвы	Мичуринский проспект д.31 корп.1	8-(495)-129-89-39	czn_zao@mail.ru
9	Государственное казенное учреждение Центр занятости населения Северо-Западного административного округа города Москвы	ул. Народного Ополчения д.33 корп.3	8-(499)-192-27-56	utzsz@labor.ru
10	Государственное казенное учреждение Центр занятости населения Зеленоградского административного округа города Москвы	Зеленоград корп. 1818	8-(499)-717-31-74	cznzgrad@labor.ru
11	Государственное казенное учреждение Центр занятости населения «Троицк»	ул. Полковника милиции Курочкина д. 19	8-(499)-674-00-50	tozn@yandex.ru
