№ строки	Название объекта	Адрес	Контактный телефон	Адрес электронной почты
1	Информационно-консультационный отдел ГКУ ЦЗН ЮВАО	ул. Верхние Поля д.3 стр.2	8-(495)-349-19-98	lub_nach@labor.ru
2	Отдел трудоустройства населения «Царицынский»	ул. Луганская д.8	8-(495)-321-51-20	czn-caricino@yandex.ru
3	Отдел трудоустройства населения «Варшавский»	Варшавское ш. д.114 корп.3	8-(495)-316-68-74	czn-warshav@yandex.ru
4	Отдел трудоустройства населения «Южный»	ул. Воронежская д.16	8-(495)-397-97-70	czn-ugny@yandex.ru
5	Отдел трудоустройства населения «Автозаводский»	ул. 5-я Кожуховская д.8 корп.2	8-(495)-675-82-75	czn-avtozav@yandex.ru
6	Отдел трудоустройства населения «Бирюлевский»	ул. Липецкая д.9	8-(495)-328-85-18	czn-birulevo@yandex.ru
7	Информационно-консультационный отдел ГКУ ЦЗН ЮАО	ул. 5-я Кожуховская д.8 корп.2	8-(495)-675-82-31	czn-center@yandex.ru
8	Отдел трудоустройства населения «Академический»	ул. Профсоюзная д.17 корп.2	8-(495)-129-89-39	academ@labor.ru
9	Отдел трудоустройства населения «Севастопольский»	Севастопольский проспект д.15 корп.3	8-(499)-123-00-78	sevast@labor.ru
10	Отдел трудоустройства населения «Воронцовский»	ул. Одесская д.23 корп.1	8-(495)-310-90-63	voroncov@labor.ru
11	Отдел трудоустройства населения «Ясенево»	ул. Голубинская д.31 корп.1	8-(495)-421-73-66	yasenevo@labor.ru
12	Отдел трудоустройства населения «Бутово»	ул. Грина д.1 корп.1	8-(495)-711-18-09	butovo@labor.ru
13	Отдел трудоустройства населения «Кунцево»	Рублёвское ш. д.40 корп.3	8-(495)-412-05-87	kuncevo@labor.ru
14	Отдел трудоустройства населения «Солнцево»	ул. Лукинская д.5	8-(495)-733-18-70	solncevo@labor.ru
15	Отдел трудоустройства населения «Раменки»	ул. Никулинская д.11	8-(495)-432-51-33	ramenki@labor.ru
16	Отдел трудоустройства населения «Дорогомилово»	ул. Олеко Дундича д.19/15	8-(499)-145-12-31	dorogomilovo@labor.ru
17	Отдел трудоустройства населения «Хорошевский»	проспект Маршала Жукова д.17 корп.2	8-(499)-195-26-22	horo@labor.ru
18	Отдел трудоустройства населения «Тушинский»	ул. Планерная д.7 корп.1	8-(495)-494-60-93	tuh@labor.ru
19	Отдел трудоустройства населения «Сходненский»	ул. Василия Петушкова д.17	8-(495)-948-93-70	shod@labor.ru
20	Отдел трудоустройства населения «Митинский»	Пятницкое ш. д.45	8-(495)-794-10-36	mitino@labor.ru
21	Отдел трудоустройства населения «Строгинский»	ул. Исаковского д.2 корп.2	8-(495)-750-71-33	strog@labor.ru
22	Ресурсный центр	ул. Свободы д.61 корп.2	8-(495)-497-68-44	resszao@labor.ru
23	Отдел трудоустройства населения	Зеленоград корп.1818	8-(499)-717-31-74	cznzgrad@labor.ru
24	Ресурсный центр	Зеленоград корп.1818	8-(499)-733-06-20	cznzgrad@labor.ru
25	Отдел трудоустройства населения «Басманный»	Лялин пер. д.14 стр.1	8-(495)-917-00-21	dtiz-cao-czn@trud.mos.ru
26	Отдел трудоустройства населения «Ивановский»	ш. Энтузиастов д.98 корп.8	8-(495)-918-95-39	ivanovsky@labor.ru
27	Отдел трудоустройства населения «Таганский»	ул. Покровка д.41	8-(495)-917-23-79	dtiz-cao-czn@trud.mos.ru
28	Отдел трудоустройства населения «Якиманка»	Старомонетный пер. д.9 стр.1	8-(495)-951-14-64	dtiz-cao-czn@trud.mos.ru
29	Отдел трудоустройства населения «Пресненский»	ул. 2-я Брестская д.39 стр.3	8-(495)-250-96-59	dtiz-cao-czn@trud.mos.ru
30	Отдел содействия занятости инвалидов	Лялин пер. д.14 стр.1	8-(495)-916-05-00	dtiz-cao-czn@trud.mos.ru
