№ строки	Название	Адрес	Организационно-правовая форма	Тип учреждения	Вид учреждения	Номер телефона секретаря	Сайт
1	Государственное бюджетное образовательное учреждение города Москвы лицей № 1564	125222, г. Москва, улица Рословка, дом 8	Бюджетное	Общеобразовательное учреждение	Лицей	(495) 505-97-60	http://schu1918.mskobr.ru
2	Государственное бюджетное образовательное учреждение города Москвы лицей №507	115446 г. Москва, Садовники д.13	Бюджетное	Общеобразовательное учреждение	Лицей	(499) 618-26-60; (499) 618-25-94	http://dou2678.ucoz.ru/
3	Государственное бюджетное образовательное учреждение города Москвы центр образования № 504 "Полюс"	110594 г. Москва, Варшавское ш., д. 67	Бюджетное	Общеобразовательное учреждение	Лицей	(495) 389-15-27	http://sch543.edusite.ru/
4	Государственное бюджетное образовательное учреждение города Москвы лицей № 1523	115142 г. Москва, Кленовый б-р, д. 21	Бюджетное	Общеобразовательное учреждение	Лицей	(499) 614-50-94	http://l1523.ru/
5	Государственное бюджетное образовательное учреждение города Москвы лицей № 1586	119330 г.Москва, ул.Дружбы, д. 8	Бюджетное	Общеобразовательное учреждение	Лицей	(499) 147-45-81; (499) 143-16-20	http://lyc1586.mskzapad.ru
6	Государственное бюджетное образовательное учреждение города Москвы Лицей № 1580 при МГТУ имени Н.Э.Баумана	117639 г. Москва, Балаклавский  проспект д. 6А	Бюджетное	Общеобразовательное учреждение	Лицей	(499) 619-48-40	http://www.1580.ru
7	Государственное бюджетное образовательное учреждение Московский  культурологический лицей № 1310	111141 г. Москва, ул. Перовская, д. 44а	Бюджетное	Общеобразовательное учреждение	Лицей	770-25-24	http://lyceum.ru/
8	Государственное бюджетное образовательное учреждение города Москвы лицей "Вторая школа"	119333, город Москва, улица Фотиевой, дом 18	Бюджетное	Общеобразовательное учреждение	Лицей	137-69-31	http://www.sch2.ru
9	Государственное бюджетное образовательное учреждение города Москвы лицей № 1547	109469, г. Москва, ул. Белореченская, д. 47, корп. 1	Бюджетное	Общеобразовательное учреждение	Лицей	346-30-01	http://licey1547.msm.ru/
10	Государственное бюджетное образовательное учреждение города Москвы лицей информационных технологий № 1537	129347, г. Москва, ул. Проходчиков, д.9	Бюджетное	Общеобразовательное учреждение	Лицей	(499) 182-19-44	http://www.lyc1537.svao.mskobr.ru
11	Государственное бюджетное образовательное учреждение города Москвы лицей № 1568	127221, г. Москва, проезд Шокальского, дом 7, корпус 2	Бюджетное	Общеобразовательное учреждение	Лицей	656-88-13	http://fml1586.ru
12	Государственное бюджетное образовательное учреждение города Москвы лицей № 1548	119180 г.Москва, Бродников пер., д.3	Бюджетное	Общеобразовательное учреждение	Лицей	(499) 238-02-07	http://www.лицей1548.рф
13	Государственное бюджетное образовательное учреждение города Москвы лицей № 1574	125047 г. Москва, 1-я Миусская ул., д.4	Бюджетное	Общеобразовательное учреждение	Лицей	(499) 972-32-28	http://lycc1574.mskobr.ru
14	Государственное бюджетное образовательное учреждение города Москвы лицей № 1581	105120 г.Москва, Б.Полуярославский пер., д.7/4	Бюджетное	Общеобразовательное учреждение	Лицей	(495) 916-18-86; (495) 916-38-73	http://1581mgtu.ru/
15	Государственное бюджетное образовательное учреждение города Москвы лицей № 1303	111033, г. Москва, Таможенный пр., д. 4	Бюджетное	Общеобразовательное учреждение	Лицей	(495) 362-34-40	http://1303.ru/
16	Государственное бюджетное образовательное учреждение города Москвы лицей №1550	125284 г. Москва, ул. Беговая, д. 19	Бюджетное	Общеобразовательное учреждение	Лицей	945-86-00	http://liceum1550.ru/
17	Государственное бюджетное образовательное учреждение города Москвы лицей № 1594	127486, г.Москва,  Дегунинская улица, дом 2	Бюджетное	Общеобразовательное учреждение	Лицей	(495) 489-90-87; (495) 487-20-04	http://lyceum1594.ru
18	Государственное бюджетное образовательное учреждение города Москвы лицей № 1571	125481, г. Москва, ул. Фомичевой, д. 1, корп. 1	Бюджетное	Общеобразовательное учреждение	Лицей	(495) 492-35-11; (495) 492-35-71	http://1571.ru
19	Государственное бюджетное образовательное учреждение города Москвы лицей № 1598	107589, г.Москва, ул. Хабаровская, д. 18А	Бюджетное	Общеобразовательное учреждение	Лицей	(495) 466-34-14; (495) 466-34-52	http://1598.me
