№ строки	Название	Адрес	Административный округ	Район	Юридический адрес	Контактный телефон	Факс	Сайт	Адрес электронной почты
1	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская школа искусств имени С.Т.Рихтера»	115409, г.Москва, ул. Кантемировская, д.20 корп.5	Южный АО	Москворечье-Сабурово	115409, г.Москва, Каширское ш., д.42 корп.3	(495) 324-80-13, (495) 324-11-21	(495) 324-80-13	ricter-school.ru	ricterschool@mail.ru
2	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская школа искусств №18»	119296, г.Москва, Университетский пр-т, д.5	Юго-Западный АО	Гагаринский	119296, г.Москва, Университетский пр-т, д.5	(495) 938-14-82	(495) 938-14-82	muzkult.ru	artschool18@yandex.ru
3	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская школа искусств имени В.Д.Поленова»	119454, г.Москва, ул. Лобачевского, д.92 корп.6	Западный АО	Проспект Вернадского	119454, г.Москва, ул. Лобачевского, д.92 корп.6	(499) 131-81-52, (499) 131-81-54	(499) 131-81-52	dsi-polenova.ru	artschool5@list.ru
4	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская школа искусств имени В.Д.Поленова»	119361, г.Москва, ул. Большая Очаковская, д.39 корп.2	Западный АО	Проспект Вернадского	119454, г.Москва, ул. Лобачевского, д.92 корп.6	(499) 131-81-52, (499) 131-81-54	(499) 131-81-52	dsi-polenova.ru	artschool5@list.ru
5	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская школа искусств имени И.С.Козловского»	121614, г.Москва, ул. Крылатская, д.23 корп.2	Западный АО	Крылатское	121614, г.Москва, ул. Крылатская, д.23 корп.2	(495) 415-12-34	(495) 415-12-26	dshikozlovskogo.ru	shkolakozlovskogo@yandex.ru
6	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская школа искусств имени А.А.Алябьева»	121087, г.Москва, ул. Большая Филевская, д.6	Западный АО	Филевский парк	121087, г.Москва, ул. Большая Филевская, д.6	(499) 148-27-57	(499) 148-27-57	muzkult.ru dmsh-alyabeva	alyabyev-cmsm@rambler.ru
7	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская школа искусств имени Ю.С.Саульского»	121357, г.Москва, ул. Козлова, д.48	Западный АО	Можайский	121357, г.Москва, ул. Козлова, д.48	(495) 443-66-14, (495) 443-61-76	(495) 443-61-76	dshi-saylskogo.ru	shkolasaulskogo@mail.ru
8	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская школа искусств №86»	119601, г.Москва, Мичуринский пр-т, Олимпийская деревня, д.20 корп.1	Западный АО	Раменки	119601, г.Москва, Мичуринский пр-т, Олимпийская деревня, д.20 корп.1	(495) 735-64-71, (495) 735-65-94	(495) 735-64-71	dmsh86.ru	7356594@mail.ru
9	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская школа искусств город Московский»	142784, г.Москва, Ленинский р-н, г. Московский, м-н 3, д.8	Новомосковкий АО	Московкий	142784, г.Москва, Ленинский р-н, г. Московский, м-н 3, д.8	(499) 558-06-70	(499) 558-06-70	k26km.narod.ru/dsi	moskovskiy-dshi@mail.ru
10	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Воскресенская детская школа искусств»	142791, г.Москва, Ленинский р-н, пос. Воскресенское, д.28	Новомосковкий АО	Воскресенское	142791, г.Москва, Ленинский р-н, пос. Воскресенское, д.28	(495) 659-49-11	(495) 659-49-11	сайт в разработке	dshivoskresensk@cumail.ru
