№ строки	Название	Адрес
1	Заповедная территория "Китай-город". Заповедная территория Московского Кремля	"
2	Заповедная территория "Замоскворечье".	"
3	Заповедная территория "Заяузье".	"
4	Заповедная территория "Маросейка-Покровка".	"
5	Заповедная территория "Мясницкая".	"
6	Заповедная территория "Большая Лубянка-Сретенка".	"
7	Заповедная территория "Петровка".	"
8	Заповедная территория "Арбат".	"
9	Заповедная территория "Пречистенка-Остоженка".	"
10	Заповедная территория "Поварская-Большая Никитская".	"
11	Заповедная территория "Таганское"	"
12	Заповедная территория "Басманное- Лефортово"	"
13	Зона охраняемого культурного слоя	"
14	Зона охраняемого культурного слоя	"
15	Зона охраняемого культурного слоя	"
16	Зона охраняемого культурного слоя	"
17	Зона охраняемого культурного слоя	"
18	Зона охраняемого культурного слоя	"
19	Зона охраняемого культурного слоя	"
20	Зона охраняемого культурного слоя	"
21	Зона охраняемого культурного слоя	"
22	Зона охраняемого культурного слоя	"
23	Зона охраняемого культурного слоя	"
24	Зона охраняемого культурного слоя	"
25	Зона охраняемого культурного слоя	"
26	Зона охраняемого культурного слоя	"
27	Зона охраняемого культурного слоя	"
28	Зона охраняемого культурного слоя	"
29	Зона охраняемого культурного слоя	"
30	Зона охраняемого культурного слоя	"
31	Зона охраняемого культурного слоя	"
32	Зона охраняемого культурного слоя	"
33	Зона охраняемого культурного слоя	"
34	Зона охраняемого культурного слоя	"
35	Зона охраняемого культурного слоя	"
36	Зона охраняемого культурного слоя	"
37	Зона охраняемого культурного слоя	"
38	Зона охраняемого культурного слоя	"
39	Зона охраняемого культурного слоя	"
40	Зона охраняемого культурного слоя	"
41	Зона охраняемого культурного слоя	"
42	Зона охраняемого культурного слоя	"
43	Зона охраняемого культурного слоя	"
44	Зона охраняемого культурного слоя	"
45	Зона охраняемого культурного слоя	"
46	Зона охраняемого культурного слоя	"
47	Зона охраняемого культурного слоя	"
48	Зона охраняемого культурного слоя	"
49	Зона охраняемого культурного слоя	"
50	Зона охраняемого культурного слоя	"
51	Зона охраняемого культурного слоя	"
52	Охранная (объединенная охранная) зона	"
53	Охранная (объединенная охранная) зона	"
54	Охранная (объединенная охранная) зона	"
55	Охранная (объединенная охранная) зона	"
56	Охранная (объединенная охранная) зона	"
57	Охранная (объединенная охранная) зона	"
58	Охранная (объединенная охранная) зона	"
59	Охранная (объединенная охранная) зона	"
60	Охранная (объединенная охранная) зона	"
61	Охранная (объединенная охранная) зона	"
62	Охранная (объединенная охранная) зона	"
63	Охранная (объединенная охранная) зона	"
64	Охранная (объединенная охранная) зона	"
65	Охранная (объединенная охранная) зона	"
66	Охранная (объединенная охранная) зона	"
67	Охранная (объединенная охранная) зона	"
68	Охранная (объединенная охранная) зона	"
69	Охранная (объединенная охранная) зона	"
70	Охранная (объединенная охранная) зона	"
71	Охранная (объединенная охранная) зона	"
72	Охранная (объединенная охранная) зона	"
73	Охранная (объединенная охранная) зона	"
74	Охранная (объединенная охранная) зона	"
75	Охранная (объединенная охранная) зона	"
76	Охранная (объединенная охранная) зона	"
77	Охранная (объединенная охранная) зона	"
78	Охранная (объединенная охранная) зона	"
79	Охранная (объединенная охранная) зона	"
80	Охранная (объединенная охранная) зона	"
81	Охранная (объединенная охранная) зона	"
82	Охранная (объединенная охранная) зона	"
83	Охранная (объединенная охранная) зона	"
84	Охранная (объединенная охранная) зона	"
85	Охранная (объединенная охранная) зона	"
86	Охранная (объединенная охранная) зона	"
87	Охранная (объединенная охранная) зона	"
88	Охранная (объединенная охранная) зона	"
89	Охранная (объединенная охранная) зона	"
90	Охранная (объединенная охранная) зона	"
91	Охранная (объединенная охранная) зона	"
92	Охранная (объединенная охранная) зона	"
93	Охранная (объединенная охранная) зона	"
94	Охранная (объединенная охранная) зона	"
95	Охранная (объединенная охранная) зона	"
96	Охранная (объединенная охранная) зона	"
97	Охранная (объединенная охранная) зона	"
98	Охранная (объединенная охранная) зона	"
99	Охранная (объединенная охранная) зона	"
100	Охранная (объединенная охранная) зона	"
101	Охранная (объединенная охранная) зона	"
102	Охранная (объединенная охранная) зона	"
103	Охранная (объединенная охранная) зона	"
104	Охранная (объединенная охранная) зона	"
105	Охранная (объединенная охранная) зона	"
106	Охранная (объединенная охранная) зона	"
107	Охранная (объединенная охранная) зона	"
108	Охранная (объединенная охранная) зона	"
109	Охранная (объединенная охранная) зона	"
110	Охранная (объединенная охранная) зона	"
111	Охранная (объединенная охранная) зона	"
112	Охранная (объединенная охранная) зона	"
113	Охранная (объединенная охранная) зона	"
114	Охранная (объединенная охранная) зона	"
115	Охранная (объединенная охранная) зона	"
116	Охранная (объединенная охранная) зона	"
117	Охранная (объединенная охранная) зона	"
118	Охранная (объединенная охранная) зона	"
119	Охранная (объединенная охранная) зона	"
120	Охранная (объединенная охранная) зона	"
121	Охранная (объединенная охранная) зона	"
122	Охранная (объединенная охранная) зона	"
123	Охранная (объединенная охранная) зона	"
124	Охранная (объединенная охранная) зона	"
125	Охранная (объединенная охранная) зона	"
126	Охранная (объединенная охранная) зона	"
127	Охранная (объединенная охранная) зона	"
128	Охранная (объединенная охранная) зона	"
