№ строки	Название	Адрес	Организационно-правовая форма	Тип учреждения	Вид учреждения	Номер телефона секретаря	Сайт
1	Гсударственное бюджетное образовательное учреждение среднего профессионального образования города Москвы "Московский колледж профессиональных технологий"	109382, г. Москва, ул. Люблинская д.56/2	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	(495)351-39-12	-
2	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Колледж сферы услуг № 3	109029 г.Москва, ул.Б.Калитниковская, д.36, стр.1	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	670-50-81	http://k03.mskcollege.ru/
3	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Колледж малого бизнеса № 4	115054 г.Москва, ул.Дубининская, д.25,стр1.	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	(499) 235-46-57	http://k04.mskcollege.ru
4	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Полиграфический колледж № 56	109382, г. Москва, ул. Совхозная, д. 2, стр.1,2,3	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	351-70-89	http://pk56.ru
5	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Колледж художественных ремесел № 59	119049, г. Москва, 2-й Спасоналивковский пер., д. 3, стр. 6	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	951-42-57	http://k59.mskcollege.ru/
6	Государственное автономное образовательное учреждение среднего профессионального образования города Москвы Колледж предпринимательства №11	125438, г. Москва, ул. Онежская, дом 3	Автономное	Образовательное учреждение среднего профессионального образования	Колледж	(499) 150-55-02	http://kp11.ru
7	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы "Колледж полиции"	125363, г. Москва, улица Фабрициуса, дом 26	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	(499)492-70-01,(499) 492-70-01	-
8	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Технологический колледж № 34	115230 г. Москва, ул. Нагатинская д.4,к.1	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	633-29-08	http://www.tk34.info
9	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Строительный колледж № 41	121351 г.Москва ул.Бобруйская д.7	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	417-07-24	http://k41.mskcollege.ru/
10	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Колледж малого бизнеса № 48	123308, г. Москва, ул. Мневники, д.4	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	(495) 948-05-90	http://www.college48.ru
11	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы "Московский автомобильно-дорожный колледж им. А.А. Николаева"	105082, г. Москва, ул. Бакунинская, д. 81/55	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	(499)265-37-44	-
12	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы "Юридический колледж"	Москва, Шипиловская ул. д.17,к.1,стр1	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	(495)392-72-44,(495) 392-72-44	-
13	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Колледж сферы услуг № 10	127434, г. Москва, Дмитровское шоссе, д. 11 А	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	(499) 488-33-00	http://k10.mskcollege.ru/
14	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Колледж ландшафтного дизайна № 18	105568, г. Москва, ул. Чечулина, д. 3, корп.1	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	(499) 164-69-52	http://k18.mskcollege.ru
15	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Технический пожарно-спасательный коллежд № 57	125080  г.Москва, Светлый проезд, д.2а	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	(499) 123-33-42; (499) 123-05-29; (499) 123-12-36; (499) 123-11-34	http://k57.mskcollege.ru/
16	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Колледж легкой промышленности № 5	127051, г.Москва, 3-ий Колобовский пер., д.8,стр.2	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	699-54-93	http://klp5.ru
17	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Колледж автомобильного транспорта № 9	127591 г. Москва, Керамический пр-д, д.59, стр.1	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	(499) 901-48-00	http://k09.mskcollege.ru
18	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Экономико-технологический Колледж № 22	105203, г.  Москва, улица 14-я  Парковая,  д. 4 Б	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	465-15-03	http://k22.mskcollege.ru/
19	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Строительный колледж № 30	115419 г. Москва, ул. Петровского Академика д.10	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	(499) 236-73-46	http://www.ck-30.ru/
20	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Технологический колледж № 43	119530 г.Москва,  Очаковское шоссе, дом 26	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	441-51-53	http://tk43.ru/
21	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Педагогический колледж № 16	129594, г. Москва, улица  Шереметьевская, д. 28	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	(495) 618-01-00; (495) 619-66-64	http://pk16.mskcollege.ru
22	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Колледж по подготовке социальных работников № 16	127015 г. Москва, улица  Большая Новодмитровская, дом  63	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	(499) 760-89-97	http://www.kolledj16.ru
23	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Колледж парикмахерского искусства №66	121096 Кастанаевская улица, д. 28	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	(499) 146-01-35; (499) 144-57-39; (499) 144-99-05	http://kpi66.ru/
24	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Колледж малого бизнеса № 67	123458,г. Москва, ул. Твардовского, д.10, корп.1	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	(495) 756-30-56; (495) 756-30-57; (495) 756-30-58; (495) 756-30-59; (495) 756-30-60; (495) 756-30-61; (495) 756-30-62	http://k67.mskcollege.ru
25	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы "Московский художественно-педагогический колледж технологий и дизайна"	129085, г. Москва, Мурманский проезд, д.10	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	615-24-60	http://www.tdcollege.ru
26	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Педагогический колледж № 5	123022 г. Москва, Столярный пер.,д.16	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	(499) 255-02-27	http://college5.msk.ru/
27	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Педагогический колледж № 15	115404 г. Москва, ул.Бирюлевская, д.28	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	326-81-29	http://pk15.mskcollege.ru/
28	Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Педагогический колледж № 18 "Митино"	125368, г. Москвы, ул. Митинская, д.45, к.3	Бюджетное	Образовательное учреждение среднего профессионального образования	Колледж	751-60-49	http://pk18.mskcollege.ru
