№ строки	Название	Адрес	Контактный телефон	Режим работы
1	Государственное бюджетное образовательное учреждение города Москвы Специальный (коррекционный) детский дом для детей-сирот и детей, оставшихся без попечения родителей, с отклонениями в развитии № 51	Специальный (коррекционный) детский дом для детей-сирот и детей, оставшихся без попечения родителей, с отклонениями в развитии № 51. 109548, Москва, Полбина ул., д.26	(495) 353-07-00	круглосуточно
2	Государственное бюджетное образовательное учреждение города Москвы детский дом № 57	Детский дом № 57. 111539, Москва, Реутовская ул., д.24б	(495) 770-08-44	пн-пт: 9.00 – 18.00, сб-вскр: выходной
3	Государственное бюджетное образовательное учреждение города Москвы детский дом № 59	Детский дом № 59. 127562, Москва, Декабристов ул, д.8, кор.3	(499) 907-93-55	круглосуточно
4	Государственное бюджетное образовательное учреждение города Москвы детский дом №71	Детский дом №71. 115598, Москва, Гурьевский пр-д., д.27, кор.3	8(495)398-40-11	пн-пт: 9.00-18.00
5	Государственное казенное учреждение  Детский дом-интернат для умственно отсталых детей № 7	Детский дом-интернат для умственно отсталых детей № 7. 117420, Москва, ул. Профсоюзная, д. 47/2	(499) 120-23-17	круглосуточно (администрация пн-пт 09.00 – 18.00)
6	Государственное казенное учреждение  Детский дом-интернат для умственно отсталых детей № 8	Детский дом-интернат для умственно отсталых детей № 8. 115563, Москва, Борисовский пр-д., д. 3/3	(495) 394-93-11	круглосуточно (администрация пн-пт 09.00 – 18.00)
7	Государственное казенное учреждение  Детский дом-интернат для умственно отсталых детей № 15	Детский дом-интернат для умственно отсталых детей № 15. 121359, Москва, ул. Академика Павлова, д. 15	(499) 140-73-27	круглосуточно (администрация пн-пт 09.00 – 18.00)
8	Государственное казенное учреждение  Детский дом-интернат для умственно отсталых детей № 21	ул. Сосновая, д.8	(499)190-49-16	круглосуточно (администрация пн-пт 09.00 – 18.00)
9	Государственное казенное учреждение  Детский дом-интернат для умственно отсталых детей № 24	Детский дом-интернат для умственно отсталых детей № 24. 121353, Москва, Сколковское шоссе, д. 6	(495) 446-11-04	круглосуточно (администрация пн-пт 09.00 – 18.00)
10	Государственное казенное учреждение  Детский дом-интернат для умственно отсталых детей № 28	Детский дом-интернат для умственно отсталых детей № 28. 125412, Москвы, ул. Талдомская, д. 4	(495) 487-00-57	круглосуточно (администрация пн-пт 09.00 – 18.00)
11	Государственное казенное учреждение  Детский дом-интернат для умственно отсталых детей "Южное Бутово"	Детский дом-интернат для умственно отсталых детей "Южное Бутово". 117042, Москва, ул. Южнобутовская, д. 19	(499) 743-48-63	круглосуточно (администрация пн-пт 09.00 – 18.00)
12	Государственное бюджетное образовательное учреждение для детей-сирот и детей, оставшихся без попечения родителей детский дом «Молодая гвардия»	142750, город Москва, поселенние Внуковское, посёлок детского дома "Молодая гвардия".	8(495) 736-64-27	круглосуточно
13	Государственное бюджетное образовательное учреждение «Санаторный детский дом №39»	141253, Московская обл., Зеленоградский п., Пушкинский р-н, Железнодорожная ул., д.2а	(495) 993–57–34	круглосуточно
14	Государственное бюджетное образовательное учреждение города Москвы Санаторный детский дом № 17	Санаторный детский дом № 17. 121614, Москва, Крылатские холмы ул., д.28, корп.4	(495) 415-54- 02	круглосуточно
15	Государственное бюджетное образовательное учреждение города Москвы Санаторный детский дом № 17	Санаторный детский дом № 17. 121614, Москва, Крылатские холмы ул., д.28, корп.5	(495) 415-54- 02	круглосуточно
16	Государственное бюджетное образовательное учреждение города Москвы Специальный (коррекционный) детский дом для детей-сирот и детей, оставшихся без попечения родителей, с ограниченными возможностями здоровья № 18	Специальный (коррекционный) детский дом для детей-сирот и детей, оставшихся без попечения родителей, с ограниченными возможностями здоровья № 18. 109280, Москва, Лебедянская ул., д.26, кор.3	(495) 329-83-22	пн.-пят. 9.00-17.00, суб. 10.00-16.00
17	Государственное бюджетное образовательное учреждение города Москвы детский дом №19 «Центр патронатного воспитания»	Детский дом №19 «Центр патронатного воспитания» . 105082, Москва, Спартаковская площадь, дом 10, строение 3	(499) 267-74-19	пн-пт: 9.45-18.15
18	Государственное бюджетное учреждение города Москвы Специализированный дом ребенка № 22	119517, Москва, Нежинская ул., д.10	(495) 442-40-85	круглосуточно
19	Государственное бюджетное образовательное учреждение города Москвы Специальный (коррекционный) детский дом для детей-сирот и детей, оставшихся без попечения родителей, с отклонениями в развитии № 43	Специальный (коррекционный) детский дом для детей-сирот и детей, оставшихся без попечения родителей, с отклонениями в развитии № 43. 127081, Москва, Ясный пр., д.24а	(499) 477-04-79	круглосуточно
20	Государственное бюджетное образовательное учреждение Специальный (коррекционный) детский дом для детей сирот и детей, оставшихся без попечения родителей,  V вида № 46.	Специальный (коррекционный) детский дом для детей сирот и детей, оставшихся без попечения родителей,  V вида № 46.. 107497, Москва, Байкальская ул., д.48	(495) 469-40-69	круглосуточно
21	Государственное бюджетное образовательное учреждение города Москвы Санаторный детский дом для детей-сирот и детей, оставшихся без попечения родителей № 48	Санаторный детский дом для детей-сирот и детей, оставшихся без попечения родителей № 48. 105484, Москва, 16-я Парковая ул., д.4	(499) 461-46-23	круглосуточно
22	Государственное бюджетное образовательное  Учреждение Специальный (коррекционный) детский дом для детей сирот и детей, оставшихся без попечения родителей,  с ограниченными возможностями здоровья №1	Специальный (коррекционный) детский дом для детей сирот и детей, оставшихся без попечения родителей,  с ограниченными возможностями здоровья №1. 111402, Москва, Аллея Жемчуговой ул., д.3а	(495) 370-01-71	круглосуточно
23	Государственное бюджетное образовательное учреждение города Москвы Специальный (коррекционный) детский дом для детей-сирот и детей, оставшихся без попечения родителей,VII вида, № 2	Специальный (коррекционный) детский дом для детей-сирот и детей, оставшихся без попечения родителей,VII вида, № 2. 119634, Москва, Шолохова ул., д.6, кор.3	(495) 732-56-12	круглосуточно
24	Государственное бюджетное образовательное учреждение города Москвы детский дом №5	Детский дом №5 . 127282, Москва, Полярная ул., д.54а	(499) 473-34- 41	круглосуточно
