key	code	regname	value
1050	6	Басманный район 	отс.
1050	8	Район Замоскворечье 	отс.
1050	5	Красносельский район 	отс.
1050	4	Мещанский район 	отс.
1050	2	Пресненский район 	отс.
1050	7	Таганский район 	отс.
1050	3	Тверской район 	отс.
1050	1	Район Хамовники 	отс.
1050	10	Район Якиманка 	отс.
1050	22	Район Аэропорт 	отс.
1050	24	Район Беговой 	отс.
1050	12	Бескудниковский район 	отс.
1050	20	Войковский район 	отс.
1050	18	Головинский район 	отс.
1050	11	Район Восточное Дегунино 	отс.
1050	14	Район Западное Дегунино 	отс.
1050	13	Дмитровский район 	отс.
1050	19	Район Коптево 	отс.
1050	17	Район Левобережный 	отс.
1050	27	Молжаниновский район 	отс.
1050	25	Савёловский район 	отс.
1050	21	Район Сокол 	отс.
1050	26	Тимирязевский район 	отс.
1050	16	Район Ховрино 	отс.
1050	23	Хорошёвский район 	отс.
1050	42	Алексеевский район 	отс.
1050	30	Алтуфьевский район 	отс.
1050	35	Бабушкинский район 	отс.
1050	29	Район Бибирево 	отс.
1050	38	Бутырский район 	отс.
1050	28	Район Лианозово 	отс.
1050	36	Лосиноостровский район 	отс.
1050	39	Район Марфино 	отс.
1050	40	Район Марьина роща 	отс.
1050	33	Район Северное Медведково 	отс.
1050	32	Район Южное Медведково 	отс.
1050	43	Останкинский район 	отс.
1050	31	Район Отрадное 	отс.
1050	41	Район Ростокино 	отс.
1050	34	Район Свиблово 	отс.
1050	44	Район Северный 	отс.
1050	37	Ярославский район 	отс.
1050	54	Район Богородское 	отс.
1050	49	Район Вешняки 	отс.
1050	61	Район Восточный 	отс.
1050	56	Район Гольяново 	отс.
1050	47	Район Ивановское 	отс.
1050	59	Район Восточное Измайлово 	отс.
1050	58	Район Измайлово 	отс.
1050	57	Район Северное Измайлово 	отс.
1050	51	Район Косино-Ухтомский 	отс.
1050	55	Район Метрогородок 	отс.
1050	46	Район Новогиреево 	отс.
1050	50	Район Новокосино 	отс.
1050	45	Район Перово 	отс.
1050	53	Район Преображенское 	отс.
1050	60	Район Соколиная гора 	отс.
1050	52	Район Сокольники 	отс.
1050	68	Район Выхино-Жулебино 	отс.
1050	62	Район Капотня 	отс.
1050	67	Район Кузьминки 	отс.
1050	71	Район Лефортово 	отс.
1050	64	Район Люблино 	отс.
1050	63	Район Марьино 	отс.
1050	74	Район Некрасовка 	отс.
1050	70	Нижегородский район 	отс.
1050	65	Район Печатники 	отс.
1050	69	Рязанский район 	отс.
1050	66	Район Текстильщики 	отс.
1050	72	Южнопортовый район 	отс.
1050	80	Район Бирюлёво Восточное 	отс.
1050	79	Район Бирюлёво Западное 	отс.
1050	78	Район Братеево 	отс.
1050	91	Даниловский район 	отс.
1050	90	Донской район 	отс.
1050	77	Район Зябликово 	отс.
1050	82	Район Москворечье-Сабурово 	отс.
1050	83	Район Нагатино-Садовники 	отс.
1050	84	Район Нагатинский затон 	отс.
1050	88	Нагорный район 	отс.
1050	75	Район Орехово-Борисово Северное 	отс.
1050	76	Район Орехово-Борисово Южное 	отс.
1050	81	Район Царицыно 	отс.
1050	85	Район Чертаново Северное 	отс.
1050	86	Район Чертаново Центральное 	отс.
1050	87	Район Чертаново Южное 	отс.
1050	101	Академический район 	отс.
1050	104	Район Северное Бутово 	отс.
1050	105	Район Южное Бутово 	отс.
1050	98	Гагаринский район 	отс.
1050	99	Район Зюзино	отс.
1050	96	Район Коньково 	отс.
1050	102	Район Котловка 	отс.
1050	97	Ломоносовский район 	отс.
1050	103	Обручевский район 	отс.
1050	95	Район Тёплый Стан 	отс.
1050	100	Район Черёмушки 	отс.
1050	94	Район Ясенево 	отс.
1050	122	Район Внуково 	отс.
1050	116	Район Дорогомилово 	отс.
1050	106	Район Крылатское 	отс.
1050	107	Район Кунцево 	отс.
1050	108	Можайский район 	отс.
1050	121	Район Ново-Переделкино 	отс.
1050	112	Район Очаково-Матвеевское 	отс.
1050	119	Район Проспект Вернадского 	отс.
1050	114	Район Раменки 	отс.
1050	120	Район Солнцево 	отс.
1050	113	Район Тропарёво-Никулино 	отс.
1050	111	Район Филёвский парк 	отс.
1050	109	Район Фили-Давыдково 	отс.
1050	130	Район Куркино 	отс.
1050	129	Район Митино 	отс.
1050	125	Район Покровское-Стрешнево 	отс.
1050	128	Район Строгино 	отс.
1050	93	Район Северное Тушино 	отс.
1050	92	Район Южное Тушино 	отс.
1050	127	Район Хорошёво-Мневники 	отс.
1050	126	Район Щукино 	отс.
1050	131	Район Крюково 	отс.
1050	132	Район Матушкино 	отс.
1050	134	Район Савёлки 	отс.
1050	135	Район Силино 	отс.
1050	137	Район Старое Крюково 	отс.
