№ строки	Название	Адрес	Организационно-правовая форма	Тип учреждения	Вид учреждения	Номер телефона секретаря	Сайт
1	Государственное бюджетное образовательное учреждение города Москвы кадетская школа-интернат № 69 "Второй Московский кадетский корпус" (МЧС)	119421, г.Москва, Ленинский проспект, дом 97, корпус 4	Бюджетное	Общеобразовательное учреждение	Кадетская школа-интернат	(499) 132-89-69	http://www.2mckk.ru
2	Государственное бюджетное образовательное учреждение города Москвы Кадетская школа-интернат № 11 "Московский дипломатический кадетский корпус"	121552, г.Москва, ул.Оршанская, д. 14, строения 1,2,3	Бюджетное	Общеобразовательное учреждение	Кадетская школа-интернат	141-45-01	http://mdkk11.mskzapad.ru
3	Государственное бюджетное образовательное учреждение города Москвы кадетская школа - интернат № 9 "Московский пансион государственных воспитанниц"	109263 г. Москва, Волжский бульвар, дом 52/29	Бюджетное	Общеобразовательное учреждение	Кадетская школа-интернат	179-41-10	http://дочери-россии.рф
4	Государственное бюджетное образовательное учреждение города Москвы кадетская школа-интернат № 8 "Московский кадетский корпус юстиции"	123154, г. Москва, ул. Маршала Тухачевского, д. 46	Бюджетное	Общеобразовательное учреждение	Кадетская школа-интернат	(499) 199-01-37	http://mkku.ru
5	Государственное бюджетное образовательное учреждение города Москвы кадетская школа-интернат № 5 "Преображенский кадетский корпус"	107150, г. Москва, ул. Лосиноостровская, д.22а	Бюджетное	Общеобразовательное учреждение	Кадетская школа-интернат	160-85-53	http://pkk.edusite.ru
6	Государственное бюджетное образовательное учреждение города Москвы кадетская школа-интернат № 6 "Московский Георгиевский кадетский корпус"	127276, г. Москва, ул. Малая Ботаническая, д. 24б	Бюджетное	Общеобразовательное учреждение	Кадетская школа-интернат	619-94-30	http://kdsch6sv.mskobr.ru
7	Государственное бюджетное образовательное учреждение города Москвы Кадетская школа-интернат № 1 "Первый Московский кадетский корпус"	127206, город Москва, улица Вучетича, д. 30, строение 1	Бюджетное	Общеобразовательное учреждение	Кадетская школа-интернат	611-29-43	http://kdsch1.sao.mskobr.ru
8	Государственное бюджетное образовательное учреждение города Москвы кадетская школа № 1784	125040, г. Москва, улица Скаковая, дом 20, стр. 1	Бюджетное	Кадетская школа (кадетская школа-интернат)	Кадетская школа (кадетская школа-интернат)	945-63-81	http://souo-mos.ru
9	Государственное бюджетное образовательное учреждение города Москвы кадетская школа - интернат "Навигацкая школа"	121108 Кастанаевская улица, д. 59 к.1	Бюджетное	Общеобразовательное учреждение	Кадетская школа-интернат	(499) 144-07-63	http://kdsch.mskzapad.ru
10	Государственное бюджетное образовательное учреждение города Москвы кадетская школа-интернат № 7 "Московский казачий кадетский корпус" имени М.А. Шолохова	109462 Маршала Чуйкова улица, 28, стр. 1	Бюджетное	Общеобразовательное учреждение	Кадетская школа-интернат	(499) 175-32-83	http://moskadet.ru/
11	Государственное бюджетное образовательное учреждение города Москвы кадетская школа-интернат № 10 "Московский кадетский корпус полиции"	125183, г. Москва, 4-й Новомихалковский проезд, дом № 14, строение № 3	Бюджетное	Общеобразовательное учреждение	Кадетская школа-интернат	153-81-91	http://moscadet.ru/
