№ строки	Название	Адрес	Административный округ	Район	Юридический адрес	Телефон	Факс	Сайт	Адрес электронной почты
1	ГОУ ДООЦ «Парк Фестивальный»	ул. Сущевский Вал, д.56	СВАО						
2	ГОУ ДДТ «Парк «Усадьба Трубецких в Хамовниках»	ул. Савельева, д.5	ЦАО						
3	ГОУ ЦДОД «Черкизовский парк»	ул.Б.Черкизовская, д.21, стр.2	ВАО						
4	ГОУ города Москвы Дворец творчества детей и молодежи на Миуссах	2-й Щемиловский пер., 4, стр.5	ЦАО						
5	ГОУ ДООЦ «Парк Пресненский»	ул. Дружинниковская, д.9, стр.2	ЦАО						
6	ГОУ ДООЦ «Детский парк Фили»	ул. Большая Филевская, д.9	ЗАО						
7	Дворец детского (юношеского) творчества	Ул. Косыгина, д.17	ЮЗАО						
8	Мемориальный парк у к/т «Ленинград»	ул. Новопесчаная, вл.12	САО						
9	Парк «Сад Будущего»	(сквер у м. «Ботанический сад»)	СВАО						
10	Парк «Воровского»	(Старопетровский проезд, д.1)	САО						
11	Парк «Вагоноремонт»	(Лобненская ул., д.13А)	САО						
12	Парк «Грачевка»	между Зеленоградской и Клинской ул	САО						
13	Лесопарк	Свободный проспект,11	ВАО						
14	Парк	Загородноое ш., д. 2 А	ЮАО						
15	Парк «Победы»	Кировоградская, д. 20—22	ЮАО						
16	Школьный парк	Кировоградская ул., 6—8	ЮАО						
17	Детский парк	ул. Восточная, дом 4	ЮАО						
18	Детский парк	Варшавское шоссе, дом 13 А	ЮАО						
19	Детский парк	Загородное ш., вл. 2	ЮАО						
20	Парк «Победы»	ул. Чертановская, дом 32—34	ЮАО						
21	Детский парк	Сумской проезд, дом 29	ЮАО						
22	Сквер	ул. Медынская, дом 7 А	ЮАО						
23	Каскад прудов	ул. Кировоградская, дом 42	ЮАО						
24	Парк у пруда	л. Чертановская, д.48	ЮАО						
25	Сквер	ул. Гарибальди вл.34-36	ЮЗАО						
26	Парк	ул. Каховка, 9-13	ЮЗАО						
27	Парк	ул. Академика  Арцимовича	ЮЗАО						
28	Государственное автономное учреждение культуры города Москвы «Перовский парк культуры и отдыха»	111141, г.Москва, ул. Лазо, вл.7	Восточный АО	Перово	111141, г.Москва, ул. Лазо, вл.7	(495) 368-26-10	(495) 368-26-21	perovskiypark.ru	ppkio@mail.ru
29	Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Кузьминки»	109472, г.Москва, Кузьминки-Заречье, д.1 стр.2	Юго-Восточный АО	Кузьминки	109472, г.Москва, Кузьминки-Заречье, д.1 стр.2	(499) 175-33-69	(499) 175-33-69	park-kuzminki.ru	kyzay07@yandex.ru
30	Государственное бюджетное учреждение культуры города Москвы «Парк культуры и отдыха «Люблино»	109387, г.Москва, ул. Тихая, д.23	Юго-Восточный АО	Люблино	109387, г.Москва, ул. Тихая, д.23	(495) 350-03-87	(495) 350-29-19	http://www.kuzpark.ru/kuzpark/ru/	parklublino@mail.ru
31	Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Фили»	121309, г.Москва, ул. Большая Филевская, д.22	Западный АО	Филевский парк	121309, г.Москва, ул. Большая Филевская, д.22	(499) 146-05-31, (499) 146-23-14	(499) 146-05-31		info@parkfili.ru
32	Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Северное Тушино»	123364, г.Москва, ул. Свободы, д.61/2	Северо-Западный АО	Северное Тушино	123364, г.Москва, ул. Свободы, д.61/2	(495) 497-51-84	(495) 497-64-61	parkk.ru	tushpark@yandex.ru
33	Ботанический Сад МГУ	г.Москва, проспект Мира, д.26, стр.1	ЦАО	Мещанский					
