№ строки	Название объекта	Адрес	Округ	Район	Общая площадь__кв.м	Привязан к стационарному объекту	Наименование хозяйствующего субъекта
1	Сезонное кафе	Литовский бульв. 22	ЮЗАО	Ясенево	45.0	ГЛОБУС	Глобус
2	Сезонное кафе	Каширское шоссе	ЮАО	Орехово-Борисово Северное	200.0	Макдональдс Москва	Макдональдс-Москва
3	Сезонное кафе	Чертановская ул. 40	ЮАО	Чертаново Центральное	100.0	Солнце востока	Солнце востока
4	Сезонное кафе	ул. Генерала Тюленева 41А	ЮЗАО	Тёплый Стан	100.0	АНВЛАГ	АНВЛАГ
5	Сезонное кафе	ул. Генерала Белова	ЮАО	Орехово-Борисово Северное	100.0	Универсам Фея-2002	УНИВЕРСАМ ФЕЯ - 2002
6	Сезонное кафе	ул. Генерала Белова	ЮАО	Орехово-Борисово Северное	120.0	Система питания	Система питания
7	Сезонное кафе	Чертановская ул.	ЮАО	Чертаново Центральное	72.0	Хижина	САРЕНГЕТИ
8	Сезонное кафе	Шипиловская ул.	ЮАО	Орехово-Борисово Северное	100.0	ПД Интер	ПИВНОЙ ДОМ ИНТЕР
9	Сезонное кафе	ул. Генерала Белова 15	ЮАО	Орехово-Борисово Северное	689.0	Ресторан "Тануки"	МЕДИЯ
10	Сезонное кафе	Профсоюзная ул. 154	ЮЗАО	Тёплый Стан	50.0	ПИТ. ЭЛ.	ПИТ. ЭЛ.
11	Сезонное кафе	Профсоюзная ул. 154	ЮЗАО	Тёплый Стан	50.0	ПИТ. ЭЛ.	ПИТ. ЭЛ.
12	Сезонное кафе	Профсоюзная ул. 152 к. 1	ЮЗАО	Тёплый Стан	20.0	"Ибис"	Ибис
13	Сезонное кафе	Кировоградская ул. 9 к. 4 с. 3	ЮАО	Чертаново Северное	50.0	МАКДОНАЛДС	МОСКВА- МАКДОНАЛДС
14	Сезонное кафе	Днепропетровская ул. 2	ЮАО	Чертаново Северное	210.0	ЧАЙХОНА №1	Аквилона
15	Сезонное кафе	ул. Маршала Захарова	ЮАО	Орехово-Борисово Северное	160.0	АЛГО	Алго
16	Сезонное кафе	Чертановская ул. 17	ЮАО	Чертаново Северное	150.0	ДОЛЬЧЕ ПИЦЦА	ЛУКС ЛАЙТ СИСТЕМС продакшн
17	Сезонное кафе	ул. Генерала Белова	ЮАО	Орехово-Борисово Северное	108.0	Тандем	ТАНДЕМ
