№ строки	Наименование объекта	Адрес	Муниципальный район и административный округ	Судебный район	Судья	Телефон	Факс	Адрес электронной почты
1	Судебный участок №30	115280 ул. Автозаводская д.17, корп. 2	Район Бирюлёво Восточное ЮАО	Нагатинский	Борисенкова Наталья Владимировна	(499)764-19-65	(495)675-68-55	mirsud30@ums-mos.ru
2	Судебный участок №31	115280 ул. Автозаводская д.17, корп. 2	Район Бирюлёво Восточное ЮАО	Нагатинский	Широкова Юлия Леонидовна	(495)675-69-86	(495)675-73-17	mirsud31@ums-mos.ru
3	Судебный участок №32	115280 ул. Автозаводская д.17, корп. 2	Район Бирюлёво Восточное ЮАО	Нагатинский	Торуа Лана Сергеевна	(495)675-71-32	(495)675-74-69	mirsud32@ums-mos.ru
4	Судебный участок №33	115582 ул. Домодедовская д.24, корп.5	Район Орехово-Борисово Северное ЮАО	Нагатинский	Косенко Ирина Геннадьевна	(495)343-23-30	(495)392-65-35	mirsud33@ums-mos.ru
5	Судебный участок №34	115582 ул. Домодедовская д.24, корп.5	Район Орехово-Борисово Северное ЮАО	Нагатинский	Соловьёва Ирина Анатольевна	(495)391-66-67	(495)343-23-29	mirsud34@ums-mos.ru
6	Судебный участок №35	115582 ул. Домодедовская д.24, корп.5	Район Орехово-Борисово Северное ЮАО	Нагатинский	Зайцева Екатерина Геннадьевна	(495)343-28-48	(495)343-23-15	mirsud35@ums-mos.ru
7	Судебный участок №36	115582 ул. Домодедовская д.24, корп.5	Район Орехово-Борисово Северное ЮАО	Нагатинский	Романова Вера Алексеевна	(495)343-23-27	(495)392-44-96	mirsud36@ums-mos.ru
8	Судебный участок №37	115408 ул. Братеевская д.16, корп.6	Район Братеево ЮАО	Нагатинский	Ванина Элеонора Суреновна	(495)341-65-54	(495)342-59-98	mirsud37@ums-mos.ru
9	Судебный участок №38	115408 ул. Братеевская д.16, корп.6	Район Братеево ЮАО	Нагатинский		(495)340-64-72	(495)655-96-12	mirsud38@ums-mos.ru
10	Судебный участок №39	115408 ул. Братеевская д.16, корп.6	Район Братеево ЮАО	Нагатинский	Коптева Юлия Григорьевна	(495)340-65-13	(495)341-69-34	mirsud39@ums-mos.ru
11	Судебный участок №40	115582 ул. Домодедовская д.24, корп.5	Район Зябликово ЮАО	Нагатинский	Чукина Татьяна Викторовна	(499)725-75-52	(495)391-95-44	mirsud40@ums-mos.ru
