№ строки	Название	Адрес	Административный округ	Район	Юридический адрес	Телефон	Факс	Сайт	Электронная почта
1	Государственное бюджетное учреждение культуры города Москвы «Кинотеатральный центр «Эльдар»	119421, г.Москва, Ленинский пр-т, д.105	Юго-Западный АО	Обручевский	119421, г.Москва, Ленинский пр-т, д.105	(495) 735-99-77, (495) 735-99-88	(495) 735-99-79	kinoclub-eldar.ru	kin-eldar@yandex.ru
2	Государственное бюджетное учреждение культуры города Москвы «Московский кинотеатр для детей и юношества «Полет»	125363, г.Москва, ул. Нелидовская, д.10 стр.1	Северо-Западный АО	Южное Тушино	125363, г.Москва, ул. Нелидовская, д.10 стр.1	(495) 492-81-25, (495) 497-56-41, (495) 493-94-36	(495) 497-56-41	polet-kino.ru	info@polet-kino.ru
3	Кинотеатр «Drive VV»	Ореховый б-р, 22а				8 916 966 53 89			
4	Кинотеатр «Байконур»	Декабристов, 17				(499) 204 51 19, 204 53 14			
5	Кинотеатр «Киносфера»	Правобережная, 1б, ТЦ «Капитолий»				(495) 775 77 79			
6	Кинотеатр «Азовский»	Азовская, 24, стр. 3, ТРЦ «Азовский»				(495) 735 40 13			
7	Кинотеатр «Каро Фильм Электрон»	г.Зеленоград, пл. Юности, 1				(495) 545 05 05			
8	Кинотеатр «Байкал-Атлантис»	Михалковская, 4				(495) 708 80 15, 708 80 47			
9	Кинотеатр «Формула Кино Витязь»	Миклухо-Маклая, 27а				(495) 795 37 95			
10	Кинотеатр «Каро Фильм Теплый Стан»	Новоясеневский просп., 1, «Спектр»				(495) 545 05 05			
11	Кинотеатр «Каро Фильм Алтуфьево»	Алтуфьевское ш., 70, корп. 1, «Маркос-молл»				(495) 545 05 05			
12	Кинотеатр «Каро Фильм Киргизия»	Зеленый просп., 81				(495) 545 05 05			
13	Кинотеатр «5D-Визион»	Площадь Ганецкого, д.1				(495) 509 51 85			
14	Кинотеатр «Кино на заводе N»	Электрозаводская, 21				8 903 218 91 56			
15	Кинотеатр «Кронверк Синема Лефортово»	ш. Энтузиастов, 12/2				(495) 961 02 61			
16	Кинотеатр «Формула Кино Ладога»	Широкая, 12				(495) 795 37 95			
17	Кинотеатр «Каро Фильм на Каширке»	Каширское ш., 61, корп. 2, «Ашан Сити»				(495) 545 05 05			
18	Кинотеатр «Каро Фильм Звездный»	просп. Вернадского, 14				(495) 545 05 05			
19	Кинотеатр «Синема Стар Рио»	Б.Черемушкинская, 1, «Рио»				(495) 980 44 15			
20	Кинотеатр «Каро Фильм на Шереметьевской»	Шереметьевская, 20, ТЦ «Капитолий»				(495) 545 05 05			
21	Кинотеатр «Каро Фильм на Севастопольском»	Севастопольский просп., 11е				(495) 545 05 05			
22	Кинотеатр «Формула Кино Прага»	Ниж.Масловка, 10				(495) 795 37 95			
23	Кинотеатр «Киноклуб Востокино»	Никитский б-р, 12а, Музей Востока				(495) 691 49 66			
24	Кинотеатр «Drive VV»	Люблинская, 153, ТЦ «Л-153»				8 916 944 67 95			
25	Кинотеатр «Центрфильм на Щелковской»	Щелковское ш., 100, «Щелково»				(495) 589 19 19, (499) 684 00 24 (заказ билетов), (499) 684 00 25			
26	Кинотеатр «Соловей»	Дружинниковская, 15				(499) 255 96 92, 255 92 37, (495) 605 73 06			
27	Кинотеатр «Синема Стар Ереван плаза»	Б.Тульская, 13, ТЦ «Ереван				(495) 980 44 15, 514 24 20			
28	Кинотеатр «Алмаз Синема Ленинград»	Новопесчаная, 12				(495) 221 52 21, (499) 157 75 52			
29	Кинотеатр «Синема Стар Рио на Дмитровском шоссе»	Дмитровское ш., 163а, корп. 1, «Рио»				(495) 980 44 15, 988 03 77			
30	Кинотеатр «Территория 5D»	Манежная пл., д.1 стр. 2				(495) 764 12 76			
31	Кинотеатр «Бумеранг на Варшавской»	Варшавское ш., 87б				(495) 221 50 67, 221 50 68			
32	Кинотеатр «Алмаз Синема Алмаз»	Шаболовка, 56				(495) 221 52 21, 954 10 02			
33	Кинотеатр «Каро Фильм Баррикады»	Баррикадная, 21/34, стр. 3				(495) 545 05 05			
34	Кинотеатр «Алмаз Синема Солнцево»	Богданова, 19				(495) 221 52 21, 439 52 00			
35	Кинотеатр «Nescafe IMAX»	Правобережная, 1б, ТЦ «Капитолий»				(495) 775 77 79			
36	Кинотеатр «Сезон Синема на Пражской»	Красного Маяка, 2б, Пражский пассаж				(495) 721 82 80, 721 36 34, 943 60 68			
37	Кинотеатр «Дом кино»	Васильевская, 13. В собственности общественной органищзации Союз кинематографистов России				(499) 251 40 65, 254 48 34			
38	Кинотеатр «Формула Кино Европа»	пл. Киевского Вокзала, 2, ТРЦ «Европейский»				(495) 795 37 95			
39	Кинотеатр «4D Cinema на Люблинской»	Люблинская, 100 «Фэнтази Парк»				8 (916) 458 36 70			
40	Государственное бюджетное учреждение культуры города Москвы «Московский кинотеатр для детей и юношества «Юность»	123298, г.Москва, ул. Маршала Рыбалко, д.1/4	Северо-Западный АО	Щукино	123298, г.Москва, ул. Маршала Рыбалко, д.1	(499) 194-10-26, (499) 194-24-30	(499) 194-24-30	kino-junost.ru	kino-yunost@mail.ru
41	Государственное бюджетное учреждение культуры города Москвы «Московский кинотеатр для детей и юношества «Искра»	127422, г.Москва, ул. Костякова, д.10	Северный АО	Тимирязевский	127422, г.Москва, ул. Костякова, д.10	(495) 976-14-44, (495) 976-27-24	(495) 976-14-44, (495) 976-27-24	kino-iskra.ru	kino-iskra@mail.ru
42	Государственное бюджетное учреждение культуры города Москвы «Московский кинотеатр для детей и юношества «Арктика»	129327, г.Москва, ул. Менжинского, д.6	Северо-Восточный АО	Лосиноостровский	129327, г.Москва, ул. Менжинского, д.6	(499) 184-27-27, (499) 184-27-18, (499) 184-27-00	(499) 184-27-00		kino-arktika@mail.ru
