№ строки	Название	Адрес	Приспособленность для инвалидов по зрению	Приспособленность для инвалидов опорно-двигательного аппарата
1	Управление социальной защиты населения района Печатники	г. Москва,  ул. Гурьянова, д.77	приспособлено	приспособлено
2	УСЗН района Покровское-Стрешнево	Ул. Свободы , д.8/4, стр.1	Частично  приспособлен	Частично приспособлен
3	Управление социальной защиты населения района Преображенское города Москвы ВАО	107076, г. Москва, улица Стромынка, дом 21, корп. 1	частично приспособлен	частично приспособлен
4	Управление социальной защиты населения Пресненского района ЦАО города Москвы	Ул. 1905 года, д.5	Не приспособлено	Частично приспособлено
5	Управление социальной защиты населения района Раменки города Москвы Западный административный округ	г.Москва, ул.Раменки, д.6, корп.2	приспособлен	частично приспособлен
6	Управление социальной защиты населения района Ростокино Северо-Восточный административный округ город Москва	129226 г. Москва, ул. Докукина, д.11,стр.2	приспособлено	приспособлено
7	Управление социальной защиты населения района Северное Измайлово города Москвы Восточный административный округ	Москва, 3-я Парковая ул., д. 44Б	Не приспособлен	Частично приспособлен
8	Управление социальной защиты населения района Северное Медведково города Москвы Северо-Восточный административный округ	Москва, ул.Грекова, д.7	частично приспособлено	приспособлено
9	Управление социальной защиты населения района Северное Тушино	Г. Москва, бульвар  Яна Райниса, д.17	Частично приспособлен	Приспособлен
10	Управление социальной защиты населения района Северное Бутово	Москва, бульвар Дмитрия Донского д.12	Приспособлено	Частично приспособлено
11	Управление социальной защиты населения района Сокольники города Москвы ВАО	Москва, 2-й Полевой пер., д.2	приспособлено	приспособлено
12	Управление социальной защиты населения района Солнцево города Москвы Западный административный округ	Москва, улица Богданова, дом 54	Частично приспособлено	Частично приспособлено
13	Управление социальной защиты населения района Строгино города Москвы СЗАО	123592, г. Москва, Строгинский бульвар, д.2, корп.2	Приспособлено	Частично приспособлено
14	УСЗН Таганского района города Москвы ЦАО	109147, Москва, ул. Воронцовская, д. 21	Частично приспособлен	Частично приспособлен
15	Управление социальной защиты населения Тверского района города Москвы ЦАО	г. Москва, 4-й Самотечный пер. д.9	Частично приспособлен	Частично приспособлен
16	Управление социальной защиты населения района Текстильщики ЮВАО г. Москва	Москва, 7-я ул. Текстильщиков, д.2/20	Не приспособлено	Частично приспособлено
17	Управление социальной защиты населения района Теплый Стан	117133, г. Москва, ул.Теплый Стан, д. 4	приспособлен	приспособлен
18	Управление социальной защиты населения Тимирязевского района	Г.Москва Дмитровское ш. 5/1	Частично  приспособлено	приспособлено
19	Управление социальной защиты населения района Царицыно города Москвы ЮАО	115477, г.Москва, ул.Кантемировская, д.29, корп.1	Не приспособлен	Приспособлен частично
20	Управление социальной защиты населения района Чертаново Центральное ЮАО г.Москвы	117519, г.Москва, ул. Красного Маяка д.4, корп.5	частично приспособлено	доступно
21	Управление социальной защиты населения района Чертаново Южное города Москвы ЮАО	Москва, Варшавское ш., д. 154, корп.2	Частично приспособлен	Частично приспособлен
22	Управление социальной защиты населения района Южное Тушино города Москвы СЗАО	Москва, б-р Яна Райниса, дом 17	приспособлено	приспособлено
23	УСЗН Южнопортового района города Москвы Юго-Восточный административный округ	115280, г. Москва, ул. Велозаводская, д. 11/1	приспособлено	приспособлено
24	Управление социальной защиты населения района Якиманка города Москвы ЦАО	119180,                              г. Москва, ул. Малая Полянка, д. 4/6	частично     приспособлен	частично     приспособлен
25	Управление социальной защиты населения района Бирюлево Восточное города Москвы Южного административного округа	Москва, Михневский проезд, д.6, к.1	частично приспособлен	полностью приспособлен
26	Управление социальной защиты населения Алтуфьевского района г. Москвы	Москва, проезд Черского д.1	приспособлен	приспособлен
27	Управление социальной защиты населения Бабушкинского района города Москвы СВАО	Москва, Ул. Верхоянская, д.10	частично приспособлен	приспособлен
28	Управление социальной защиты населения района Бибирево города Москвы СВАО	Москва, ул. Плещеева, д. 7Б	частично приспособлен	частично приспособлен
29	Управление социальной защиты населения района Богородское города Москвы Восточный административный округ	Москва, ул. Бойцовая, дом 10, корпус 5	не приспособлен	частично приспособлен
30	Управление социальной защиты населения района Восточное Измайлово города Москвы ВАО	105077, Москва, ул. Первомайская, дом 107, стр.1	частично приспособлен	частично приспособлен
31	Управление социальной защиты населения Гагаринского района города Москвы	Москва, Ленинский проспект, д.60/2	приспособлен	приспособлен
32	Управление социльной защиты населения района Измайлово города Москвы ВАО	Москва, Заводской проезд, д.3	не приспособлен	частично приспособлен
33	Управление социальной защиты населения района Крюково города Москвы Зеленоградский административный округ	Москва, город Зеленоград, корпус 1818	частично приспособлен	частично приспособлен
34	Управление социальной защиты населения района Люблино города Москвы Юго-Восточный административный округ	Москва, проспект 40 лет Октября, дом 20	приспособлен	приспособлен
35	Управление социальной защиты населения района Матушкино-Савелки	г.Москва, г.Зеленоград, корп.313	приспособлен	приспособлен
36	Управление социальной защиты населения района Митино города Москвы	Москва, Пятницкое шоссе, д.7	частично приспособлен	приспособлен
37	Управление социальной защиты населения Можайского района ЗАО города Москвы	Москва, ул. Гришина, д. 8, корп. 3	приспособлен	приспособлен
38	Управление социальной защиты населения Нагорного района города Москвы Южный административный округ	117556, город Москва, Варшавское шоссе, дом 74, корпус 3	частично приспособлен	частично приспособлен
39	Управление социальной защиты населения района Новокосино города Москвы ВАО	Москва, ул.Новокосинская, д.15,корпус 2	приспособлен	приспособлен
40	Управление социальной защиты населения района Орехово – Борисово Южное города  Москвы Южный административный округ	Москва, ул. Воронежская, д.3	приспособлен	приспособлен
41	Управление социальной защиты населения района Очаково-Матвеевское г.Москвы ЗАО	Москва, ул. Большая Очаковская, д.22	частично приспособлен	Для инвалидов-опорников учреждение приспособлено полностью и частино приспособлено для инвалидов-колясочников
42	Управление социальной защиты населения района Арбат	Москва, Трубниковский переулок, д.21, строение 3	приспособлен	приспособлен
43	Управление социальной защиты населения района Вешняки	111538, г. Москва, Ул. Молдагуловой, дом 15а	не приспособлен	частично приспособлен
44	Управление социальной защиты населения Войковского района города Москвы Северный административный округ	125171, Москва, 2-ой Новоподмосковный переулок, дом 5	приспособлен	приспособлен
45	Управление социальной защиты населения района Выхино - Жулебино ЮВАО г. Москвы	109542, г. Москва, Рязанский пр-т, д.64, к.2	приспособлен	приспособлен
46	УСЗН Даниловского района города Москвы ЮАО	Москва, 1-й Кожуховский проезд, д.3	частично приспособлен	приспособлен
47	УСЗН Академического района	Нахимовский проспект д.46	Полностью приспособлено	Частично приспособлено
48	Управление социальной защиты населения Басманного района города Москвы	Гороховский переулок, дом 5	Частично приспособлен	Приспособлен
49	Управление социальной защиты населения района Аэропорт города Москвы	Москва, ул. Большой Коптевский проезд, д.4	Не приспособлено	Частично приспособлено
50	Управление социальной защиты населения Бескудниковского района города Москвы	Москва, ул.Дубнинская, д.31	Приспособлен	Приспособлен
51	Управление социальной защиты населения района Внуково	Москва, ул. 2-я Рейсовая, д.25Б	Не приспособлен	частично приспособлен
52	Управление социальной защиты населения района Фили-Давыдково города Москвы	г.Москва, ул.Большая Филевская, д.57, строение 1	приспособлено	частично приспособлено
53	Управление социальной защиты населения района Котловка г. Москвы ЮЗАО	Москва, ул. Ремизова, д.5	Полностью приспособлен	Полностью приспособлен
54	Управление социальной защиты населения Красносельского района города Москвы ЦАО	Москва, ул.Краснопрудная, д.13	Приспособлен	Приспособлен
55	Управление социальной защиты населения района Куркино города Москвы Северо-Западный административный округ	125466, Москва, ул.Соловьиная роща, д.10	не приспособлен	частично приспособлен
56	Управление социальной защиты населения города Москвы ЮВАО	Москва, ул.Красноказарменная 19	Частично приспособлен	Частично приспособлен
57	Управление социальной защиты населения Ломоносовского района города Москвы ЮЗАО	119331, Москва, ул.Крупской,  дом 19/17	Приспособлено	Приспособлено
58	Управление социальной защиты населения района Марьино города Москвы Юго-Восточный административный округ	Москва, ул.Братиславская, д.21, корп.1	Частично приспособлен	приспособлен
59	Управление социальной защиты населения Мещанского района ЦАО	Москва, ул.Переяславский пер. д.6	приспособлено	Приспособлено
60	Управление социальной защиты населения района Москворечье – Сабурово города Москвы Южный АО	Г.Москва, ул.Кантемировская, д.29 корп.1.	Частично приспособлено	Приспособлено
61	Управление социальной защиты населения района Нагатинский Затон города Москвы ЮАО	Москва, пр-т Андропова, д. 29, корп.2	Не приспособлен	Частично приспособлен
62	УСЗН Обручевского района города Москвы ЮЗАО	Москва, ул. Профсоюзная, д.60	Частично приспособлен	Частично приспособлен
63	Управление социальной защиты населения района Отрадное города Москвы СВАО	Москва, ул. Римского-Корсакова, д.16	не приспособлен	частично приспособлен
64	УСЗН Панфиловского района города Москвы Зеленоградского АО	124527, г. Москва, Зеленоград, корп.830	приспособлен	приспособлен
65	Управление социальной защиты населения района Перово г. Москвы ВАО	111401, г. Москва, ул. Металлургов, дом 23а	приспособлено	приспособлено
66	Управление социальной защиты населения Южное Бутово города Москвы	Москва, ул. Южнобутовская, д. 33	приспособлено	приспособлено
67	Управление социальной защиты населения района Беговой города Москвы Северный административный округ	Москва, ул. М. Расковой, д. 16/26, корп. 3	частично приспособлен	полностью приспособлен
68	Управление социальной защиты населения района Бирюлево Западное города Москвы Южный административный округ	Москва, Харьковский проезд, дом 7, корп. 3	Не приспособлено	Частично приспособлено
69	Управление социальной защиты населения района Восточное Дегунино города Москвы САО	Москва, Керамический пр-д, д. 57, к. 1	Приспособлен	Частично приспособлено
70	Управление социальной защиты населения района Гольяново ВАО г.Москвы	Москва, Щелковское ш., д.27	Не приспособлен	Частично приспособлено
71	Управление социальной защиты населения Дмитровского района города Москвы Северный административный округ	Москва, 127411, Дмитровское шоссе, д.115, корп.1	Частично приспособлено	Полностью приспособлено
72	Управление социальной защиты населения  Донского района города Москвы ЮАО	Москва, Загородное шоссе, д.4 к.2	частично приспособлен	частично приспособлен
73	УСЗН района Западное Дегунино	ул. Дегунинская, д.1, кор. 1	не приспособлено	частично приспособлено
74	Управление социальной защиты населения района Ивановское города Москвы ВАО	111555, г.Москва, Свободный проспект, дом 19	Приспособлено	Приспособлено
75	Управление социальной защиты населения района Коньково города Москвы ЮЗАО	Москва, ул. Профсоюзная, д.111, кор. 1	полностью приспособлен	полностью приспособлен
76	Управление социальной защиты населения района Коптево Северный административный округ	г. Москва, ул. Космонавта Волкова, 27	Частично приспособлено	Частично приспособлено
77	УСЗН района Крылатское, г. Москвы	121609,г. Москва, Рублевское шоссе, д. 36, корп. 1	не приспособлено	Частично приспособлено
78	Управление социальной защиты населения района Кузьминки города Москвы	Москва, Волгоградский проспект, д.96, корп.3	Частично приспособлено	Полностью приспособлено
79	ГБУ ТЦСО №5 филиал «Коптево»	пр.Черепановых,22	Не приспособлено	частично приспособлено
80	ГБУ ТЦСО №5 филиал «Коптево»	Коптевский бульвар,21	частично приспособлено	частично приспособлено
81	ГБУ ТЦСО №5 филиал «Войковский»	ул.Зои и Александра Космодемьянских д.24А	Не приспособлено	частично приспособлено
82	Государственное бюджетное учреждение города Москвы Территориальный центр социального обслуживания № 6	Г. Москва, ул. Флотская д.15 корп.1	приспособлен	частично приспособлен
83	ТЦСО №6 Филиал Головинский	Г. Москва, ул. Онежская д.2	не приспособлен	приспособлен
84	ТЦСО №6 Филиал Левобережный	Г. Москва,  ул. Беломорская, 1	не приспособлен	приспособлен
85	Государственное бюджетное учреждение города Моствы Территориальный центр социального обслуживания № 14	111141, г. Москва, ул. Кусковская, д.23, кор.2	не приспособлен	частично приспособлен
86	Государственное бюджетное учреждение города Моствы Территориальный центр социального обслуживания № 14 филиал «Перовский»	111123, г. Москва, ул. 2-я Владимирская, д. 10	частично приспособлен	частично приспособлен
87	Государственное бюджетное учреждение города Моствы Территориальный центр социального обслуживания № 14 филиал «Ивановский»	105568, г. Москва, ул. Челябинская, д. 5б	не приспособлен	частично приспособлен
88	ГБУ ТЦСО № 25	Ленинский пр-т: 87	приспособлен	Частично приспособлен
89	ГБУ ТЦСО № 25 филиал  «Обручевский»	119421, г. Москва, ул. Новаторов, д. 36, корп. 5	приспособлен	приспособлен
