№ строки	Название объекта	Адрес	Ведомственная принадлежность	Телефон	Сайт	Электронная почта	Округ	Район	Тип объекта
1	ГОУ ДООЦ "Центральный"            (Парк Фестивальный)	улица Сущевский вал, дом 56	Департамент образования города Москвы	8-495-688-57-87	-	-	ЦАО	Центральный	лыжные трассы и базы (сезонные)
2	Дворец творчества детей и молодежи "На Миуссах"	2-й Щемиловский пер., дом 4	Департамент образования города Москвы	8-499-251-83-39	-	-	ЦАО	Тверской	лыжные трассы и базы (сезонные)
3	дворовая площадка	улица Рассказовская, дом 31	Федеральная	8-499-144-39-22	-	-	ЗАО	Внуково	лыжные трассы и базы (сезонные)
4	дворовая площадка	Воробьёвы горы, улица Косыгина, дом 28	Департамент физической культуры и спорта города Москвы	8-499-726- 15 -84	-	-	ЗАО	Раменки	лыжные трассы и базы (сезонные)
5	дворовая площадка	Мичуринский проспект 2, Олимпийская деревня-80	Департамент жилищно-коммунального хозяйства и благоустройства города Москвы	8-499-144-39-22	-	-	ЗАО	Тропарёво-Никулино	лыжные трассы и базы (сезонные)
6	дворовая площадка	Парк культуры и отдыха Фили, Б. Филёвская, дом 32, корпус 3	Департамент Культуры города Москвы	8-499-145-45-05	-	-	ЗАО	Филевский	лыжные трассы и базы (сезонные)
7	дворовая площадка	улица Академика Анохина, дом 22	Департамент природопользования и охраны окружающей среды города Москвы	8-499-726- 15 -84	-	-	ЗАО	Тропарёво-Никулино	лыжные трассы и базы (сезонные)
8	дворовая площадка	улица Варваринская, дом 2, стр. 8	Префектура	8-499-144-39-22	-	-	ЗАО	Западный	лыжные трассы и базы (сезонные)
9	дворовая площадка	улица Кременчугская, дом 36	Департамент природопользования и охраны окружающей среды города Москвы	8-499-726-15-84	-	-	ЗАО	Фили-Давыдково	лыжные трассы и базы (сезонные)
10	дворовая площадка	улица Крылатская, дом 2, стр. 5	Департамент физической культуры и спорта города Москвы	8-499-144-39-22	-	-	ЗАО	Крылатское	лыжные трассы и базы (сезонные)
11	дворовая площадка	улица Крылатские холмы, дом 1	частная	8-495-662-43-92	-	-	ЗАО	Крылатское	лыжные трассы и базы (сезонные)
12	дворовая площадка	улица Маршала Тимошенко, дом 1	Муниципалитет	8-499-144-39-22	-	-	ЗАО	Кунцево	лыжные трассы и базы (сезонные)
13	ДДТ "Усадьба Трубецких в Хамовниках"	улица Усачева, дом 1а	Департамент образования города Москвы	8-495-637-00-48	-	-	ЦАО	Хамовники	лыжные трассы и базы (сезонные)
14	Деревня Бурцево	Молжаниновский район	Префектура	499-905-47-41	-	-	САО	Молжаниновский	лыжные трассы и базы (сезонные)
