№ строки	Название	Адрес	Административный округ	Район	Юридический адрес	Телефон	Факс	Сайт	Электронная почта
1	Государственное бюджетное учреждение культуры города Москвы «Выставочный зал «Солнцево»	119620, г.Москва, ул. Богданова, д.44	Западный АО	Солнцево	119620, г.Москва, ул. Богданова, д.44	(495) 435-66-24, (495) 439-51-80	(495) 435-64-92	www.museum.ru/M2621	art-solncevo@yandex.ru
2	Государственное бюджетное учреждение культуры города Москвы «Выставочный зал «Галерея ХХI век»	121357, г.Москва, ул. Кременчугская, д.22	Западный АО	Фили-Давыдково	121108, г.Москва, Рублевское ш., д.9	(495) 445-16-50	(495) 445-16-50	vk.com/galleryxxi	galleryXXIc@yandex.ru
3	Государственное бюджетное учреждение культуры города Москвы «Выставочный зал «Тушино»	125459, г.Москва, б-р Яна Райниса, д.19 корп.1	Северо-Западный АО	Южное Тушино	125459, г.Москва, б-р Яна Райниса, д.19 корп.1	(495) 492-23-00	(495) 497-00-19	vz-tushino.ru	tushinogallery@mail.ru
4	Государственное бюджетное учреждение культуры города Москвы «Выставочный зал «Ходынка»	123298, г.Москва, ул. Ирины Левченко, д.2	Северо-Западный АО	Щукино	125364, г.Москва, ул. Свободы, д.61/2	(499) 943-69-41	(499) 943-69-42	arthodynka.ru	hodynka@mail.ru
5	Государственное бюджетное учреждение культуры города Москвы «Выставочный зал «Зеленоград»	124617, г.Москва, Зеленоград, корп.1410	Зеленоградский АО	Крюково	124617, г.Москва, Зеленоград, корп.1410	(499) 717-16-02	(499) 717-16-02	zelcultura.ru	vz1410@yandex.ru
6	Государственное бюджетное учреждение культуры города Москвы «Выставочный зал «На Каширке»	115446, г.Москва, ул. Академика Миллионщикова, д.35 корп.5	Южный АО	Нагатино-Садовники	115446, г.Москва, ул. Академика Миллионщикова, д.35 корп.5	(499) 612-95-17, (499) 612-11-61	(499) 612-93-33	nakashirke.narod.ru	nakashirke@mail.ru
7	Государственное бюджетное учреждение культуры города Москвы «Выставочный зал «Солянка ВПА»	109028, г.Москва, ул. Солянка, д.1/2 стр.2	Центральный АО	Басманный	109028, г.Москва, ул. Солянка, д.1/2 стр.2	(495) 621-55-72, (495) 621-59-61	(495) 621-59-61	solgallery.ru	info@solyanka.org
8	Государственное бюджетное учреждение культуры города Москвы «Выставочный зал «Творчество»	109147, г.Москва, ул. Таганская, д.31/22	Центральный АО	Таганский	109147, г.Москва, ул. Таганская, д.31/22	(495) 678-55-78	(495) 678-55-78	zal-tv.ru	grig@zal-tv.ru
9	Государственное бюджетное учреждение культуры города Москвы «Московский выставочный зал «Галерея А3»	119002, г.Москва, Староконюшенный пер., д.39	Центральный АО	Арбат	119002, г.Москва, Староконюшенный пер., д.39	(495) 697-14-56	(495) 697-14-56	a3.artfor.ru	a3@complat.ru
10	Государственное бюджетное учреждение культуры города Москвы «Государственный выставочный зал «Ковчег»	127434, г.Москва, ул. Немчинова, д.12	Северный АО	Тимирязевский	127434, г.Москва, ул. Немчинова, д.12	(499) 977-00-44, (499) 977-00-88	(499) 977-00-88	www.museum.ru/M2098	gvz-kovcheg@mail.ru
11	Государственное бюджетное учреждение культуры города Москвы «Государственный выставочный зал «Галерея на Песчаной»	125252, г.Москва, ул. Новопесчаная, д.23 корп.7	Северный АО	Сокол	125252, г.Москва, ул. Новопесчаная, д.23 корп.7	(499) 943-51-31	(499) 943-51-31	na-peskah.ucoz.ru	napeskax@mail.ru
12	Государственное бюджетное учреждение культуры города Москвы «Государственный выставочный зал «Ростокино»	129128, г.Москва, ул. Ростокинская, д.1	Северо-Восточный АО	Ростокино	129128, г.Москва, ул. Ростокинская, д.1	(499) 187-10-45	(499) 187-13-49	vzrostokino.ru	1871349@mail.ru
