№ строки	Название	Адрес	Округ	Район
1	Ярмарка выходного дня	Комсомольский пр-т,    вл. 22-24 (дублер)	ЦАО	Хамовники
2	Ярмарка выходного дня	Бескудниковский б-р,   вл. 12	САО	Бескудниковский
3	Ярмарка выходного дня	ул. 3. и А. Космодемьянских, вл. 23 (около кинотеатра «Рассвет»)	САО	Коптево
4	Ярмарка выходного дня	ул.Зеленоградская, вл 15	САО	Ховрино
5	Ярмарка выходного дня	Ст.Петровско-Разумовский пр-д,         вл. 1/23	САО	Савеловский
6	Ярмарка выходного дня	ул. Флотская,  вл. 25	САО	Головинский
7	Ярмарка выходного дня	проезд Березовой рощи, вл. 3	САО	Хорошевский
8	Ярмарка выходного дня	Дмитровское шоссе, вл.131	САО	Дмитровский
9	Ярмарка выходного дня	ул. Тарусская, вл. 14	ЮЗАО	Ясенево
10	Ярмарка выходного дня	ул. 1-я Новокузьминская, вл. 21	ЮВАО	Рязанский
11	Ярмарка выходного дня	ул. Михайлова, вл. 29	ЮВАО	Рязанский
12	Ярмарка выходного дня	Волгоградский пр-т, вл.46	ЮВАО	Текстильщики
13	Ярмарка выходного дня	ул. Юных Ленинцев, вл. 10/15	ЮВАО	Текстильщики
14	Ярмарка выходного дня	ул. Трофимова,  вл. 17	ЮВАО	Южнопортовый
15	Ярмарка выходного дня	ул. Михневская, вл. 9/1	ЮАО	Бирюлево Восточное
16	Ярмарка выходного дня	ул. Бирюлевская, вл. 17	ЮАО	Бирюлево Восточное
17	Ярмарка выходного дня	ул. Булатниковская,      вл. 9/1	ЮАО	Бирюлево Западное
18	Ярмарка выходного дня	Булатниковский пр-д, вл. 14	ЮАО	Бирюлево Западное
19	Ярмарка выходного дня	ул. Борисовкие пруды,   вл. 26, стр.2	ЮАО	Братеево
20	Ярмарка выходного дня	ул. Восточная, вл. 26	ЮАО	Даниловский
21	Ярмарка выходного дня	1-й Донской проезд	ЮАО	Донской
22	Ярмарка выходного дня	ул. Шипиловская,          вл. 48-50а	ЮАО	Зябликово
23	Ярмарка выходного дня	ул. Кантемировская,      вл. 14	ЮАО	Москворечье-Сабурово
24	Ярмарка выходного дня	Чонгарский бульвар,     вл. 7 (около кинотеатва «Ангара»)	ЮАО	Нагорный
25	Ярмарка выходного дня	ул. Нагатинская, вл. 35	ЮАО	Нагатино-Садовники
26	Ярмарка выходного дня	Нагатинский бульвар, вл. 12	ЮАО	Нагатино-Садовники
27	Ярмарка выходного дня	ул. Судостроительная, вл.10	ЮАО	Нагатинский затон
28	Ярмарка выходного дня	ул. Новинки, вл. 31	ЮАО	Нагатинский затон
29	Ярмарка выходного дня	ул. Домодедовская,       вл. 12	ЮАО	Орехово-Борисово Северное
30	Ярмарка выходного дня	ул. Домодедовская,       вл. 15	ЮАО	Орехово-Борисово Южное
31	Ярмарка выходного дня	ул. Ясеневая, вл. 30	ЮАО	Орехово-Борисово Южное
32	Ярмарка выходного дня	Поселение Внуковское, Пыхтино	ТиНАО	Внуковское
33	Ярмарка выходного дня	Бунинская аллея, вл.9	ЮЗАО	Южное Бутово
34	Ярмарка выходного дня	ул. Маршала Катукова, вл. 8	СЗАО	Строгино
35	Ярмарка выходного дня	ул. Маршала Тухачевского, вл. 32-34	СЗАО	Хорошево-Мневники
36	Ярмарка выходного дня	ул. Щукинская, вл. 42	СЗАО	Щукино
37	Ярмарка выходного дня	Пятницкое шоссе, вл. 18	СЗАО	Митино
38	Ярмарка выходного дня	Б-р Яна Райниса, вл.2	СЗАО	Северное Тушино
39	Ярмарка выходного дня	ул. Тушинская, вл. 15	СЗАО	Покровское-Стрешнево
40	Ярмарка выходного дня	ул. Фестивальная,          вл. 21-25	САО	Левобережный
41	Ярмарка выходного дня	Дмитровское шоссе, вл.13, корп.2-5	САО	Тимирязевский
42	Ярмарка выходного дня	ул. Красноармейская,     вл. 36-38	САО	Аэропорт
43	Ярмарка выходного дня	ул. Новопесчаная, вл. 12	САО	Сокол
44	Ярмарка выходного дня	ул. Западная,  вл. 1	ВАО	Восточный
45	Ярмарка выходного дня	Пролетарский проспект, вл. 24	ЮАО	Царицыно
46	Ярмарка выходного дня	ул. Луганская, вл. 15	ЮАО	Царицыно
47	Ярмарка выходного дня	Микрорайон  Чертаново Северное, вл.806	ЮАО	Чертаново Северное
48	Ярмарка выходного дня	ул. Красного Маяка, вл. 3 (ст. метро «Пражская»)	ЮАО	Чертаново Центральное
49	Ярмарка выходного дня	ул. Чертановская, вл 65	ЮАО	Чертаново Южное
50	Ярмарка выходного дня	Россошанский пр., вл. 3-5	ЮАО	Чертаново Южное
51	Ярмарка выходного дня	ул. Гримау,  вл. 12	ЮЗАО	Академический
52	Ярмарка выходного дня	проспект Вернадского, вл. 7	ЮЗАО	Гагаринский
53	Ярмарка выходного дня	ул. М.Юшуньская, вл. 1 напротив ГК «Берлин»	ЮЗАО	Зюзино
54	Ярмарка выходного дня	ул. Профсоюзная вл. 91	ЮЗАО	Коньково
55	Ярмарка выходного дня	Нагорный б-р, вл. 8-9	ЮЗАО	Котловка
56	Ярмарка выходного дня	ул. Гарибальди, вл. 4	ЮЗАО	Ломоносовский
57	Ярмарка выходного дня	ул. Крупской, вл. 9	ЮЗАО	Ломоносовский
58	Ярмарка выходного дня	ул. Академика Челомея, вл. 8, к.1	ЮЗАО	Обручевский
59	Ярмарка выходного дня	Ленинский пр-т, вл. 125/1	ЮЗАО	Теплый Стан
60	Ярмарка выходного дня	ул. Профсоюзная, вл. 128, корп.2 (площадка перед рестораном «Кружка»	ЮЗАО	Теплый Стан
61	Ярмарка выходного дня	ул. Новочеремушкинская, вл. 53	ЮЗАО	Черемушки
62	Ярмарка выходного дня	ул. Южнобутовская,      вл. 50, к.4 (напротив)	ЮЗАО	Южное Бутово
63	Ярмарка выходного дня	Вокзальная площадь	ЮЗАО	Южное Бутово
64	Ярмарка выходного дня	Измайловская площадь, вл. 1	ВАО	Измайлово
65	Ярмарка выходного дня	Зеленый пр-т,  вл. 2	ВАО	Перово
66	Ярмарка выходного дня	ул. 2-я Сокольническая, вл. 3	ВАО	Сокольники
67	Ярмарка выходного дня	1-й Капотнинский проезд, вл. 12	ЮВАО	Капотня
68	Ярмарка выходного дня	ул. Юных Ленинцев,     вл. 52 у кинотеатра «Высота»	ЮВАО	Кузьминки
69	Ярмарка выходного дня	Волгоградский проспект, вл. 119	ЮВАО	Кузьминки
70	Ярмарка выходного дня	Шоссе Энтузиастов,      вл. 26 (пл. Новая)	ЮВАО	Лефортово
71	Ярмарка выходного дня	ул. Краснодарская,  вл. 51	ЮВАО	Люблино
72	Ярмарка выходного дня	Новочеркасский бульвар, вл. 19А у кинотеатра «Экран»	ЮВАО	Марьино
73	Ярмарка выходного дня	ул. Перерва, вл. 43, стр. 1	ЮВАО	Марьино
74	Ярмарка выходного дня	Троилинский пер., вл. 4/7	ЦАО	Арбат
75	Ярмарка выходного дня	Старокирочный пер.,вл. 1/47	ЦАО	Басманный
76	Ярмарка выходного дня	ул. Забелина, вл. 2	ЦАО	Басманный
77	Ярмарка выходного дня	Гусятников пер., вл. 1-3	ЦАО	Басманный
78	Ярмарка выходного дня	Климентовский пер., вл.10-16	ЦАО	Замоскворечье
79	Ярмарка выходного дня	Панкратьевский пер., вл. 5, стр. 7-9	ЦАО	Красносельский
80	Ярмарка выходного дня	ул. Щепкина, вл. 32-38	ЦАО	Мещанский
81	Ярмарка выходного дня	Тишинская пл, вл. 6 (в сквере у памятника)	ЦАО	Пресненский
82	Ярмарка выходного дня	5-й Котельнический пер., вл. 2-6	ЦАО	Таганский
83	Ярмарка выходного дня	Сытинский пер., вл. 27, стр.1, стр. 6	ЦАО	Тверской
84	Ярмарка выходного дня	Долгоруковская ул. вл. 40	ЦАО	Тверской
85	Ярмарка выходного дня	ул. Б.Полянка, вл.  28	ЦАО	Якиманка
