№ строки	Название объекта_ремонта	Адрес	Дата начала работ	Дата окончания работ
1	Прочие работы	Щукинская ул., д.12	2012-06-13 04:00:00.0	2012-12-31 04:00:00.0
2	Капитальный ремонт	Маршала Жукова просп., д.35, к.1	2012-06-21 04:00:00.0	2012-12-31 04:00:00.0
3	Капитальный ремонт	Маршала Жукова просп., д.35, к.1	2012-07-06 04:00:00.0	2012-12-31 04:00:00.0
4	Капитальный ремонт	Парковая 7-я ул., д.26	2012-07-03 04:00:00.0	2012-12-31 04:00:00.0
5	Капитальный ремонт	Парковая 7-я ул., д.26	2012-08-24 04:00:00.0	2012-12-31 04:00:00.0
6	Капитальный ремонт	Парковая 7-я ул., д.26	2012-07-27 04:00:00.0	2012-12-31 04:00:00.0
7	Капитальный ремонт	Парковая 7-я ул., д.26	2012-07-06 04:00:00.0	2012-12-31 04:00:00.0
8	Капитальный ремонт	Коптевский Большой пр., д.16а	2012-07-12 04:00:00.0	2012-12-31 04:00:00.0
9	Капитальный ремонт	Коптевский Большой пр., д.16а	2012-03-22 04:00:00.0	2012-12-31 04:00:00.0
10	Капитальный ремонт	Коптевский Большой пр., д.16а	2012-07-13 04:00:00.0	2012-12-31 04:00:00.0
11	Капитальный ремонт	Коптевский Большой пр., д.16а	2012-03-22 04:00:00.0	2012-12-31 04:00:00.0
12	Капитальный ремонт	Коптевский Большой пр., д.16а	2012-07-13 04:00:00.0	2012-12-31 04:00:00.0
13	Капитальный ремонт	Мосфильмовский 2-й пер., д.8	2012-06-29 04:00:00.0	2012-12-31 04:00:00.0
14	Капитальный ремонт	Красноказарменная ул., д.9	2012-04-19 04:00:00.0	2012-12-31 04:00:00.0
15	Капитальный ремонт	Югорский пр., д.22, к.1	2012-02-20 04:00:00.0	2012-12-31 04:00:00.0
16	Капитальный ремонт	Югорский пр., д.22, к.1	2012-06-21 04:00:00.0	2012-12-31 04:00:00.0
17	Капитальный ремонт	Югорский пр., д.22, к.1	2012-07-03 04:00:00.0	2012-12-31 04:00:00.0
18	Капитальный ремонт	Югорский пр., д.22, к.1	2012-07-30 04:00:00.0	2012-12-31 04:00:00.0
19	Капитальный ремонт	Крутицкий Вал ул., д.18, стр.2,3	2012-07-10 04:00:00.0	2012-12-31 04:00:00.0
20	Капитальный ремонт	Крутицкий Вал ул., д.18, стр.2,3	2012-07-10 04:00:00.0	2012-12-31 04:00:00.0
21	Капитальный ремонт	Коптельский 1-й пер., д.14/16, стр.2	2012-07-03 04:00:00.0	2012-12-31 04:00:00.0
22	Капитальный ремонт	Коптельский 1-й пер., д.14/16, стр.2	2012-01-19 04:00:00.0	2012-12-31 04:00:00.0
23	Капитальный ремонт	Коптельский 1-й пер., д.14/16, стр.2	2012-06-30 04:00:00.0	2012-12-31 04:00:00.0
24	Капитальный ремонт	Коптельский 1-й пер., д.14/16, стр.2	2012-08-02 04:00:00.0	2012-12-31 04:00:00.0
25	Капитальный ремонт	Новая пл., д.10 с.2	2012-08-09 04:00:00.0	2012-12-31 04:00:00.0
26	Капитальный ремонт	Новая пл., д.10 с.2	2012-08-09 04:00:00.0	2012-12-31 04:00:00.0
27	Капитальный ремонт	Новая пл., д.10 с.2	2012-08-28 04:00:00.0	2012-12-31 04:00:00.0
28	Капитальный ремонт	Новая пл., д.10 с.2	2012-08-09 04:00:00.0	2012-12-31 04:00:00.0
29	Капитальный ремонт	Новая пл., д.10 с.2	2012-08-09 04:00:00.0	2012-12-31 04:00:00.0
30	Капитальный ремонт	Новая пл., д.10 с.2	2012-08-09 04:00:00.0	2012-12-31 04:00:00.0
31	Капитальный ремонт	Новая пл., д.10 с.2	2012-06-21 04:00:00.0	2012-12-31 04:00:00.0
32	Капитальный ремонт	Новая пл., д.10 с.2	2012-03-26 04:00:00.0	2012-12-31 04:00:00.0
33	Капитальный ремонт	Пушечная ул., д.7/5 с.3	2011-12-01 04:00:00.0	2012-12-31 04:00:00.0
34	Капитальный ремонт	Ракетный б-р, д.4	2012-04-26 04:00:00.0	2012-12-31 04:00:00.0
35	Капитальный ремонт	Ракетный б-р, д.4	2012-07-26 04:00:00.0	2012-12-31 04:00:00.0
36	Капитальный ремонт	Ракетный б-р, д.4	2012-02-13 04:00:00.0	2012-12-31 04:00:00.0
37	Прочие работы	Миусская пл., д.2/2	2012-06-13 04:00:00.0	2012-12-31 04:00:00.0
38	Капитальный ремонт	Селезнёвская ул., д.9	2012-08-21 04:00:00.0	2012-12-31 04:00:00.0
39	Капитальный ремонт	Болотниковская ул., д.7, к.5	2012-07-18 04:00:00.0	2012-12-31 04:00:00.0
40	Капитальный ремонт	Болотниковская ул., д.7, к.5	2012-07-23 04:00:00.0	2012-12-31 04:00:00.0
41	Капитальный ремонт	Петровка ул., д.26, стр.3	2011-10-17 04:00:00.0	2012-12-31 04:00:00.0
