№ строки	Наименование организации	Сумма задолженности на дату представления, руб.	Примечание
1	Открытое акционерное общество "Хлебозавод № 6"	873665949,70	
2	Государственное унитарное предприятие города Москвы "Центр-Сити"	94418319,57	
3	Открытое акционерное общество "ПРОИЗВОДСТВЕННО-ТОРГОВЫЙ КОМПЛЕКС "ЗЕЛЕНОГРАДСКИЙ" 	85878021,77	*- задолженность по арендной плате для арендаторов, имеющих в эксплуатации несколько земельных участков, указана с учетом общей суммы задолженности
4	Закрытое акционерное общество "Строительное управление № 155" 	57086442,47	*- задолженность по арендной плате для арендаторов, имеющих в эксплуатации несколько земельных участков, указана с учетом общей суммы задолженности
5	Открытое акционерное общество Инвестиционная компания "МИР ФАНТАЗИЙ"	51966468,53	
6	Общество с ограниченной ответственностью "ПСФ "Крост" 	50845238,43	*- задолженность по арендной плате для арендаторов, имеющих в эксплуатации несколько земельных участков, указана с учетом общей суммы задолженности
7	Закрытое акционерное общество "Станкострой-8"	44736189,44	
8	Общество с ограниченной ответственностью "Комплекс-Строй"	40885514,76	
9	Открытое акционерное общество "Московский завод холодильного машиностроения "Компрессор" 	40680002,37	*- задолженность по арендной плате для арендаторов, имеющих в эксплуатации несколько земельных участков, указана с учетом общей суммы задолженности
10	Открытое акционерное общество "Московский металлургический завод "Серп и Молот" 	38994890,13	*- задолженность по арендной плате для арендаторов, имеющих в эксплуатации несколько земельных участков, указана с учетом общей суммы задолженности
11	Закрытое акционерное общество "ИНК-строй"	37986198,20	
12	Открытое акционерное московское общество "ЗАВОД ИМЕНИ И.А.ЛИХАЧЕВА" (АМО ЗИЛ)	33451967,72	
13	Общество с ограниченной ответственностью "Международный парк развлечений и туризма" 	31430178,97	*- задолженность по арендной плате для арендаторов, имеющих в эксплуатации несколько земельных участков, указана с учетом общей суммы задолженности
14	Общество с ограниченной ответственностью "МаркСтрой"	31145240,07	
15	Открытое акционерное общество "КАЛИБРОВСКИЙ ЗАВОД"	30187272,90	
16	Государственное унитарное предприятие  города Москвы "Мосавтотранс" 	29100598,20	*- задолженность по арендной плате для арендаторов, имеющих в эксплуатации несколько земельных участков, указана с учетом общей суммы задолженности
17	Закрытое акционерное общество "СК Строймонтаж"	27790299,75	
18	Закрытое акционерное общество "Европейское экологическое сообщество" 	26802372,66	*- задолженность по арендной плате для арендаторов, имеющих в эксплуатации несколько земельных участков, указана с учетом общей суммы задолженности
