№ строки	Название	Адрес	Организационно-правовая форма	Тип учреждения	Вид учреждения	Номер телефона секретаря	Сайт
1	Государственное бюджетное образовательное учреждение города Москвы начальная школа - детский сад № 1632	115573 г. Москва, Ореховый б-р, д. 33	Бюджетное	Образовательное учреждение для детей дошкольного и младшего школьного возраста	Начальная школа – детский сад	394-18-09	http://sch1632.edusite.ru/
2	Государственное бюджетное образовательное учреждение города Москвы начальная школа - детский сад № 1625	115548, г.Москва, Лебедянская ул., д.12, корп.2	Бюджетное	Образовательное учреждение для детей дошкольного и младшего школьного возраста	Начальная школа – детский сад	329-86-76	http://www.dou1625.edusite.ru
3	Государственное бюджетное образовательное учреждение города Москвы начальная школа - детский сад № 1620	119261, г.Москва, Ленинский проспект, дом 82/2, корпус 1	Бюджетное	Образовательное учреждение для детей дошкольного и младшего школьного возраста	Начальная школа – детский сад	138-51-63	http://gou1620.ru
4	Государственное бюджетное образовательное учреждение города Москвы начальная школа - детский сад № 1649	117418, Москва, улица Цюрупы, 8а	Бюджетное	Образовательное учреждение для детей дошкольного и младшего школьного возраста	Начальная школа – детский сад	124-03-77	http://www.1649.ru
5	Государственное бюджетное образовательное учреждение города Москвы начальная школа - детский сад № 1657	117133, г.Москва, улица Теплый Стан, дом 21 Б	Бюджетное	Образовательное учреждение для детей дошкольного и младшего школьного возраста	Начальная школа – детский сад	337-61-11	http://school1657.mosuzedu.ru
6	Государственное бюджетное образовательное учреждение города Москвы начальная школа - детский сад №1886	111531, г. Москва, ш. Энтузиастов, д.94 А	Бюджетное	Образовательное учреждение для детей дошкольного и младшего школьного возраста	Начальная школа – детский сад	300-20-91	http://www.scholl1886.edusite.ru
7	Государственное бюджетное образовательное учреждение города Москвы начальная школа - детский сад № 1856	129224, г. Москва, ул. Широкая, д. 13, корп.3	Бюджетное	Образовательное учреждение для детей дошкольного и младшего школьного возраста	Начальная школа – детский сад	(499) 479-12-61	http://nshcds1856.mskobr.ru
8	Государственное бюджетное образовательное учреждение города Москвы начальная школа - детский сад № 1655	117246, г.Москва, ул. Херсонская, д.36	Бюджетное	Образовательное учреждение для детей дошкольного и младшего школьного возраста	Начальная школа – детский сад	331-73-11	http://www.gou1655.ru
9	Государственное бюджетное образовательное учреждение города Москвы начальная школа - детский сад № 1 "Сказка"	119620 г. Москва, ул. 50-летия Октября, д.3б	Бюджетное	Образовательное учреждение для детей дошкольного и младшего школьного возраста	Начальная школа – детский сад	(495) 435-72-42; (495) 435-72-33; (495) 435-84-37	http://  nschds1.mskzapad.ru
10	Государственное бюджетное образовательное учреждение города Москвы начальная школа - детский сад № 1674	121609 г. Москва, ул. Осенняя, д.6	Бюджетное	Образовательное учреждение для детей дошкольного и младшего школьного возраста	Начальная школа – детский сад	415-93-74	http://osen1674.ru/
11	Государственное бюджетное образовательное учреждение города Москвы начальная школа - детский сад № 1659	121615 г. Москва, ул. Рублевское ш., д.14, к.2	Бюджетное	Образовательное учреждение для детей дошкольного и младшего школьного возраста	Начальная школа – детский сад	415-28-77	http://www.nschds1659.mskzapad.ru
12	Автономная некоммерческая образовательная организация Начальная школа - детский сад «Радуга»	Комсомольский проспект, 45	Автономное	Образовательное учреждение для детей дошкольного и младшего школьного возраста	Начальная школа – детский сад	(499) 766-84-19	
13	Автономная некоммерческая организация средняя образовательная школа "Димитриевская"	119049 Ленинский проспект, д.8 корпус 12	Автономное	Образовательное учреждение для детей дошкольного и младшего школьного возраста	Начальная школа – детский сад	(499) 236-98-83	
