№ строки	Название	Адрес	Организационно-правовая форма	Тип учреждения	Вид учреждения	Номер телефона секретаря	Сайт
1	Государственное бюджетное образовательное учреждение города Москвы прогимназия № 1736	115580 г.Москва, ул. М.Джалиля д.29,к.3	Бюджетное	Образовательное учреждение для детей дошкольного и младшего школьного возраста	Прогимназия	394-01-66	http://sch1736.edusite.ru/
2	Государственное бюджетное образовательное учреждение города Москвы прогимназия № 1611	127591, г. Москва, ул 800-летия Москвы, дом 5, корпус 2	Бюджетное	Образовательное учреждение для детей дошкольного и младшего школьного возраста	Прогимназия	(499) 480-77-11; (499) 480-31-14	http://pgym1611.mskobr.ru
3	Государственное бюджетное образовательное учреждение города Москвы прогимназия № 1782	125310, г. Москва, ул. Барышиха, д. 42, корп. 1	Бюджетное	Образовательное учреждение для детей дошкольного и младшего школьного возраста	Прогимназия	(495) 794-89-32; (495) 794-89-37	http://1782-school.ucoz.ru
4	Государственное бюджетное образовательное учреждение города Москвы прогимназия № 1642	111250, г.Москва, ул. Солдатская, д. 12а	Бюджетное	Образовательное учреждение для детей дошкольного и младшего школьного возраста	Прогимназия	362-69-66	http://www.progimnaziya1642.ru
5	Государственное бюджетное образовательное учреждение города Москвы прогимназия № 1644	117461, г.Москва, ул. Херсонская, д. 5, корп. 1	Бюджетное	Образовательное учреждение для детей дошкольного и младшего школьного возраста	Прогимназия	122-84-70	http://www.1644.ru/
6	Государственное бюджетное образовательное учреждение города Москвы прогимназия №1752	107014, г. Москва, ул. Большая  Остроумовская,  дом 7	Бюджетное	Образовательное учреждение для детей дошкольного и младшего школьного возраста	Прогимназия	(495) 603-07-16	http://pgym1752.mskobr.ru
7	Государственное бюджетное образовательное учреждение города Москвы прогимназия № 1733	119331, Москва, ул. Крупской, д.10	Бюджетное	Образовательное учреждение для детей дошкольного и младшего школьного возраста	Прогимназия	432-67-92	http://1733.ru
8	Государственное бюджетное образовательное учреждение города Москвы прогимназия №1749	105215, г. Москва, улица 13-я Парковая, дом 29	Бюджетное	Образовательное учреждение для детей дошкольного и младшего школьного возраста	Прогимназия	468-22-46	http://pgym1749.vao.mskobr.ru
9	Государственное бюджетное образовательное учреждение города Москвы  прогимназия № 1893	109388, г. Москва, ул. Гурьянова, д. 59	Бюджетное	Образовательное учреждение для детей дошкольного и младшего школьного возраста	Прогимназия	354-90-06	http://pgymuv1893.mskobr.ru/
10	Государственное бюджетное образовательное учреждение города Москвы прогимназия № 1779	129323, г. Москва, ул. Седова, д.12	Бюджетное	Образовательное учреждение для детей дошкольного и младшего школьного возраста	Прогимназия	(499) 180-43-90; (499) 180-01-96	http://www.pgym1779.svao.mskobr.ru
11	Государственное бюджетное образовательное учреждение города Москвы прогимназия № 1723	119571 г.Москва, Ленинский проспект, д. 156, корпус 2	Бюджетное	Образовательное учреждение для детей дошкольного и младшего школьного возраста	Прогимназия	428-45-01	http://www.pro1723.ru
12	Государственное бюджетное образовательное учреждение города Москвы прогимназия № 1774	125130, г. Москва, 3-ий Новоподмосковный переулок, дом 7, строение 1	Бюджетное	Образовательное учреждение для детей дошкольного и младшего школьного возраста	Прогимназия	159-30-66	http://1774.ru/
13	Государственное бюджетное образовательное учреждение города Москвы прогимназия № 1661	127486, г. Москва, Коровинское шоссе, дом 14-а	Бюджетное	Образовательное учреждение для детей дошкольного и младшего школьного возраста	Прогимназия	905-41-64	http://www.pgym1661.mskobr.ru
14	Государственное бюджетное образовательное учреждение города Москвы прогимназия № 1882	109444 Ферганская улица, д. 16, к. 3	Бюджетное	Образовательное учреждение для детей дошкольного и младшего школьного возраста	Прогимназия	376-42-11	http://progimnazia1882.ucoz.ru
15	Государственное бюджетное образовательное учреждение города Москвы прогимназия № 1672	125252,  г. Москва, улица Алабяна, дом 15	Бюджетное	Образовательное учреждение для детей дошкольного и младшего школьного возраста	Прогимназия	(499) 198-77-15	http://pgym1672.mskobr.ru/
