№ строки	Название	Адрес	Организационно-правовая форма	Тип учреждения	Вид учреждения	Номер телефона секретаря	Сайт
1	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа  с углубленным изучением иностранного языка № 1293	121552 г.Москва, ул. Оршанская, д. 10, корп.1	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	140-34-89	http://schu1293.mskzapad.ru/
2	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением французского языка № 1267	117465, г.Москва, ул. Теплый Стан, дом 13, корп. 4	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	337-68-11	http://1267.mosuzedu.ru
3	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением немецкого языка № 1385	117209, г. Москва, улица Перекопская, дом 21	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	331-80-11	http://www.school1385.ru
4	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков № 1387	125466, г. Москва, улица Соколово - Мещерская, дом 27	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	(499) 401-99-98	http://school1387.ru
5	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углублённым изучением экономики № 188	127473 г.Москва, 3-ий Самотечный пер., д.14	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	688-22-54	http://188school.ru
6	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка № 1414	127018, г. Москва, ул. Советской Армии, д. 9	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	689-02-98	http://schu1414.svao.mskobr.ru/
7	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского и немецкого языков № 1955	129345, г. Москва, улица Тайнинская, дом 15, корпус 3	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	(499) 185-18-42	http://schu1955.svao.mskobr.ru
8	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением немецкого языка № 1212	123060, г. Москва, ул. Маршала Рыбалко, д. 14	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	(499) 728-40-02	http://www.ds1106.mskobr.ru
9	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением французского языка № 1286	125480, г. Москва, ул. Героев Панфиловцев, д. 15	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	(495) 496-36-25; (495) 495-74-01	http://www.ds258.mskobr.ru
10	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка № 1944	125368, г. Москва, ул. Барышиха, д. 17, корп. 1	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	(495) 754-08-11	http://www.dsovp2400.mskobr.ru
11	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка № 1278	107031 г.Москва, ул.Петровка, д.23/10, стр.18,21	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	621-04-89	http://schuc1278.mskobr.ru
12	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением французского языка № 1095	129281, г. Москва, ул. Енисейская, д. 32, корпус 3	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	(495) 470-91-55; (495) 470-89-32	http://schi1095.svao.mskobr.ru/
13	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка № 1201	129626 г. Москва, ул. Павла Корчагина, д.13, строение 1.	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	(495) 683-53-28; (495) 682-71-69; (495) 682-50-91; (495) 682-51-00	http://schu1201.svao.mskobr.ru
14	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка № 1411	127566, г. Москва, Северный бульвар, д. 1 а	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	404-43-11	http://schu1411.svao.mskobr.ru
15	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков № 1412	127549 г. Москва, ул. Мурановская, д. 4-а	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	407-05-30	http://schu1412.svao.mskobr.ru
16	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка № 1268	105215, г.Москва, ул. 11-ая Парковая, д.50	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	164-48-01	http://www.school-1268.ru/
17	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков № 1242	117546 г. Мосва, Востряковский пр-д, д. 3а	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	(495) 383-97-81	http://www.school1242.ru/
18	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного языка № 1263	119071 г. Москва, Ленинский пр., д.18 А	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	(495) 952-11-30; (495) 954-47-04; (495) 954-49-07; (495) 952-27-00	http://sch1263.ru/
19	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка № 1371	121614 г.Москва, ул. Крылатские холмы, д. 45, к.2	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	413-25-74	http://schu1371.mskzapad.ru
