№ строки	Название	Адрес	Организационно-правовая форма	Тип учреждения	Вид учреждения	Номер телефона секретаря	Сайт
1	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1469	109462, г. Москва, ул. Юных Ленинцев, д. 45, корп. 2	Бюджетное	Общеобразовательное учреждение	Центр образования	(499) 179-88-57	http://co1469.ru
2	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1877 "Люблино"	109382, г. Москва, ул. Краснодонская, д. 40	Бюджетное	Общеобразовательное учреждение	Центр образования	351-00-00	http://sch1877.uvuo.ru/
3	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1311 "Тхия"	119421, г.Москва, Ленинский проспект, дом 97, корпус 1	Бюджетное	Общеобразовательное учреждение	Центр образования	(499) 132-32-56	http://sch1311.msk.ort.ru
4	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1681 "Бутово-3"	117216, г. Москва, бульвар Дмитрия Донского, д. 14А	Бюджетное	Общеобразовательное учреждение	Центр образования	711-51-63	http://school1681.mosuzedu.ru
5	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1458	109451,  г.Москва Перервинский б-р, д.10, корп. 1	Бюджетное	Общеобразовательное учреждение	Центр образования	(495) 346-25-10; (495) 346-25-11; (495) 346-45-50; (495) 345-34-45; (495) 345-26-01; (499) 772-89-70; (499) 722-79-50; (499) 722-79-51	http://co1458.ru/
6	Государственное бюджетное образовательное учреждение города Москвы центр образования № 497	109240 г. Москва, 1-ый Котельнический пер., д.5	Бюджетное	Общеобразовательное учреждение	Центр образования	(495) 915-30-55	http://www.co497.cao.mskobr.ru
7	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1447 имени Н.А.Островского	125047 г.Москва, 4-й Лесной переулок, д.6	Бюджетное	Общеобразовательное учреждение	Центр образования	(499) 250-23-03; (499) 251-24-06; (499) 251-50-00; (499) 251-39-95	http://coc1447.mskobr.ru/
8	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1682	127543 г. Москва, ул. Белозерская, д.7	Бюджетное	Общеобразовательное учреждение	Центр образования	(499) 206-64-77; (499) 206-45-50; (499) 206-82-00; (499) 206-82-01	http://www.co1682.svao.mskobr.ru
9	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1694 "Ясенево"	117593, г. Москва, Литовский бульвар, дом 11, корпус 6	Бюджетное	Общеобразовательное учреждение	Центр образования	426-77-88	http://co1694.ru
10	Государственное бюджетное образовательное учреждение города Москвы центр образования № 175	127006 г.Москва, Старопименовский пер., д.5	Бюджетное	Общеобразовательное учреждение	Центр образования	(495) 699-88-00; (495) 694-20-68	http://175school.ru
11	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1840	129110 г. Москва, Б. Переяславская ул., д.1, стр.1	Бюджетное	Общеобразовательное учреждение	Центр образования	680-08-44	http://1840.ru/
12	Государственное бюджетное образовательное учреждение города Москвы центр образования № 2030	123022 г.Москва, ул. 2-ая Звенигородская, д.8	Бюджетное	Общеобразовательное учреждение	Центр образования	205-79-57	http://2030.edu.ru
13	Государственное бюджетное образовательное учреждение города Москвы центр образования № 293	129301, г. Москва, ул. Ярославская, д. 27; ул. Касаткина д.1	Бюджетное	Общеобразовательное учреждение	Центр образования	(495) 683-45-70	http://co293.svao.mskobr.ru
14	Государственное бюджетное образовательное учреждение города Москвы центр образования № 951	127224 г. Москва, ул. Осташковская, д.30, корп. 2	Бюджетное	Общеобразовательное учреждение	Центр образования	(495) 475-09-00	http://www.co951.svao.mskobr.ru
15	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1444	129336 г.Москва, Анадырский проезд, дом 51	Бюджетное	Общеобразовательное учреждение	Центр образования	474-61-11	http://co1444.svao.mskobr.ru
16	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1449	127576, город Москва, улица Угличская, дом 6 А	Бюджетное	Общеобразовательное учреждение	Центр образования	400-62-90	http://co1449.svao.mskobr.ru
17	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1459	127273, г. Москва, ул. Отрадная, д. 11А	Бюджетное	Общеобразовательное учреждение	Центр образования	404-87-31	http://co1459.svao.mskobr.ru/
18	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1470	129164, г. Москва, ул. Маломосковская, д.7	Бюджетное	Общеобразовательное учреждение	Центр образования	(495) 683-11-16	http://со1470.svao.mskobr.ru
19	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1482	127081 г. Москва, ул. Заповедная, д. 12	Бюджетное	Общеобразовательное учреждение	Центр образования	(499) 477-34-59; (499) 477-54-43; (499) 477-04-60; (499) 477-62-50	http://www.co1482.svao.mskobr.ru
20	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1881	109369, г. Москва, ул. Перерва, дом 44	Бюджетное	Общеобразовательное учреждение	Центр образования	(495) 349-21-31; (495) 349-05-30; (495) 349-14-03	http://sch1881.uvuo.ru
