№ строки	Название_объекта	Адрес	Административный_округ	Коечный_фонд	Уровень_стационара	Руководитель	Контактный_телефон	Факс
1	Государственное  бюджетное учреждение здравоохранения города Москвы  «Городская клиническая больница № 57   Департамента здравоохранения города Москвы»	105077, Москва,  11-я Парковая ул., д.32	ВАО	1220.0	Базовый	Назарова Ирина Александровна	(495) 465-1553	(495) 465-9994
2	Государственное  бюджетное учреждение здравоохранения города Москвы  «Городская  клиническая больница № 59  Департамента здравоохранения города Москвы»	103030, Москва, ул. Достоевского, д.31	ЦАО	541.0	Вспомогательный	Бахитов Вячеслав Витальевич	(499) 978-6521	(499) 978-6528
3	Государственное бюджетное  учреждение здравоохранения города Москвы  «Городская клиническая больница № 60  Департамента здравоохранения города Москвы»	111123, Москва, ул. Новогиреевская, д.1	ВАО	900.0	Вспомогательный	Лукашев Александр Михайлович	(495) 304-2917	(495) 304-3163
4	Государственное бюджетное  учреждение здравоохранения города Москвы  «Городская клиническая больница № 61   Департамента здравоохранения города Москвы»	119048, Москва, ул. Доватора, д.15	ЦАО	551.0	Вспомогательный	Соболев Константин Эдуардович	(499) 246-9620	(499) 246-2726
5	Государственное бюджетное  учреждение здравоохранения города Москвы «Городская клиническая больница № 63  Департамента здравоохранения города Москвы»	129090, Москва, ул. Дурова, д.26	ЦАО	595.0	Вспомогательный	Свет Алексей Викторович	(495) 681-2066	(495) 688-9410
6	Государственное   бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 64  Департамента здравоохранения города Москвы»	117292, Москва, ул. Вавилова, д. 61	ЮЗАО	830.0	Базовый	Крапивин Андрей Александрович	(499) 134-6479	(499) 135-5126
7	Государственное бюджетное  учреждение здравоохранения города Москвы «Городская клиническая больница № 67  имени Л.А. Ворохобова Департамента здравоохранения города Москвы»	123154, Москва, ул. Саляма Адиля, д.2/44	СЗАО	1680.0	Базовый	Шкода Андрей Сергеевич	(499) 199-7956	(495) 530-3353
8	Государственное учреждение здравоохранения города Москвы Городская клиническая больница № 68   Департамента здравоохранения города Москвы	109263, Москва, ул. Шкулева, д.4	ЮВАО	1165.0	Базовый	Галь Игорь Геннадьевич	(499) 179-6622	(499) 178-8715
9	Государственное бюджетное  учреждение здравоохранения города Москвы «Городская клиническая больница № 70  Департамента здравоохранения города Москвы»	111399, Москва, Федеративный проспект, д.17	ВАО	924.0	Базовый	Сметнев Сергей Александрович	(495) 304-4216	(495) 303-9769
10	Государственное бюджетное учреждение здравоохранения города Москвы Научно-исследовательский институт скорой  помощи  им. Н. В. Склифосовского Департамента здравоохранения города Москвы	129010, Москва, Б. Сухаревская пл. д. 3	ЦАО	842.0	НИИ и НПЦ	Хубутия Могели Шалвович	(495) 628-3897	(495) 621-0812
11	Государственное  бюджетное   учреждение здравоохранения города Москвы «Центр патологии речи и нейрореабилитации  Департамента здравоохранения города Москвы»	109240, Москва, ул.  Николоямская, дом 20, стр.1	ЦАО	255.0	НИИ и НПЦ	Фукалов Юрий Александрович	698-0117	689-0082
12	Государственное бюджетное учреждение здравоохранения города Москвы «Научно-практический центр  интервенционной  кардиоангиологии Департамента здравоохранения города Москвы»	101000, Москва, Сверчков пер., д.5	ЦАО	200.0	НИИ и НПЦ	Иоселиани Давид Георгиевич	(495) 624-9636	(495) 624-6733
13	Государственное  бюджетное учреждение здравоохранения города Москвы Городская клиническая больница им. С.П. Боткина Департамента здравоохранения города Москвы	125284, Москва, 2-й Боткинский проезд, д.5	САО	2017.0	Базовый	Яковлев Владимир Николаевич	(495) 945-2616	(499) 762-6229
14	Государственное бюджетное  учреждение здравоохранения города Москвы «Городская клиническая больница № 1 им. Н. И. Пирогова Департамента здравоохранения города Москвы»	117049,  Москва,               ЦАО   Ленинский проспект, дом 8	ЦАО	1238.0	Базовый	Шабунин Алексей Васильевич	(499) 236-6069	(499) 236-6528
15	Государственное учреждение здравоохранения города Москвы Городская больница № 3  Департамента здравоохранения города Москвы	124489, Зеленоград, Каштановая аллея, дом 2, стр.1	ЗелАО	1250.0	Базовый	Голоусиков Иван Яковлевич	(499) 735-6429	(499) 735-3206
16	Государственное бюджетное  учреждение здравоохранения города Москвы «Городская клиническая больница № 4  Департамента здравоохранения города Москвы»	115093, Москва, ул. Павловская, д.25	ЮАО	930.0	Базовый	Алексеев Михаил Сергеевич	(499) 235-0443	952-6940
17	Государственное бюджетное  учреждение здравоохранения города Москвы «Городская клиническая больница № 6  Департамента здравоохранения города Москвы»	105066, Москва,  ул. Новая Басманная, д.26	ЦАО	560.0	Вспомогательный	Шапкин Николай Михайлович	(499) 261-0408	(499) 261-0409
18	Государственное  бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 7    Департамента здравоохранения города Москвы»	115446, Москва, Коломенский проезд, д.4	ЮАО	1520.0	Базовый	и.о. Татуева  Татьяна Васильевна	(499) 782-30-70	(499) 782-3192
19	Государственное бюджетное  учреждение здравоохранения города Москвы «Городская больница № 8   Департамента здравоохранения города Москвы»	127287, Москва, 4-й Вятский пер., д.39	САО	260.0	Вспомогательный	Дуленков  Андрей Борисович	(495) 613-4509	(495) 613-4359
20	Государственное  бюджетное  учреждение здравоохранения города Москвы  «Городская больница № 9   Департамента здравоохранения города Москвы»	105173, Москва,ул. Западная, д.2	ВАО	35.0	Вспомогательный	Дрошнев Вячеслав Михайлович	(499) 780-5117	(499) 780-5118
