№ строки	Название объекта	Адрес	Организационно-правовая форма	Тип учреждения	Вид учреждения	Номер телефона секретаря	Сайт
1	Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа VIII вида № 162 имени Героя Советского Союза Е.Г. Ларикова	125252, г. Москва, 2-я Песчаная ул., д.4 А	Бюджетное	Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья	Специальная (коррекционная) общеобразовательная школа	157-10-66	http://www.korschool162.babyhost.ru
2	Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа VIII  вида № 614	125239 г. Москва, ул. Михалковская, д. 15-А	Бюджетное	Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья	Специальная (коррекционная) общеобразовательная школа	(499) 154-60-61	http://shc614.koptevo.net
3	Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа I-II видов № 1406 "Центр на Павелецкой"	115035 Садовническая улица, д. 57а, стр.1	Бюджетное	Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья	Специальная (коррекционная) общеобразовательная школа	(495) 953-71-77; (495) 953-24-97	http://co1406.cao.mskobr.ru
4	Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа VIII вида № 567	117452 Черноморский бульвар, 8	Бюджетное	Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья	Специальная (коррекционная) общеобразовательная школа	(499) 610-19-30	http://sch567.edusite.ru/
5	Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа VIII вида № 359	101000 г. Москва, Армянский пер., д.3-5, стр.9	Бюджетное	Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья	Специальная (коррекционная) общеобразовательная школа	623-56-23	http://sites.google.com/site/359school
6	Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа VIII вида № 1111	117186, г. Москва, ул. Нагорная, дом 16	Бюджетное	Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья	Специальная (коррекционная) общеобразовательная школа	127-66-70	http://school1111.mosuzedu.ru
7	Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа VIII вида №486	109004 г.Москва, Товарищеский пер., д.3-5, стр.1	Казенное	Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья	Специальная (коррекционная) общеобразовательная школа	(495) 911-33-59	http://myschool486.narod.ru
8	Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная)общеобразовательная школа VIII вида №532	119017 г.Москва, ул.Пятницкая, д.46, стр.3	Бюджетное	Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья	Специальная (коррекционная) общеобразовательная школа	953-58-32	http://spsch532.cao.mskobr.ru
9	Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа VIII вида № 571	119361, г.Москва, ул. Б. Очаковская, д. 25	Бюджетное	Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья	Специальная (коррекционная) общеобразовательная школа	(095) 430-63-35	http://spsch571.mskzapad.ru
10	Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа VIII вида № 482	109390, г. Москва, 1-ая Текстильщиков ул., д. 5/8	Бюджетное	Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья	Специальная (коррекционная) общеобразовательная школа	(499) 178-78-96; (499) 178-02-16; (499) 178-01-81	http://school482.e-stile.ru
