№ строки	Название	Адрес	Организационно-правовая форма	Тип учреждения	Вид учреждения	Номер телефона секретаря	Сайт
1	Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка - детский сад № 2558	119261, г.Москва, Ленинский проспект, д. 76 А	Бюджетное	Дошкольное образовательное учреждение	Центр развития ребенка – детский сад	131-91-92	http://ds2558.ru/
2	Государственное бюджетное образовательное учреждение города Москвы дом юного техника	129337, г.Москва, Ярославское шоссе, д.2. к.2	Бюджетное	Образовательное учреждение дополнительного образования детей	Дом	(499) 188-78-44; (499) 183-39-91	http://www.goudut.ru
3	Государственное бюджетное образовательное учреждение города Москвы центр психолого-медико-социального сопровождения	124683, г. Москва, Зеленоград, корп. 1554	Бюджетное	Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи	Центр психолого-медико-социального сопровождения	(499) 738-50-20	http://www.cpmss.1gb.ru
4	Государственное бюджетное образовательное учреждение города Москвы центр развития творчества детей и юношества	109202, г. Москва, 2-ой Карачаровский проезд, д. 1/1	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр развития творчества детей и юношества	174-72-45	http://www.crtdiju.ru
5	Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа-интернат VIII вида № 108	119331, г. Москва, ул. Крупской, дом 9	Бюджетное	Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья	Специальная (коррекционная) общеобразовательная школа-интернат	138-53-29	http://int108.ru
6	Государственное бюджетное образовательное учреждение города Москвы "Московский дом научно-технического и художественного творчества обучающихся и студентов профессионального образования"	129110 г. Москва, ул.Щепкина, д.38, стр.1	Бюджетное	Структура управления образования	Центр (структуры управления образования)	(495) 684-45-84	http://www.md-ntxt.ru
7	Государственное бюджетное образовательное учреждение города Москвы дом детского творчества «Рублево»	121500 Набережная улица, 19	Бюджетное	Образовательное учреждение дополнительного образования детей	Дом детского творчества	(499) 727-10-85	http://ddt-rublevo.mskzapad.ru
8	Государственное бюджетное образовательное учреждение города Москвы детский центр технического творчества	109044 г. Москва, Лавров пер., д.9	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр	676-45-46	http://dcttm.ru
9	Государственное бюджетное образовательное учреждение города Москвы центр внешкольной работы "Синегория"	121359, г.Москва, ул. партизанская, д. 45	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр	(499) 141-01-41	http://cvr-sinegoriya.mskzapad.ru
10	Государственное бюджетное образовательное учреждение Московский городской детско-юношеский центр "Юный автомобилист"	111024 Энтузиастов шоссе, д. 16	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр	918-07-50	http://mgkua.narod.ru
