№ строки	Тип транспорта	Наименование проездного документа	Стоимость	Срок действия
1	Метрополитен, Монорельс	Билет. Не более 1 поездки  	28.0	5 дней, включая день продажи
2	Метрополитен, Монорельс	Билет. Не более 2 поездок	56.0	5 дней, включая день продажи
3	Метрополитен, Монорельс	Билет. На провоз не более 1 места багажа	28.0	5 дней, включая день продажи
4	Метрополитен, Монорельс	Билет. Не более 1 поездки и провоза 1 места багажа 	56.0	5 дней, включая день продажи
5	Метрополитен, Монорельс	Билет. Не более 5 поездок	135.0	45 дней, включая день продажи
6	Метрополитен, Монорельс	Билет. Не более 10 поездок	265.0	45 дней, включая день продажи
7	Метрополитен, Монорельс	Билет. Не более 20 поездок	520.0	45 дней, включая день продажи
8	Метрополитен, Монорельс	Билет. Не более 60 поездок	1245.0	45 дней, включая день продажи
9	Метрополитен, Монорельс	Билет. Не более 70 поездок на метрополитене 	1230.0	Календарный месяц
10	Метрополитен, Монорельс	Билет. Единый билет на 4 вида транспорта, но не более 70 поездок на метрополитене 	2380.0	Календарный месяц
11	Метрополитен, Монорельс	Билет. Льготный для учащихся общеобразовательных учреждений и учреждений начального профессионального образования, студентов учреждений среднего и высшего  профессионального образования, имеющих право на льготы по оплате проезда     	350.0	Календарный месяц
12	Метрополитен, Монорельс	Билет. На 30 дней	1710.0	30 дней, включая день продажи
13	Метрополитен, Монорельс	Билет. На 90 дней	3485.0	90 дней, включая день продажи
14	Метрополитен, Монорельс	Билет. На 365 дней	11430.0	365 дней, включая день продажи
15	Метрополитен, Монорельс	Банковская карта. 1 поездка в течение календарного месяца	28.0	Период действия банковской карты с транспортным приложением
16	Метрополитен, Монорельс	Банковская карта. 2 поездки в течение календарного месяца	56.0	Период действия банковской карты с транспортным приложением
17	Метрополитен, Монорельс	Банковская карта. 3 поездки в течение календарного месяца	82.33	Период действия банковской карты с транспортным приложением
18	Метрополитен, Монорельс	Банковская карта. 4 поездки в течение календарного месяца	108.67	Период действия банковской карты с транспортным приложением
19	Метрополитен, Монорельс	Банковская карта. 5 поездок в течение календарного месяца	135.0	Период действия банковской карты с транспортным приложением
20	Метрополитен, Монорельс	Банковская карта. 6 поездок в течение календарного месяца	161.0	Период действия банковской карты с транспортным приложением
21	Метрополитен, Монорельс	Банковская карта. 7 поездок в течение календарного месяца	187.0	Период действия банковской карты с транспортным приложением
22	Метрополитен, Монорельс	Банковская карта. 8 поездок в течение календарного месяца	213.0	Период действия банковской карты с транспортным приложением
23	Метрополитен, Монорельс	Банковская карта. 9 поездок в течение календарного месяца	239.0	Период действия банковской карты с транспортным приложением
24	Метрополитен, Монорельс	Банковская карта. 10 поездок в течение календарного месяца	265.0	Период действия банковской карты с транспортным приложением
25	Метрополитен, Монорельс	Банковская карта. 11 поездок в течение календарного месяца	290.5	Период действия банковской карты с транспортным приложением
26	Метрополитен, Монорельс	Банковская карта. 12 поездок в течение календарного месяца	316.0	Период действия банковской карты с транспортным приложением
27	Метрополитен, Монорельс	Банковская карта. 13 поездок в течение календарного месяца	341.5	Период действия банковской карты с транспортным приложением
28	Метрополитен, Монорельс	Банковская карта. 14 поездок в течение календарного месяца	367.0	Период действия банковской карты с транспортным приложением
29	Метрополитен, Монорельс	Банковская карта. 15 поездок в течение календарного месяца	392.5	Период действия банковской карты с транспортным приложением
30	Метрополитен, Монорельс	Банковская карта. 16 поездок в течение календарного месяца	418.0	Период действия банковской карты с транспортным приложением
31	Метрополитен, Монорельс	Банковская карта. 17 поездок в течение календарного месяца	443.5	Период действия банковской карты с транспортным приложением
32	Метрополитен, Монорельс	Банковская карта. 18 поездок в течение календарного месяца	469.0	Период действия банковской карты с транспортным приложением
33	Метрополитен, Монорельс	Банковская карта. 19 поездок в течение календарного месяца	494.5	Период действия банковской карты с транспортным приложением
34	Метрополитен, Монорельс	Банковская карта. 20 поездок в течение календарного месяца	520.0	Период действия банковской карты с транспортным приложением
35	Метрополитен, Монорельс	Банковская карта. 21 поездка в течение календарного месяца	538.13	Период действия банковской карты с транспортным приложением
36	Метрополитен, Монорельс	Банковская карта. 22 поездки в течение календарного месяца	556.25	Период действия банковской карты с транспортным приложением
37	Метрополитен, Монорельс	Банковская карта. 23 поездки в течение календарного месяца	574.38	Период действия банковской карты с транспортным приложением
38	Метрополитен, Монорельс	Банковская карта. 24 поездки в течение календарного месяца	592.5	Период действия банковской карты с транспортным приложением
39	Метрополитен, Монорельс	Банковская карта. 25 поездок в течение календарного месяца	610.63	Период действия банковской карты с транспортным приложением
40	Метрополитен, Монорельс	Банковская карта. 26 поездок в течение календарного месяца	628.75	Период действия банковской карты с транспортным приложением
41	Метрополитен, Монорельс	Банковская карта. 27 поездок в течение календарного месяца	646.88	Период действия банковской карты с транспортным приложением
42	Метрополитен, Монорельс	Банковская карта. 28 поездок в течение календарного месяца	665.0	Период действия банковской карты с транспортным приложением
