№ строки	Дата формирования статистики	Общее количество зафиксированных нарушений	Общее количество нарушений по скорости	Общее количесво нарушений по полосе общественного транспорта	Общее количесво нарушений по пропускам ТТК	Общее количесво нарушений по парковке	Общее количесво оформленных нарушений	Общее количесво оформленных нарушений по скорости	Общее количесво оформленных нарушений по полосе общественного транспорта	Общее количество оформленных нарушений по пропускам ТТК	Общее количество оформленных нарушений по парковке
1	2013-01-01T00:00:00.000+03:00	8996	8257	0	0	541	2768	2743	0	0	25
2	2013-01-02T00:00:00.000+03:00	14693	12822	0	0	1463	5204	4848	0	0	356
3	2013-01-03T00:00:00.000+03:00	5599	3712	0	0	1602	1399	1117	0	0	282
4	2013-01-04T00:00:00.000+03:00	10920	8851	0	0	1556	3857	3706	0	0	151
5	2013-01-05T00:00:00.000+03:00	7960	5972	0	0	1542	4043	3620	0	0	423
6	2013-01-06T00:00:00.000+03:00	3875	1800	0	0	1735	1545	1151	0	0	394
7	2013-01-07T00:00:00.000+03:00	4422	2675	0	0	1477	1092	928	0	0	164
8	2013-01-08T00:00:00.000+03:00	5686	3812	1	0	1433	2492	2412	0	0	80
9	2013-01-09T00:00:00.000+03:00	26717	3844	17503	0	4671	3194	1993	675	0	1201
10	2013-01-10T00:00:00.000+03:00	29551	3869	17984	0	6668	6027	2683	1327	0	2017
11	2013-01-11T00:00:00.000+03:00	31955	3911	20010	0	6971	4828	2010	279	0	2539
12	2013-01-12T00:00:00.000+03:00	5766	3210	0	0	2080	2806	1641	0	0	490
13	2013-01-13T00:00:00.000+03:00	6648	4749	0	0	1556	3050	2783	0	0	267
14	2013-01-14T00:00:00.000+03:00	24502	1890	14297	0	7603	2537	1334	0	0	1203
15	2013-01-15T00:00:00.000+03:00	24438	1254	15391	0	7151	6232	844	1498	0	3890
16	2013-01-16T00:00:00.000+03:00	23179	465	17856	0	4009	1529	327	278	0	924
17	2013-01-17T00:00:00.000+03:00	25206	569	18097	0	5663	2747	379	419	0	1949
18	2013-01-18T00:00:00.000+03:00	20646	159	16556	0	2881	971	150	79	0	742
19	2013-01-19T00:00:00.000+03:00	4226	1719	0	0	1628	1628	1267	0	0	361
20	2013-01-20T00:00:00.000+03:00	5374	2953	0	0	1789	2440	2105	0	0	335
21	2013-01-21T00:00:00.000+03:00	25312	560	18851	0	4709	1551	317	50	0	1184
22	2013-01-22T00:00:00.000+03:00	29132	1153	20724	0	5976	2672	659	609	0	1404
23	2013-01-23T00:00:00.000+03:00	27909	1489	18786	0	6380	4061	1031	1064	0	1966
24	2013-01-24T00:00:00.000+03:00	29952	1239	19982	0	7436	2952	561	534	0	1857
25	2013-01-25T00:00:00.000+03:00	29735	1785	20167	0	6535	2165	606	184	0	1375
26	2013-01-26T00:00:00.000+03:00	7371	3671	0	0	2786	3007	2502	0	0	195
27	2013-01-27T00:00:00.000+03:00	11152	7869	0	0	2543	5489	5134	0	0	355
28	2013-01-28T00:00:00.000+03:00	35346	3538	22068	0	8257	3018	1948	310	0	1070
29	2013-01-29T00:00:00.000+03:00	28768	684	19071	0	7663	2535	252	1346	0	937
30	2013-01-30T00:00:00.000+03:00	30836	1704	20051	0	7765	2236	990	320	0	926
31	2013-01-31T00:00:00.000+03:00	16344	1146	6650	0	7743	3218	759	220	0	2239
