№ строки	Название рынка	Адрес	Административный округ	Район	Организационно-правовая форма	Управляющая компания	Юридический адрес управляющей компании	Вид рынка	Режим работы
1	Солневский	ул. Щорса, вл. 5Б	ЗАО	Солнцево	ООО	«Сигма-ХХI век»	121165 г. Москва, ул. Студенческая, д.31, стр. 1	Специализированный (Сельскохозяйственный)	с 8-00-19-00 час.
2	Альмирал	проспект Вернадского, в районе станции метро «Юго-Западная»	ЗАО	Тропарево-Никулино	ООО	Предприятие «Альмирал»	119571 г. Москва, проспект Вернадского, д. 86Б, стр. 1	Специализированный (Сельскохозяйственный)	с 8-00-19-00 час.
3	На холмах	Осенний бульвар, вл.12	ЗАО	Крылатское	ООО	"На Холмах"	121609, г.Москва, Осенний бульвар, вл.12	Универсальный	не работает
4	ТК Матвеевский	Матвеевская ул., напротив вл.2	ЗАО	Очаково-Матвеевское	ООО	Торговый комплекс "Гесплей"	117602, г.Москва, Мичуринский проспект д.4,кор.2	Специализированный (Сельскохозяйственный)	с 9-00-19-00 час.
5	Куркинский	МКАД 73 км, вл. 7, кор. 1	СЗАО	Куркино	ООО	"Аланис"	МКАД 73 км, вл. 7, кор. 1	Специализированный (сельскохозяйственный)	с 9-00 до 21-00 час.
6	Зеленоградский	Зеленоград, Крюковская площадь	Зел	Панфиловский	ООО	«Зеленоградский рынок»	124681 г.Москва, Зеленоград, ул.Ленина, д. 1	Специализированный (Сельскохозяйственный)	с 8-00 до 18-00 час.
7	Зеленоградская упр. Компания	Зеленоград, Крюковская площадь	Зел	Панфиловский	ЗАО	«Зеленоградская управляющая компания»	124365 г.Москва, Зеленоград, корп.1649, к.Н.П.4/2	Специализированный (Сельскохозяйственный)	с 8-00-18-00 час
8	Зеленоградский рынок с ТЦ	Зеленоград, Крюковская площадь	Зел	Панфиловский	ООО	«Зеленоградский рынок с торговым центром»	124527 г.Москва, Зеленоград, корп. 1003, к.4, ГУП РЭУ-8	Специализированный (сельскозозяйственный)	с 8-00 час до 18-00 час.
9	Магазин Ценральный	Троицк, Октябрьский пр-т, д.16	Троицкий	Троицк	МУП	Магазин "Центральный"	142190 г.Москва, Троицк, пл. Академика Верещагина, д.1	Универсальный	с 9-00 до 19-00 час.
10	ТК Саларьево	Поселение Сосенское, Хованская промзона, земельный участок № 96/1	Новомосковский	Поселение Сосенское	ООО	Торговый комплекс "Соларьево"	142770 г.Москва, Ленинский район, дер. Николо-Хованское, зем.уч. № 96/1	Универсальный	с 6-00 до 14-00 будни, с 8-00 до 16-00 выхлдные
11	Автомастер	Поселение Московский, дер. Саларьево	Новомосковский	Поселение Московский	ООО	"Автогранд"	142784 г.Москва, Ленинский район, дер.Дудкино, торговый комплекс "Строймастер", офис К№Ф9	Специализированный (Автозапчасти)	с 8-00-до 18-00 час
12	Преображенский	ул. Преображенский Вал, вл. 17	ВАО	Преображенское	Унитарное предприятие	«Преображенский рынок»	107061 г.Москва, ул. Преображенский Вал, д.17	Специализированный (Сельскохозяйственный)	с 8-00-19-00 час.
13	Измайловский	ул. 3-я Парковая, вл. 24	ВАО	Измайлово	ЗАО	«Измайловский комплекс»	123001 г.Москва, Ермолаевский переулок, д. 22-26, стр. 1	Специализированный (Сельскохозяйственный)	с 9-00-19-00 час.
14	Жулебино	МКАД, 8 км, МКАД, 8-9 км	ЮВАО	Выхино-Жулебино	ЗАО	Коммерческо-финансовая компания «ТАМП»	109377 г.Москва, ул. Академика Скрябина, д. 14, корп. 1.	Специализированный (Сельскохозяйственный)	с 4-30 до 16 час.
15	Садовод	МКАД 14 км (внутренняя сторона), здание 2	ЮВАО	Капотня	ОАО	«Оптово-розничный рынок «Садовод»	109429 г.Москва, МКАД 14 км (внутренняя сторона), здание 2	Универсальный	с 9-00-18-00 час.
16	Овощной рынок	ул. Зеленодольская, вл. 40	ЮВАО	Кузьминки	ООО	УК «ТЭН-Делопмент»	109377, г. Москва, Рязанский проспект, д. 32, к. 2	Специализированный (Сельскохозяйственный)	с 8-00-19-00 час.
17	Афганец	ул. Зеленодольская, вл. 42	ЮВАО	Кузьминки	ООО	«АФГАНЕЦ»	109462, г. Москва, ул. Зеленодольская, вл. 42	Специализированный (Сельскохозяйственный)	с 9-00-19. час.
18	Лефортовский	ул. Авиамоторная, вл. 39	ЮВАО	Лефортово	ОАО	«Лефортовский рынок»	111024 г.Москва, ул. Авиамоторная, д. 39	Специализированный (Сельскохозяйственный)	с 8-00-20-00 час.
19	ТК Барс-2	Новочеркасский бульвар, вл. 5а	ЮВАО	Марьино	ООО	«Барс-2»	140011 Московская область, Люберецкий район, г.Люберцы, ул. Шоссейная, д.2	Специализированный (Сельскохозяйственный)	с 9-00 - 19-00 час.
20	ТК Печатники	ул.Шоссейная, вл. 1	ЮВАО	Печатники	ЗАО	«Фирма «БЛИК»	109004 г.Москва, Тетеринский пер., д. 4/8, стр.2	Специализированный (Сельскохозяйственный)	с 9-00-19-00 час.
21	ярмарка на Люблинской	ул. Люблинская, вл. 16-18	ЮВАО	Текстильщики	ООО	«Объединение  АВЕЛ-ЦЕНТР»	109390 г.Москва, ул. Люблинская, вл. 16-18	Специализированный (Сельскохозяйственный)	с 9-00-17-00 час.
22	Люблинский	ул. Люблинская, вл. 10-12	ЮВАО	Текстильщики	Унитарное предприятие	«ЛЮБЛИНСКИЙ РЫНОК»	109390 г.Москва, ул. Люблинская, д. 10-12	Специализированный (Сельскохозяйственный)	с 8-00-20-00 час.
23	Велозаводский	ул. Велозаводская, вл. 13	ЮВАО	Южнопортовый	ОАО	«Велозаводский рынок»	115280 г.Москва, ул. Велозаводская, д. 13	Специализированный (Сельскохозяйственный)	с 8-00-20-00 час.
24	Даниловский	ул. Мытная, вл.74 (д.74)	ЮАО	Даниловский	ОАО	«Даниловский рынок»	115191  г. Москва, ул. Мытная, д.74	Специализированный (Сельскохозяйственный)	с 8-00-20-00 час.
25	Москворецкий	Симферопольский бульвар, вл.11/12	ЮАО	Нагорный	ООО	«Москворецкий  рынок»	117556  г. Москва, Симферопольский бульвар, д.11/12	Специализированный (Сельскохозяйственный)	с 8-00-19-00 час.
