name,chief_position,chief_name,website,address
СИЗО №1,Начальник, Клочек Владимир Леонидович,http://www.сизо-матросска.рф/,"107076, г. Москва, ул. Матросская тишина, д.18"
СИЗО №2 ,Начальник, Телятников Сергей Вениаминович,http://www.butyrka-sizo.ru/ ,"127055, г. Москва, ул. Новослободская д. 45 "
СИЗО №3 ,Начальник, Комнов Дмитрий Викторович,http://www.sizo3-moscow.ru,"123308, г. Москва, 1-й Силикатный проезд, д. 11 "
СИЗО №4 ,Начальник, Хорев Алексей Александрович,http://www.sizo-medvedkovo.ru/ ,"129081, г. Москва, ул. Вилюйская, д. 4 "
СИЗО №5 ,Начальник, Ведышев Роберт Васильевич,http://www.sizo-vodnik.ru/ ,"125130, г. Москва, ул. Выборгская, 20 "
СИЗО №6 ,Начальник, Кириллова Татьяна Владимировна,в стадии разработки,"109383, г. Москва, ул. Шоссейная, д. 92 "
СИЗО №7 ,Начальник, Машкин Владимир Александрович,в стадии разработки,"109382, г. Москва, ул. Верхние поля, д. 57 "
ОСН Сатурн ,Начальник, Николаев Борис Владимирович ,http://osnsaturn.ru/ ,"125130, г. Москва, ул. Нарвская, д. 15а "
Управление по конвоированию,Начальник, Архипов Андрей Александрович ,в стадии разработки,"109380, Москва, ул. Чагинская д. 12"
Управление по охране ГНЦ им. В.П. Сербского,И.о. начальника, Ковалев Андрей Владимирович ,в стадии разработки,"119992, Москва, Кропоткинский пер. д. 23"
