Реестровый номер,Фамилия,Имя,Отчество,Присвоение статуса Реквизиты решения о присвоении статуса адвоката,Реквизиты распоряжения территориального органа Минюста России о внесении сведений об адвокате в реестр,Приостановление статуса Реквизиты решения совета адвокатской палаты о приостоновлении статуса адвоката,Реквизиты распоряжения территориального органа Минюста России о внесении  в реестр сведений о приостоновлении статуса адвоката,Возобновление статуса Реквизиты решения совета адвокатской палаты о возобновлении статуса адвоката,Реквизиты распоряжения территориального органа Минюста России о внесении  в реестр сведений о возобновлении,Прекращение статуса Реквизиты решения совета адвокатской палаты о прекращении статуса адвоката,Реквизиты распоряжения территориального органа Минюста России о внесении  в реестр сведений о прекращении статуса,Исключение сведений об адвокате из реестра Реквизиты уведомления совета адвокатской палаты,Реквизиты распоряжения территориального органа Минюста России об исключении сведений об адвокате,Внесение изменений Содержание изменений,Реквизиты распоряжения территориального органа Минюста России о внесении в реестр изменений,Column,Column2,Column3
77/1,Мирзоев,Гасан,Борисович,№ от 08.11.1993,№1109-а от 10.09.2002,№72 от 18.03.2003 ,№39-а от 01.04.2003          ,№1370 от 23.11.2003 ,№01-а от 08.01.2004 ,,,,,,,,приост.ст.,
77/2,Игонин,Владимир,Сергеевич,№ от 14.04.1998,№1121-а от 10.09.2002,,,,,,,,,,,,МЮЦ,
77/3,Клен,Николай,Наумович,№ от 01.07.1982,№4754-а от 24.09.2002,,,,,,,,,,,,МРКА,
77/4,Резник,Генри,Маркович,№ от 03.09.1985,№5128-а от 26.09.2002,,,,,,,,,,,,"АБ ""Рез., Гаг., Абуш.и парт.""",
77/5,Залманов,Валерий,Яковлевич,№ от 30.05.1995,№3506-а от 23.09.2002,,,,,,,,,,,,Межтеррит.КА,
77/6,Фомичев,Михаил,Юрьевич,№ от 27.02.1995,№839-а от 09.09.2002,,,,,,,,,,,,"МКА ""Защита""",
77/7,Кривошеев,Сергей,Алексеевич,№ от 15.06.1995,№4944-а от 24.09.2002,,,,,,,,,,,,Межрег.КА,
77/8,Каплунова,Эсфирь,Самуиловна,№ от 13.06.1947,№5169-а от 26.09.2002,,,,,№225 от 29.04.2005 ,№94-а от 08.05.2003 ,,,,,прекращен ст.,,
77/9,Яхнис,Израиль,Шаевич,№ от 31.07.1947,№753-а от 06.09.2002,,,,,№20 от 03.11.2003 ,№340-а от 24.11.2003 ,,,,,прекращен ст.,,
77/10,Поляков,Игорь,Алексеевич,№ от 27.02.1995,№3839-а от 24.09.2002,,,,,,,,,,,,"МКА ""Защита""",
77/11,Мочалова,Надежда,Ивановна,№ от 12.11.1948,№4296-а от 24.09.2002,,,,,№8 от 16.08.2005 ,№168-а от 29.08.2005 ,,,,,прекр.ст.,МГКА,
77/12,Шульруфер,Меер,Шмульевич,№ от 17.06.1949,№779-а от 06.09.2002,,,,,,,,,,,,"МКА ""Каганер и партнеры""",
77/13,Падва,Генрих,Павлович,№ от 07.12.1971,№4226-а от 24.09.2002,,,,,,,,,,,,"АБ ""Падва и партнеры""",
77/14,Осокина,Раиса,Петровна,№ от 13.01.1950,№4331-а от 24.09.2002,,,,,№988 от 02.06.2004 ,№127-а от 10.06.2004 ,,,,,прекращен ст.,,СКА прав.пом.в/с
77/15,Тихомирова,Любовь,Александровна,№ от 27.01.1950,№4438-а от 24.09.2002,,,,,№3 от 25.02.2004 ,№61-а от 18.03.2004 ,,,,,прекращен ст.,,
77/16,Тихонова,Евгения,Варфоломеевна,№ от 29.07.1952,№4438-а от 24.09.2002,,,,,№1 от 30.01.2008 ,№25-а от 15.02.2008 ,,,,,прекр.ст.,МГКА,
77/17,Шафир,Мотя,Фателевич,№ от 16.09.1952,№4352-а от 24.09.2002,,,,,№1533 от 27.05.2010 ,№145-а от 04.06.2010 ,,,,,прекр.ст.,МГКА,
77/18,Владимирова,Зинаида,Васильевна,№ от 27.02.1953,№4332-а от 24.09.2002,,,,,,,,,,,,МГКА,
77/19,Седова-Шмелева,Лидия,Михайловна,№ от 09.03.1954,№1633-а от 12.09.2002,,,,,№4 от 25.03.2004 ,№83-а от 07.04.2004 ,,,,,прекращен ст.,,
77/20,Воскресенский,Георгий,Алексеевич,№ от 05.07.1955,№5129-а от 26.09.2002,,,,,,,,,,,,МГКА,
77/21,Гриншпун,Семен,Григорьевич,№ от 27.03.1956,№647-а от 05.09.2002,,,,,№1533 от 27.05.2010 ,№144-а от 04.06.2010 ,,,,,прекращен ст.,МГКА,
77/22,Финкельс,Марина,Ильинична,№ от 05.06.1956,№687-а от 05.09.2002,,,,,№5 от 20.05.2009 ,№188-а от 04.06.2009 ,,,,,прекращен ст.,МГКА,
77/23,Челяпов,Юрий,Леонидович,№ от 04.09.1956,№744-а от 06.09.2002,,,,,№20 от 03.11.2003 ,№340-а от 24.11.2003 ,,,,,прекращен ст.,,Межотраслевая КА
77/24,Моссаковский,Вольдемар,Владиславович,№ от 23.10.1956,№4296-а от 24.09.2002,,,,,№5 от 24.05.2007 ,№102-а от 06.06.2007 ,,,,,,МГКА,
77/25,Сухарева,Цицилия,Израилевна,№ от 27.11.1956,№1365-а от 11.09.2002,,,,,№10 от 12.08.2004 ,№255-а от 07.08.2004 ,,,,,прекращен ст.,МГКА,
77/26,Витюгов,Арнольд,Дмитриевич,№ от 19.03.1957,№4332-а от 24.09.2002,,,,,,,,,,,,МГКА,
77/27,Еронина,Наталья,Александровна,№ от 02.07.1957,№1393-а от 11.09.2002,,,,,,,,,,,,"КА ""Прав.политика""",
77/28,Стескович,Свира,Михайловна,№ от 02.07.1957,№4325-а от 24.09.2002,,,,,,,,,,,,МГКА,
77/29,Газер,Марианна,Михайловна,№ от 24.12.1957,№347-а от 16.08.2002,,,,,№6 от 14.06.2006 ,№129-а от 22.06.2006 ,,,,,прекращен ст.,МГКА,
77/30,Нейштадт,Майя,Теодоровна,№ от 13.11.1959,№4330-а от 24.09.2002,,,,,№11 от 20.11.2007 ,№213-а от 06.12.2007 ,,,,,прекр.ст.,МГКА,1-я ГКА
77/31,Семенов,Александр,Павлович,№ от 31.03.1961,№1630-а от 12.09.2002,,,,,,,,,,,прекращен ст.,,ГКА
77/32,Бобылева,Валентина,Сергеевна,№ от 23.02.1994,№262-а от 08.08.2002,,,,,№106 от 16.07.2009 ,№252-а от 10.08.2009 ,,,,,прекращен ст.,"Межд.КА ""Москва""",
77/33,Осипов,Валерий,Валериевич,№ от 23.02.2000,№5565-а от 15.10.2002,,,,,,,,,,,,кабинет,"КА ""МКА №27"""
77/34,Яковлева,Маргарита,Владимировна,№ от 17.08.2000,№5566-а от 15.10.2002,,,,,,,,,,,,кабинет,
77/35,Кузин,Виктор,Александрович,№ от 16.01.1995,№5567-а от 15.10.2002,,,,,,,,,,,,кабинет,
77/36,Коршунов,Александр,Федорович,№ от 16.01.1995,№5568-а от 15.10.2002,,,,,,,,,,,,кабинет,
77/37,Джиенбаев,Сергей,Нуржанович,№ от 20.06.2002 ,№5191-а от 26.09.2002,,,,,№1 от 27.01.2011 ,№22-а от 07.02.2011 ,,,,,,"КА ""Коллеги""",
77/38,Сидорова,Татьяна,Александровна,№ от 13.10.1992,№5560-а от 15.10.2002,,,,,,,,,,,,"МКА ""Единство""",
77/39,Хациев,Ломан,Ибрагимович,№ от 19.10.2000,№5493-а от 27.09.2002,,,,,№10 от 12.08.2004 ,№254-а от 07.09.2004 ,,,,,прекращен ст.,"АБ ""Эффект""",
77/40,Козлов,Вадим,Вадимович,№ от 27.10.1996,№4239-а от 24.09.2002,,,,,,,,,,,,кабинет,
77/41,Иванова,Вера,Леонидовна,№ от 16.12.1996,№4237-а от 24.09.2002,,,,,,,,,,,,"АБ ""Паритет""","МКА ""Закон и человек"""
77/42,Лопато,Анатолий,Георгиевич,№ от 21.07.1997,№4236-а от 24.09.2002,,,,,,,,,,,,кабинет,
77/43,Привалова,Марина,Александровна,№ от 24.04.2002,№4240-а от 24.09.2002,,,,,,,,,,,,"МКА ""Межрегион""",
77/44,Калашников,Анатолий,Иванович,№ от 16.11.2000,№3339-а от 23.09.2002,,,,,,,,,,,,МЮЦ,
