areaid,areaname,orgname,fieldtype,value,value_descr
100,Район Зябликово,Управление «Мосгортоп»,address,"Москва, Можайское шоссе, дом 3",
100,Район Зябликово,Управление «Мосгортоп»,workdays,8:00-16:00,понедельник-четверг
100,Район Зябликово,Управление «Мосгортоп»,workdays,8:00-15:00,пятница
100,Район Зябликово,Управление «Мосгортоп»,phone,8 495 287-96-11,начальник Управления
100,Район Зябликово,Управление «Мосгортоп»,phone,8 495 444-15-29,ведущий экономист
100,Район Зябликово,Управление «Мосгортоп»,url,http://www.mos-gaz.ru/contacts/territory/4301/,
100,Район Зябликово,Управление ГВСД и ГРС,address,"105064 Москва, Нижне-Сусальный пер., дом 5",
100,Район Зябликово,Управление ГВСД и ГРС,workdays,14:00-16:00,"вторник, четверг"
100,Район Зябликово,Управление ГВСД и ГРС,phone,8 (499) 261-88-83,
100,Район Зябликово,Управление ГВСД и ГРС,phone,8 (499) 267-55-46,
100,Район Зябликово,Управление ГВСД и ГРС,phone,8 (495) 917-74-38,факс
100,Район Зябликово,Управление ГВСД и ГРС,phone,8 (499) 267-58-73,
100,Район Зябликово,Управление ГВСД и ГРС,url,http://www.mos-gaz.ru/contacts/territory/4300/,
100,Район Зябликово,Управление аварийно-восстановительных работ,address,"105120 г. Москва, Мрузовский пер., 11  ",
100,Район Зябликово,Управление аварийно-восстановительных работ,workdays,15:00-17:00,понедельник
100,Район Зябликово,Управление аварийно-восстановительных работ,phone,8 (495) 621-51-57,руководитель
100,Район Зябликово,Управление аварийно-восстановительных работ,phone,8 (495) 917-79-54,
100,Район Зябликово,Управление аварийно-восстановительных работ,phone,8 (495) 621-51-57,заказ пропуска
100,Район Зябликово,Управление аварийно-восстановительных работ,url,http://www.mos-gaz.ru/contacts/territory/4299/,
100,Район Зябликово,Управление по реализации газа,address,"Мрузовский пер.,11  ",
100,Район Зябликово,Управление по реализации газа,workdays,"8:00-12:00, 12:45-16:30",понедельник-четверг
100,Район Зябликово,Управление по реализации газа,workdays,"8:00-12:00, 12:45-15:30",пятница
100,Район Зябликово,Управление по реализации газа,phone,8 (495) 916-59-53,тел (Группа по работе с договорами)
100,Район Зябликово,Управление по реализации газа,phone,8 (495) 917-50-12,факс (Группа по работе с договорами)
100,Район Зябликово,Управление по реализации газа,phone,8 (499) 261-18-88,(Группа по работе с населением)
100,Район Зябликово,Управление по реализации газа,phone,8 (495) 917-50-12,факс (Группа по работе с населением)
100,Район Зябликово,Управление по реализации газа,url,http://www.mos-gaz.ru/contacts/territory/4298/,
100,Район Зябликово,Управление технического надзора,address,"105120, г.Москва, Мрузовский пер., 11",
100,Район Зябликово,Управление технического надзора,workdays,"8:30-12:00, 13:00-17:30",понедельник-четверг
100,Район Зябликово,Управление технического надзора,workdays,"8:30-12:00, 13:00-16:15",пятница
100,Район Зябликово,Управление технического надзора,phone,8 (495) 917-51-81,руководитель
100,Район Зябликово,Управление технического надзора,phone,8 (499) 267-90-16,заместитель
100,Район Зябликово,Управление технического надзора,phone,8 (495) 917-54-38,Прием документации и оформление договоров
100,Район Зябликово,Управление технического надзора,phone,8 (499) 263-11-00,(лаборатория)
100,Район Зябликово,Управление технического надзора,phone,8 (499) 267-62-89,факс (лаборатория)
100,Район Зябликово,Управление технического надзора,url,http://www.mos-gaz.ru/contacts/territory/4297/,
100,Район Зябликово,Управление по защите газовых сетей от коррозии,address,"105064 г. Москва, Нижний Сусальный переулок, д. 5",
100,Район Зябликово,Управление по защите газовых сетей от коррозии,workdays,с 14-00 до17-30  ,"вторник, четверг"
100,Район Зябликово,Управление по защите газовых сетей от коррозии,chiefname,Н.Ф.Гуриненко,
100,Район Зябликово,Управление по защите газовых сетей от коррозии,phone,8 (499) 267-90-25,Телефон / факс
100,Район Зябликово,Управление по защите газовых сетей от коррозии,url,http://www.mos-gaz.ru/contacts/territory/4296/,
100,Район Зябликово,Управление врезок и присоединений газопроводов,address,"123103, г. Москва, ул. Паршина, д. 6, корп. 2",
100,Район Зябликово,Управление врезок и присоединений газопроводов,phone,8 (495) 947-01-91,телефон-факс
100,Район Зябликово,Управление врезок и присоединений газопроводов,phone,8 (495) 947-02-38,телефон ПТО
100,Район Зябликово,Управление врезок и присоединений газопроводов,url,http://www.mos-gaz.ru/contacts/territory/4295/,
100,Район Зябликово,Управление реконструкции и капремонта внутридомовых систем газоснабжения,address,"Москва, Новая Переведеновская улица, дом 4",
100,Район Зябликово,Управление реконструкции и капремонта внутридомовых систем газоснабжения,phone,8 (499) 261-19-27,Телефоны
100,Район Зябликово,Управление реконструкции и капремонта внутридомовых систем газоснабжения,phone,8 (499) 261-69-21,
100,Район Зябликово,Управление реконструкции и капремонта внутридомовых систем газоснабжения,url,http://www.mos-gaz.ru/contacts/territory/4294/,
100,Район Зябликово,Управление по эксплуатации внутридомового газового оборудования,phone,8 (495) 917-17-50,по внутридомовым системам газоснабжения
100,Район Зябликово,Управление по эксплуатации внутридомового газового оборудования,phone,8 (495) 917-04-12 ,по наружным газопроводам 
100,Район Зябликово,Управление по эксплуатации внутридомового газового оборудования,url,http://www.mos-gaz.ru/contacts/territory/4293/,
100,Район Зябликово,Управление по эксплуатации газового хозяйства,address,"105120 г. Москва, Мрузовский пер., 11.",
100,Район Зябликово,Управление по эксплуатации газового хозяйства,phone,8 (495) 917-17-50,по внутридомовым системам газоснабжения
100,Район Зябликово,Управление по эксплуатации газового хозяйства,phone,8 (495) 917-04-12 ,по наружным газопроводам 
100,Район Зябликово,Управление по эксплуатации газового хозяйства,url,http://www.mos-gaz.ru/contacts/territory/4292/,
100,Район Зябликово,Управление «Моспромгаз»,address,125212 г. Москва Головинское шоссе  дом 10-Г,
100,Район Зябликово,Управление «Моспромгаз»,workdays,с 8-00 до 17-00,Понедельник-четверг
100,Район Зябликово,Управление «Моспромгаз»,workdays,с 8-00 до 15-45,Пятница
100,Район Зябликово,Управление «Моспромгаз»,workdays, ,
100,Район Зябликово,Управление «Моспромгаз»,phone,8 (495) 232-96-49,Секретариат
100,Район Зябликово,Управление «Моспромгаз»,phone,8 (495) 708-00-12,Факс
100,Район Зябликово,Управление «Моспромгаз»,phone,8 (495) 708-00-50,"Начальник Управления, Волков Виктор Михайлович"
100,Район Зябликово,Управление «Моспромгаз»,phone,8 (495) 708-00-30,"Главный инженер, Роташнюк Сергей Леонидович"
100,Район Зябликово,Управление «Моспромгаз»,phone,8 (495) 708-00-70,Производственно-технический отдел
100,Район Зябликово,Управление «Моспромгаз»,phone,8 (495) 708-00-21,Финансово-договорной отдел
100,Район Зябликово,Управление «Моспромгаз»,phone,8 (495) 708-00-75,Бухгалтерия
100,Район Зябликово,Управление «Моспромгаз»,url,http://www.mos-gaz.ru/contacts/territory/8047/,
101,Район Москворечье-Сабурово,Управление №7 по эксплуатации и ремонту газового хозяйства,address,"109390 г. Москва, Люблинская ул., дом 8",
101,Район Москворечье-Сабурово,Управление №7 по эксплуатации и ремонту газового хозяйства,workdays,13:00-17:00,четверг
101,Район Москворечье-Сабурово,Управление №7 по эксплуатации и ремонту газового хозяйства,phone,8 (499) 178-47-00,
101,Район Москворечье-Сабурово,Управление №7 по эксплуатации и ремонту газового хозяйства,phone,8 (499) 179-39-45,факс
101,Район Москворечье-Сабурово,Управление №7 по эксплуатации и ремонту газового хозяйства,phone,8 (495) 660-20-01,единая диспетчерская служба
101,Район Москворечье-Сабурово,Управление №7 по эксплуатации и ремонту газового хозяйства,url,http://www.mos-gaz.ru/contacts/territory/4305/,
101,Район Москворечье-Сабурово,Управление «Мосгортоп»,address,"Москва, Можайское шоссе, дом 3",
101,Район Москворечье-Сабурово,Управление «Мосгортоп»,workdays,8:00-16:00,понедельник-четверг
101,Район Москворечье-Сабурово,Управление «Мосгортоп»,workdays,8:00-15:00,пятница
101,Район Москворечье-Сабурово,Управление «Мосгортоп»,phone,8 495 287-96-11,начальник Управления
101,Район Москворечье-Сабурово,Управление «Мосгортоп»,phone,8 495 444-15-29,ведущий экономист
101,Район Москворечье-Сабурово,Управление «Мосгортоп»,url,http://www.mos-gaz.ru/contacts/territory/4301/,
101,Район Москворечье-Сабурово,Управление ГВСД и ГРС,address,"105064 Москва, Нижне-Сусальный пер., дом 5",
101,Район Москворечье-Сабурово,Управление ГВСД и ГРС,workdays,14:00-16:00,"вторник, четверг"
101,Район Москворечье-Сабурово,Управление ГВСД и ГРС,phone,8 (499) 261-88-83,
101,Район Москворечье-Сабурово,Управление ГВСД и ГРС,phone,8 (499) 267-55-46,
