areaid,okrug,area
100,ЮАО,Район Зябликово
101,ЮАО,Район Москворечье-Сабурово
102,ЮАО,Район Нагатино-Садовники
103,ЮАО,Район Нагатинский затон
104,ЮАО,Нагорный район
105,ЮАО,Район Орехово-Борисово Северное
106,ЮАО,Район Орехово-Борисово Южное
107,ЮАО,Район Царицыно
108,ЮАО,Район Чертаново Северное
109,ЮАО,Район Чертаново Центральное
110,ЮАО,Район Чертаново Южное
111,ЮВАО,Район Выхино-Жулебино
112,ЮВАО,Район Капотня
113,ЮВАО,Район Кузьминки
114,ЮВАО,Район Лефортово
115,ЮВАО,Район Люблино
116,ЮВАО,Район Марьино
117,ЮВАО,Нижегородский район
118,ЮВАО,Район Печатники
119,ЮВАО,Район Некрасовка
12,ЦАО,Район Арбат
120,ЮВАО,Рязанский район
121,ЮВАО,Район Текстильщики
122,ЮВАО,Южнопортовый Район
123,ЮЗАО,Академический район
124,ЮЗАО,Район Гагаринский
125,ЮЗАО,Район Зюзино
126,ЮЗАО,Район Коньково
127,ЮЗАО,Район Котловка
128,ЮЗАО,Ломоносовский район
129,ЮЗАО,Обручевский район
13,ЦАО,Басманный район
130,ЮЗАО,Район Северное Бутово
131,ЮЗАО,Район Теплый Стан
132,ЮЗАО,Район Черемушки
133,ЮЗАО,Район Южное Бутово
134,ЮЗАО,Район Ясенево
14,ЦАО,Район Замоскворечье
15,ЦАО,Красносельский район
16,ЦАО,Мещанский район
17,ЦАО,Пресненский район
18,ЦАО,Таганский район
19,ЦАО,Тверской район
20,ЦАО,Район Хамовники
21,ЦАО,Район Якиманка
22,ВАО,Район Богородское
23,ВАО,Район Вешняки
24,ВАО,Район Восточное Измайлово
25,ВАО,Район Гольяново
26,ВАО,Район Сокольники
27,ВАО,Район Измайлово
28,ВАО,Район Косино-Ухтомский
29,ВАО,Район Метрогородок
30,ВАО,Район Новокосино
31,ВАО,Район Новогиреево
32,ВАО,Район Перово
33,ВАО,Район Восточный
34,ВАО,Район Преображенское
35,ВАО,Район Северное Измайлово
36,ВАО,Район Соколиная Гора
37,ВАО,Район Ивановское
38,ЗАО,Район Дорогомилово
39,ЗАО,Район Крылатское
40,ЗАО,Район Кунцево
41,ЗАО,Можайский Район
42,ЗАО,Район Ново-Переделкино
43,ЗАО,Район Внуково
44,ЗАО,Район Проспект Вернадского
45,ЗАО,Район Раменки
46,ЗАО,Район Солнцево
47,ЗАО,Район Тропарево-Никулино
48,ЗАО,Район Филевский Парк
49,ЗАО,Район Фили-Давыдково
50,ЗАО,Район Очаково-Матвеевское
51,Зеленоград,Район Крюково
52,Зеленоград,Район Матушкино-Савелки
53,Зеленоград,Панфиловский район
54,САО,Район Аэропорт
55,САО,Район Беговой
56,САО,Бескудниковский Район
57,САО,Войковский Район
58,САО,Район Восточное Дегунино
59,САО,Головинский район
60,САО,Дмитровский район
61,САО,Район Западное Дегунино
62,САО,Район Коптево
63,САО,Район Левобережный
64,САО,Молжаниновский район
65,САО,Савеловский район
66,САО,Район Сокол
67,САО,Тимирязевский Район
68,САО,Район Ховрино
69,САО,Хорошевский район
70,СВАО,Алексеевский район
71,СВАО,Алтуфьевский район
72,СВАО,Бабушкинский район
73,СВАО,Район Бибирево
74,СВАО,Бутырский район
75,СВАО,Район Лианозово
76,СВАО,Лосиноостровский район
77,СВАО,Район Марфино
78,СВАО,Район Марьина роща
79,СВАО,Останкинский район
80,СВАО,Район Отрадное
81,СВАО,Район Ростокино
82,СВАО,Район Свиблово
83,СВАО,Район Северное Медведково
84,СВАО,Район Северный
85,СВАО,Район Южное Медведково
86,СВАО,Ярославский Район
87,СЗАО,Район Куркино
88,СЗАО,Район Митино
89,СЗАО,Район Покровское-Стрешнево
90,СЗАО,Район Северное Тушино
91,СЗАО,Район Строгино
92,СЗАО,Район Хорошево-Мневники
93,СЗАО,Район Щукино
94,СЗАО,Район Южное Тушино
95,ЮАО,Район Бирюлево Восточное
96,ЮАО,Район Бирюлево Западное
97,ЮАО,Район Братеево
98,ЮАО,Даниловский район
99,ЮАО,Донской район
