topicname	name	phone
Справочные службы государственных учреждений	Отдел адресно-справочной работы Управления Федеральной миграционной службы по городу Москве	8 (499) 978-28-20
Справочные службы государственных учреждений	Информационная справочная служба по оказанию государственных услуг	8 (495) 539-55-55
Справочные службы государственных учреждений	Call-центр для российских и иностранных туристов	8-800-220-00-01;8-800-220-00-02
Справочные службы государственных учреждений	Московское общество защиты прав потребителей	8 (495) 625-49-59;8 (495) 625-43-23
Справочные службы государственных учреждений	Военная комендатура города Москвы	8 (499) 261-11-20
Справочные службы государственных учреждений	Управление ФСБ по Москве и Московской области (приемная)Дежурный по Управлению	8 (495) 914-51-85;8 (495) 914-97-47
Справочные службы государственных учреждений	Московская ассоциация предприятий технического обслуживания и ремонта автотранспортных средств (по вопросам техосмотра и техсервиса, в том числе автомойки)	8 (495) 585-12-99(9.00—17.00 по р. д., пятн.: до 16.00)
Справочные службы государственных учреждений	 Прямая линия связи с гражданами по вопросам социальной защиты в административных округах города Москвы(в будние дни с 8.00 до 17.00, пятница − с 8.00 до 15.45)	
Справочные службы государственных учреждений	ЦАО	8 (499)-763-18-39
Справочные службы государственных учреждений	САО	8 (495) 900-42-33
Справочные службы государственных учреждений	СВАО	8 (495) 184-42-36
Справочные службы государственных учреждений	ВАО	8 (495) 963-01-75
Справочные службы государственных учреждений	ЮВАО	8 (495) 345-74-01
Справочные службы государственных учреждений	ЮАО	8 (495) 675-61-73
Справочные службы государственных учреждений	ЮЗАО	8 (495) 718-00-22;8 (499) 128-59-46
Справочные службы государственных учреждений	ЗАО	8 (499)131-90-01
Справочные службы государственных учреждений	СЗАО	8 (499)195-99-83
Справочные службы государственных учреждений	ЗелАО	8 (499)-735-05-71;8 (499)-735-09-61
Медицинская помощь	Московская cтанция скорой и неотложной медицинской помощи (врачебно-консультативный пульт)	8 (495) 628-00-03
Медицинская помощь	Перевозка больных	8 (495) 624-81-01
Медицинская помощь	Неотложная глазная помощь для взрослых	8 (495) 699-61-28
Медицинская помощь	Неотложная глазная помощь для детей	8 (495) 237-19-71
Медицинская помощь	Скорая психиатрическая медицинская помощь	8 (495) 625-31-01
Медицинская помощь	ГУ города Москвы «Московская служба психологической помощи населению» (по вопросам семейного, индивидуально-личностного консультирования; экстренной психологической помощи; психологической реабилитации)	8 (499) 173-09-09(09.00—17.00)
Медицинская помощь	Бесплатная фармацевтическая служба Ассоциации фармацевтических предприятий (о наличии лекарств в аптеках)	8 (495) 258-75-74
Помощь инвалидам	Всероссийское общество инвалидов	8 (495) 935-00-13
Помощь инвалидам	Всероссийское общество инвалидов-глухих	8 (499) 255-67-04
Помощь инвалидам	Всероссийское общество инвалидов-слепых (приемная)	8 (495) 625-37-30;8 (495) 698-27-34
Помощь инвалидам	Московская городская организация Всероссийского общества инвалидов-слепых	8 (499) 943-54-94
Телефоны доверия	Главное управление МЧС РФ по городу Москве	8 (495) 637-22-22
Телефоны доверия	Департамент жилищной политики и жилищного фонда города Москвы Улучшение жилищных условий(08.00—16.00 по раб. дн.)	8 (495) 690-39-60
Телефоны доверия	Управление Федеральной налоговой службы РФ по г. Москве (жалобы на противоправные действия сотрудников налоговых инспекций)	8 (495) 957-61-76(08.00—17.00 по раб. дн.; пятн. — до 15.45)
Телефоны доверия	Федеральная служба РФ по контролю за оборотом наркотиков (распространение, употребление и незаконный оборот наркотиков)	8 (495) 621-43-91(круглосуточно)
Телефоны доверия	Управление ФСКН России по Москве	8-495-316-86-55
Телефоны доверия	Служба по ЦАО	8-499-230-36-71
Телефоны доверия	Служба по САО	8-499-151-59-92
Телефоны доверия	Служба по СВАО	8-495-407-39-20
Телефоны доверия	Служба по ВАО	8-495-964-92-54
Телефоны доверия	Служба по ЮВАО	8-495-371-28-88
Телефоны доверия	Служба по ЮЗАО	8-499-124-68-49
Телефоны доверия	Служба по ЗАО	8-495-431-99-57
Телефоны доверия	Служба по ЮАО	8-495-343-11-82
Телефоны доверия	Служба по СЗАО	8-499-194-00-37
Телефоны доверия	Единый телефон доверия МЧС РФ	8 (499) 449-99-99
Безопасность	Центр временного содержания несовершеннолетних правонарушителей (дежурная часть)	8 (499) 201-90-11
Безопасность	Бюро регистрации несчастных случаев при ГУВД города Москвы	8 (495) 688-22-52
Безопасность	О происшествиях на дорогах (ГАИ)	8 (495) 608-82-24
Правозащита	Уполномоченный по правам человека	8 (495) 607-19-22;8 (495) 607-39-69(9:30-16:00)
Правозащита	Представительство Конституционного суда РФ в городе Москве	8 (495) 606-17-62
Правозащита	Генеральная прокуратура РФ (справочная)	8 (495) 987-56-56
Правозащита	Прокуратура города Москвы	8 (495) 951-71-97
Правозащита	Московская коллегия адвокатов	8 (495) 310-52-25
Правозащита	Московское агентство по развитию предпринимательства(неотложная правовая помощь малому бизнесу Москвы)	8 (495) 782-00-82(09.00—19.00; пятн. — до 18.00)
Правозащита	Управление Федеральной службы судебных приставов по городу Москве	8 (499) 270-59-24(пн-чт -  9:00 - 18:00, птн - 9:00 - 16.45)
Трудоустройство	Справочная по трудоустройству	8 (495) 995-55-99
Трудоустройство	Центр занятости молодежи «Перспектива»	8 (499) 190-16-05
Транспорт	Справочная Московского метрополитена	8 (495) 688-03-25;8 (495) 688-03-26
Транспорт	Аэрофлот (единая справочная)	8 (495) 223-55-55
Транспорт	Единая справочная железнодорожных вокзалов	8 (495) 266-93-33
Транспорт	Справочная Центрального автовокзала	8 (495) 468-04-00
Транспорт	Заказ билетов	8 (495) 468-34-01
Услуги Московской городской телефонной сети	Справочная МГТС	09, 009
Услуги Московской городской телефонной сети	Телеграмма по телефону	8 (495) 504-00-06
Услуги Московской городской телефонной сети	Справочная международной связи РОСТЕЛЕКОМ	07
Услуги Московской городской телефонной сети	Заказ междугородных переговоров	8-13
Услуги Московской городской телефонной сети	Международная телефонная связь (справочная)	8-190
