dtfrom	dtto	zones	ind_id	ind_name	code	regname	value
19.08.2013	25.08.2013	2|3	1000	Неизвестно (1000)	6	Басманный район 	Тинистый
19.08.2013	25.08.2013	2|3	1001	Неизвестно (1001)	6	Басманный район 	Тинистый
19.08.2013	25.08.2013	2|3	1002	Запах при 20C	6	Басманный район 	1
19.08.2013	25.08.2013	2|3	1003	Неизвестно (1003)	6	Басманный район 	20.5
19.08.2013	25.08.2013	2|3	1004	Цветность	6	Басманный район 	10
19.08.2013	25.08.2013	2|3	1005	Мутность	6	Басманный район 	<0.30
19.08.2013	25.08.2013	2|3	1006	Водородный показатель (pH)	6	Басманный район 	7.2
19.08.2013	25.08.2013	2|3	1013	Железо общее	6	Басманный район 	<0.05
19.08.2013	25.08.2013	2|3	1050	Термотолерантные колиформные бактерии (ТКБ)	6	Басманный район 	отс.
19.08.2013	25.08.2013	2|3	1053	Общее микробное число (ОМЧ)	6	Басманный район 	отс.
19.08.2013	25.08.2013	2|3	1121	Остаточный хлор	6	Басманный район 	0.16
19.08.2013	25.08.2013	2|3	1200	Запах при 60C	6	Басманный район 	1-2
19.08.2013	25.08.2013	2|3	5147	Неизвестно (5147)	6	Басманный район 	1
19.08.2013	25.08.2013	2|3	5148	Неизвестно (5148)	6	Басманный район 	Тинистый
19.08.2013	25.08.2013	2|3	5501	Общие колиформные бактерии (ОКБ)	6	Басманный район 	отс.
19.08.2013	25.08.2013	1	1000	Неизвестно (1000)	8	Район Замоскворечье 	Тинистый
19.08.2013	25.08.2013	1	1001	Неизвестно (1001)	8	Район Замоскворечье 	Тинистый
19.08.2013	25.08.2013	1	1002	Запах при 20C	8	Район Замоскворечье 	1
19.08.2013	25.08.2013	1	1003	Неизвестно (1003)	8	Район Замоскворечье 	20.3
19.08.2013	25.08.2013	1	1004	Цветность	8	Район Замоскворечье 	<5
19.08.2013	25.08.2013	1	1005	Мутность	8	Район Замоскворечье 	<0.30
19.08.2013	25.08.2013	1	1006	Водородный показатель (pH)	8	Район Замоскворечье 	7.4
19.08.2013	25.08.2013	1	1013	Железо общее	8	Район Замоскворечье 	<0.05
19.08.2013	25.08.2013	1	1050	Термотолерантные колиформные бактерии (ТКБ)	8	Район Замоскворечье 	отс.
19.08.2013	25.08.2013	1	1053	Общее микробное число (ОМЧ)	8	Район Замоскворечье 	отс.
19.08.2013	25.08.2013	1	1121	Остаточный хлор	8	Район Замоскворечье 	0.21
19.08.2013	25.08.2013	1	1200	Запах при 60C	8	Район Замоскворечье 	1
19.08.2013	25.08.2013	1	5147	Неизвестно (5147)	8	Район Замоскворечье 	1
