key	code	regname	value
1002	6	Басманный район 	1
1002	8	Район Замоскворечье 	1
1002	5	Красносельский район 	1
1002	4	Мещанский район 	1
1002	2	Пресненский район 	1
1002	7	Таганский район 	1
1002	3	Тверской район 	1
1002	1	Район Хамовники 	1
1002	10	Район Якиманка 	1
1002	22	Район Аэропорт 	1
1002	24	Район Беговой 	1
1002	12	Бескудниковский район 	1
1002	20	Войковский район 	1
1002	18	Головинский район 	1
1002	11	Район Восточное Дегунино 	2
1002	14	Район Западное Дегунино 	1
1002	13	Дмитровский район 	1
1002	19	Район Коптево 	1
1002	17	Район Левобережный 	1
1002	27	Молжаниновский район 	1
1002	25	Савёловский район 	1
1002	21	Район Сокол 	1
1002	26	Тимирязевский район 	1
1002	16	Район Ховрино 	1
1002	23	Хорошёвский район 	1
1002	42	Алексеевский район 	1
1002	30	Алтуфьевский район 	1
1002	35	Бабушкинский район 	1
1002	29	Район Бибирево 	1
1002	38	Бутырский район 	1
1002	28	Район Лианозово 	1
1002	36	Лосиноостровский район 	1
1002	39	Район Марфино 	2
1002	40	Район Марьина роща 	1
1002	33	Район Северное Медведково 	1
1002	32	Район Южное Медведково 	1
1002	43	Останкинский район 	1
1002	31	Район Отрадное 	1
1002	41	Район Ростокино 	1
1002	34	Район Свиблово 	1
1002	44	Район Северный 	0-1
1002	37	Ярославский район 	1
1002	54	Район Богородское 	1
1002	49	Район Вешняки 	1
1002	61	Район Восточный 	1-2
1002	56	Район Гольяново 	1
1002	47	Район Ивановское 	1
1002	59	Район Восточное Измайлово 	1
1002	58	Район Измайлово 	1-2
1002	57	Район Северное Измайлово 	1
1002	51	Район Косино-Ухтомский 	2
1002	55	Район Метрогородок 	1
1002	46	Район Новогиреево 	1
1002	50	Район Новокосино 	1
1002	45	Район Перово 	1
1002	53	Район Преображенское 	1
1002	60	Район Соколиная гора 	1
1002	52	Район Сокольники 	1
1002	68	Район Выхино-Жулебино 	1-2
1002	62	Район Капотня 	0
1002	67	Район Кузьминки 	1
1002	71	Район Лефортово 	1
1002	64	Район Люблино 	1
1002	63	Район Марьино 	1
1002	74	Район Некрасовка 	1-2
1002	70	Нижегородский район 	1
1002	65	Район Печатники 	1-2
1002	69	Рязанский район 	1-2
1002	66	Район Текстильщики 	1-2
1002	72	Южнопортовый район 	1
1002	80	Район Бирюлёво Восточное 	1-2
1002	79	Район Бирюлёво Западное 	0-1
1002	78	Район Братеево 	0
1002	91	Даниловский район 	0
1002	90	Донской район 	0
1002	77	Район Зябликово 	1-2
1002	82	Район Москворечье-Сабурово 	1
1002	83	Район Нагатино-Садовники 	1
1002	84	Район Нагатинский затон 	0
1002	88	Нагорный район 	1
1002	75	Район Орехово-Борисово Северное 	1-2
1002	76	Район Орехово-Борисово Южное 	1
1002	81	Район Царицыно 	0
1002	85	Район Чертаново Северное 	0
1002	86	Район Чертаново Центральное 	1-2
1002	87	Район Чертаново Южное 	1
1002	101	Академический район 	1
1002	104	Район Северное Бутово 	0
1002	105	Район Южное Бутово 	1
1002	98	Гагаринский район 	1-2
1002	99	Район Зюзино	1
1002	96	Район Коньково 	0
1002	102	Район Котловка 	1
1002	97	Ломоносовский район 	1
1002	103	Обручевский район 	0
1002	95	Район Тёплый Стан 	0
1002	100	Район Черёмушки 	1-2
1002	94	Район Ясенево 	1
1002	122	Район Внуково 	1
1002	116	Район Дорогомилово 	1
1002	106	Район Крылатское 	1
1002	107	Район Кунцево 	1
1002	108	Можайский район 	1
1002	121	Район Ново-Переделкино 	0
1002	112	Район Очаково-Матвеевское 	1
1002	119	Район Проспект Вернадского 	1
1002	114	Район Раменки 	1
1002	120	Район Солнцево 	0-1
1002	113	Район Тропарёво-Никулино 	0-1
1002	111	Район Филёвский парк 	1
1002	109	Район Фили-Давыдково 	1
1002	130	Район Куркино 	1
1002	129	Район Митино 	1
1002	125	Район Покровское-Стрешнево 	1
1002	128	Район Строгино 	1
1002	93	Район Северное Тушино 	1
1002	92	Район Южное Тушино 	1
1002	127	Район Хорошёво-Мневники 	1
1002	126	Район Щукино 	1
1002	131	Район Крюково 	1
1002	132	Район Матушкино 	1
1002	134	Район Савёлки 	1
1002	135	Район Силино 	1
1002	137	Район Старое Крюково 	1
