№ строки	Название	Адрес	Число парковочных мест	Время работы
1	Парковка такси	Волоколамское ш., д.90	7.0	Круглосуточно
2	Парковка такси	Пл. Рогожская Застава, 2	2.0	Круглосуточно
3	Парковка такси	Улица Никольская, 25	2.0	Круглосуточно
4	Парковка такси	Митинская ул., д.27	2.0	Круглосуточно
5	Парковка такси	Краснодонская	4.0	Круглосуточно
6	Парковка такси	Линии Окт. Железной Дороги, 1 с б	5.0	Круглосуточно
7	Парковка такси	Профсоюзная ул., д. 91	4.0	Круглосуточно
8	Парковка такси	Новоясеневский пр-т, д. 1	4.0	Круглосуточно
9	Парковка такси	Новоясеневский пр-т, д. 3А	4.0	Круглосуточно
10	Парковка такси	Вавилова ул., д. 8	4.0	Круглосуточно
11	Парковка такси	Каховка ул., д. 29А	3.0	Круглосуточно
12	Парковка такси	Шоссе Энтузиастов, д.26	3.0	Круглосуточно
13	Парковка такси	Ломоносовский пр-т, МГУ	4.0	Круглосуточно
14	Парковка такси	Булатниковский проезд,14	4.0	круглосуточно
15	Парковка такси	Варшавское ш.,д.158 к.2	4.0	круглосуточно
16	Парковка такси	Полоцкая, вл. 7	2.0	Круглосуточно
17	Парковка такси	Варшавское ш.,26	50.0	круглосуточно
18	Парковка такси	Улица Нижегородская, 17	4.0	Круглосуточно
19	Парковка такси	Пр-кт Адропова 36	4.0	круглосуточно
20	Парковка такси	Тверская Застава пл., 1	2.0	Круглосуточно
21	Парковка такси	Пл. Рогожская Застава, 2	2.0	Круглосуточно
22	Парковка такси	Рязанский пр-д	3.0	Круглосуточно
23	Парковка такси	Площадь Киевского вокзала, д.1	11.0	Круглосуточно
24	Парковка такси	Улица Ладожская, 2/37	4.0	Круглосуточно
25	Парковка такси	Театральный пр-д, 2	5.0	Круглосуточно
26	Парковка такси	Пл. Славянская	5.0	Круглосуточно
27	Парковка такси	каширское шоссе	4.0	круглосуточно
28	Парковка такси	Улица Краснопрудная, 1	20.0	Круглосуточно
29	Парковка такси	Хордовый проезд	4.0	круглосуточно
30	Парковка такси	Проктируемый пр 5396 вл.15	3.0	круглосуточно
31	Парковка такси	Дмитрия Донского б-р, д. 2, к. 1	4.0	Круглосуточно
32	Парковка такси	Старокачаловская ул., д. 1Б	3.0	Круглосуточно
33	Парковка такси	Улица Привольная, д.71,к.1	4.0	Круглосуточно
34	Парковка такси	Тихорецкий б-р, д. 1	20.0	5.00-20.00
35	Парковка такси	ул. Гурьянова, д.2 стр.1	4.0	Круглосуточно
36	Парковка такси	Ленинский пр-т, д. 41	3.0	Круглосуточно
37	Парковка такси	Дмитрия Донского б-р, д. 5	4.0	Круглосуточно
38	Парковка такси	Профсоюзная ул., д. 102	4.0	Круглосуточно
39	Парковка такси	Профсоюзная ул., д. 56	4.0	Круглосуточно
40	Парковка такси	Новоясеневский пр-т, д. 11	3.0	Круглосуточно
41	Парковка такси	Новоясеневский пр-т, д. 24	4.0	Круглосуточно
42	Парковка такси	Литовский б-р, д. 22	3.0	Круглосуточно
43	Парковка такси	Вавилова ул., д. 8	4.0	Круглосуточно
44	Парковка такси	Госпитальная ул., д.14/1	4.0	Круглосуточно
45	Парковка такси	Улица Матвеевская, д.2	4.0	Круглосуточно
46	Парковка такси	Севастопольский пр-т, д. 24Б	4.0	Круглосуточно
47	Парковка такси	Каширское шоссе, 42/1	4.0	круглосуточно
48	Парковка такси	Мусы Джалиля 2 к.3	4.0	9.00-23.00
49	Парковка такси	Интернациональная улица, д.2	2.0	Круглосуточно
50	Парковка такси	Маршала Жукова проспект, 18	3.0	Круглосуточно
51	Парковка такси	Сходненская ул., д.37	4.0	Круглосуточно
52	Парковка такси	ул. Краснодарская, ТЦ Москва	5.0	Круглосуточно
53	Парковка такси	Карачаровское ш., д.15	4.0	Круглосуточно
54	Парковка такси	Госпитальная ул., д.14/1	4.0	Круглосуточно
55	Парковка такси	Энтузиастов ш., д.26	3.0	Круглосуточно
56	Парковка такси	Каширское шоссе, 80	3.0	круглосуточно
57	Парковка такси	Молодогвардейская	3.0	Круглосуточно
58	Парковка такси	Наро Фоминская 17	2.0	Круглосуточно
59	Парковка такси	1 я Чоботовская аллея, д.14 А	5.0	Круглосуточно
60	Парковка такси	Маршала Катукова ул., д.25	3.0	Круглосуточно
61	Парковка такси	Большая Черкизовская ул., д. 125	6.0	Круглосуточно
62	Парковка такси	ул. Трофимова, д.35/20	5.0	Круглосуточно
63	Парковка такси	Масловка Нижняя ул., д10	3.0	Круглосуточно
64	Парковка такси	Осенний бульвар	3.0	Круглосуточно
65	Парковка такси	проспект Вернадского, д.14а	2.0	Круглосуточно
66	Парковка такси	Лобачевского, д 80	5.0	Круглосуточно
67	Парковка такси	Тимирязевская ул., д.17	3.0	Круглосуточно
68	Парковка такси	Беговая ул., д.22	3.0	Круглосуточно
69	Парковка такси	Бухвостова 1я ул., д. 11	3.0	Круглосуточно
70	Парковка такси	Дмитровское шоссе, д.13	4.0	Круглосуточно
71	Парковка такси	Щербаковская ул., д. 53	3.0	Круглосуточно
72	Парковка такси	Загородное ш.,д 1	4.0	круглосуточно
73	Парковка такси	ул. Шарикоподшипниковская,д 13/2	5.0	Круглосуточно
74	Парковка такси	напр.Ленинградское шоссе, д.36 стр.39	4.0	Круглосуточно
75	Парковка такси	Фестивальная. д.2б	4.0	Круглосуточно
76	Парковка такси	Локомотивный пр., 2 стр.б	5.0	Круглосуточно
77	Парковка такси	Ленинградское шоссе, д.11	4.0	Круглосуточно
78	Парковка такси	Площадь Ганецкого, д. 1а	4.0	Круглосуточно
79	Парковка такси	Ленинский пр-т, д. 38	3.0	Круглосуточно
80	Парковка такси	Строгинский бул., д.30	3.0	Круглосуточно
81	Парковка такси	Профсоюзная ул., д. 104	4.0	Круглосуточно
82	Парковка такси	Профсоюзная ул., д. 129А	4.0	Круглосуточно
83	Парковка такси	Новоясеневский пр-т, д. 3А	4.0	Круглосуточно
84	Парковка такси	Рязанский пр-т, д.1	3.0	Круглосуточно
85	Парковка такси	Варшавское ш.,5	3.0	круглосуточно
86	Парковка такси	Мастеркова ул., д.6	5.0	круглосуточно
87	Парковка такси	Котельническая наб., 1/15	4.0	Круглосуточно
88	Парковка такси	Болотная пл.,	4.0	Круглосуточно
89	Парковка такси	Комсомольская пл., 2	20.0	Круглосуточно
90	Парковка такси	Улица Новорязанская, 10	5.0	Круглосуточно
91	Парковка такси	Пл. Курского вокзала	20.0	Круглосуточно
92	Парковка такси	Улица Волхонка, 13	5.0	Круглосуточно
93	Парковка такси	Улица Красная Пресня, 4	2.0	Круглосуточно
94	Парковка такси	Театральный пр-д, 1/6	4.0	Круглосуточно
95	Парковка такси	Домодедовская, 28	4.0	круглосуточно
96	Парковка такси	Тюрина, д.4	4.0	круглосуточно
97	Парковка такси	Кировоградская д.9, к.4	4.0	круглосуточно
98	Парковка такси	Улица Шолохова, д.15а	3.0	Круглосуточно
99	Парковка такси	Улица Арбат, 1	3.0	Круглосуточно
100	Парковка такси	Цветной б-р, 15	4.0	Круглосуточно
101	Парковка такси	Пр-кт Адропова 39	4.0	10.00-18.00
102	Парковка такси	Пл. Тверская Застава	10.0	Круглосуточно
103	Парковка такси	Улица Серафимовича, 2 корп. 10	2.0	Круглосуточно
104	Парковка такси	Свободы ул., д.71	3.0	Круглосуточно
105	Парковка такси	Митинская ул., д.36, корп.1	4.0	Круглосуточно
106	Парковка такси	Дубравная ул., 34/29	4.0	Круглосуточно
107	Парковка такси	Строгинский бул., д.9	4.0	Круглосуточно
108	Парковка такси	Родионовская ул., д.3	3.0	Круглосуточно
109	Парковка такси	Тихорецкий б-р, д. 1	40.0	5.00-20.00
110	Парковка такси	Ореховый бул,24, к.1	4.0	круглосуточно
111	Парковка такси	Сколковское шоссе, д.31	2.0	Круглосуточно
112	Парковка такси	Энтузиастов ш., 7А	4.0	Круглосуточно
113	Парковка такси	Мясницкий пр-д., 4/2	5.0	Круглосуточно
114	Парковка такси	Б. Сухаревская пл., 2	4.0	Круглосуточно
115	Парковка такси	Улица Крымский Вал, 9	6.0	Круглосуточно
116	Парковка такси	3888 проектируемый пр.	4.0	круглосуточно
117	Парковка такси	Пречистенские Ворота пл., вл. 1 стр.6	3.0	Круглосуточно
118	Парковка такси	Красный Казанец	2.0	Круглосуточно
119	Парковка такси	Щукинская ул. д.42	3.0	Круглосуточно
