№ строки	Название
1	Выставочная
2	Тушинская
3	Крылатское
4	Фили
5	Чкаловская
6	Перово
7	Охотный Ряд
8	Библиотека им. Ленина
9	Парк Культуры (СЛ)
10	Академическая
11	Профсоюзная
12	Коньково
13	Новоясеневская
14	Чертановская
15	Белорусская (ЗМЛ)
16	Кантемировская
17	Домодедовская
18	Коломенская
19	Войковская
20	Щелковская
21	Арбатская (АПЛ)
22	Достоевская
23	Пушкинская
24	Октябрьское Поле
25	Сходненская
26	Молодежная
27	Багратионовская
28	Кутузовская
29	Марьино
30	Площадь Ильича
31	Марксистская
32	Свиблово
33	ВДНХ
34	Ленинский Проспект
35	Новые Черемушки
36	Дмитровская
37	Чеховская
38	Бабушкинская
39	Ботанический Сад
40	Алексеевская
41	Сухаревская
42	Тургеневская
43	Третьяковская
44	Калужская
45	Беляево
46	Владыкино
47	Цветной Бульвар
48	Полянка
49	Серпуховская
50	Тульская
51	Нагатинская
52	Пражская
53	Улица Академика Янгеля
54	Аэропорт
55	Речной Вокзал
56	Курская (АПЛ)
57	Новослободская
58	Белорусская (КЛ)
59	Парк Культуры (КЛ)
60	Дубровка
61	Волоколамская
62	Трубная
63	Киевская (КЛ)
64	Бульвар Дмитрия Донского
65	Кузнецкий Мост
66	Печатники
67	Сокольники
68	Красные Ворота
69	Проспект Вернадского
70	Бибирево
71	Савеловская
72	Южная
73	Каширская (ЗМЛ)
74	Автозаводская
75	Измайловская
76	Партизанская
77	Боровицкая
78	Проспект Мира (КЛ)
79	Теплый Стан
80	Старокачаловская
81	Улица Горчакова
82	Кунцевская (АПЛ)
83	Китай-город (ТКЛ)
84	Александровский Сад
85	Волжская
86	Крестьянская Застава
87	Римская
88	Новогиреево
89	Черкизовская
90	Чистые Пруды
91	Юго-Западная
92	Октябрьская (КРЛ)
93	Шаболовская
94	Ясенево
95	Тимирязевская
96	Нагорная
97	Маяковская
98	Электрозаводская
99	Бауманская
100	Площадь Революции
101	Краснопресненская
102	Павелецкая (ЗМЛ)
103	Зябликово
104	Шипиловская
105	Марьина Роща
106	Международная
107	Планерная
108	Пионерская
109	Преображенская Площадь
110	Лубянка
111	Проспект Мира (КРЛ)
112	Петровско-Разумовская
113	Братиславская
114	Каховская
115	Тверская
116	Павелецкая (КЛ)
117	Орехово
118	Семеновская
119	Смоленская (АПЛ)
120	Курская (КЛ)
121	Комсомольская (КЛ)
122	Кузьминки
123	Митино
124	Парк Победы
125	Улица Скобелевская
126	Бунинская Аллея
127	Полежаевская
128	Филевский Парк
129	Арбатская (ФЛ)
130	Шоссе Энтузиастов
131	Авиамоторная
132	Улица Подбельского
133	Кропоткинская
134	Фрунзенская
135	Медведково
136	Китай-город (КРЛ)
137	Алтуфьево
138	Динамо
139	Новокузнецкая
140	Красногвардейская
141	Киевская (АПЛ)
142	Октябрьская (КЛ)
143	Добрынинская
144	Таганская (ТКЛ)
145	Каширская (КХЛ)
146	Славянский Бульвар
147	Севастопольская
148	Сокол
149	Царицыно
150	Таганская (КЛ)
151	Менделеевская
152	Воробьевы Горы
153	Борисово
154	Аннино
155	Бульвар Адмирала Ушакова
156	Улица 1905 Года
157	Киевская (ФЛ)
158	Люблино
159	Кожуховская
160	Спортивная
161	Университет
162	Рижская
163	Третьяковская (КРЛ)
164	Отрадное
165	Нахимовский Проспект
166	Театральная
167	Водный Стадион
168	Первомайская
169	Рязанский Проспект
170	Текстильщики
171	Волгоградский Проспект
172	Пролетарская
173	Сретенский Бульвар
174	Щукинская
175	Мякинино
176	Варшавская
177	Баррикадная
178	Беговая
179	Кунцевская (ФЛ)
180	Студенческая
181	Смоленская (ФЛ)
182	Красносельская
183	Комсомольская (СЛ)
184	Строгино
185	Выхино
