№ строки	Название	Адрес	Административный округ	Район	Юридический адрес	Телефон	Факс	Сайт	Электронная почта
1	Государственное бюджетное учреждение культуры города Москвы «Москонцерт»	125040, г.Москва, Ленинградский пр-т, д.30 стр.2	Северный АО	Беговой	125040, г.Москва, Ленинградский пр-т, д.30 стр.2	(495) 612-51-60	(495) 612-51-60	mosconcert.com	mosconcert@mail.ru
2	Государственное бюджетное учреждение культуры города Москвы «Москонцерт»	107078, г.Москва, ул. Каланчевская, д.15	Северный АО	Беговой	125040, г.Москва, Ленинградский пр-т, д.30 стр.2	(495) 612-51-60	(495) 612-51-60	mosconcert.com	mosconcert@mail.ru
3	Концертный зал Рахманиновского общества	Малый Толмачевский пер., д.9				(495) 951 20 83			
4	Международный союз музыкальных деятелей	Брюсов пер., д. 2/14 стр.8				(495) 629 60 29			
5	Концертный зал РАМ им. Гнесиных	Малый Ржевский пер., д.1				(495) 690 67 37, 699 22 62, 690 24 22			
6	Акс-арт	Большой Харитоньевский пер., д.10				(495) 623 51 02, 623 41 23			
7	Crocus City Hall	65-66-й км МКАД, ТВК «Крокус Сити»				(499) 550 00 55			
8	Кремлевский дворец	Кремль				(495) 917 23 36, 628 52 32			
9	ДК «Мир»	МО, г.Реутов, улица Победы, д.20				(495) 528 17 40			
10	Tigroom	улица Дубининская, д.76				(495)225 44 23			
11	Концертно-выставочный центр	проспект Мира, д.119 стр.82				(499) 760 22 16, 760 23 77			
12	Дом журналиста	Никитский бульвар, д.8А				(495) 691 09 87, 222 10 60, 691 56 98			
13	Центральный клуб МВД России	улица Большая Лубянка, д.13/16 стр.1				(495) 667 12 83, 667 12 03			
14	Большой зал Консерватории	Б.Никитская, 13				(495) 629 94 01			
15	Рахманиновский зал Консерватории	ул. Большая Никитская, д.13/6				(495) 629 02 94, 699 94 01			
16	Малый зал Консерватории	Б.Никитская, 13				(495) 629 94 01, 629 74 46			
17	Культурный центр «Покровские ворота»	Покровка, 27, стр. 1				(495) 223 58 10, 223 58 20			
18	Концертный зал камерного оркестра Kremlin	Звенигородское ш., 11				(495) 755 77 95			
19	ДК МГТУ им. Баумана	Рубцовская наб., 2/18				(499) 263 62 72, 263 62 61			
20	Архиповский музыкальный салон	Брюсов пер., 2/14, стр. 8				(495) 692 01 66, 692 10 03			
21	Дом ученых	улица Пречистенка, д.16				(495) 637 45 55			
22	Камерный зал Московской филармонии	Тверская, 29, стр. 3				(495) 232 53 53, 699 22 62			
23	Концертный зал имени Мясковского	Б.Никитская, 13				(495) 629 94 01			
24	Дом композиторов	103009, г.Москва, Брюсов пер., д.8-10 стр.2				(495) 629 13 65			
25	Большая аудитория Политехнического музея	Новая пл., 3/4, 9 подъезд				(495) 623 69 16			
26	Гнесинский на Поварской	Поварская, 38				(495) 691 38 55			
27	Культурный центр МГУ	мкр.Ленинские Горы, д.1				(495) 939 10 59, 939 44 76			
28	На Кисловке	Б.Кисловский пер., 4, стр. 2				(495) 691 00 92			
29	ДК РГУНГ им. Губкина	Ленинский просп., 65/4				(499) 233 92 25			
30	Дворец культуры МГТУ им. Баумана	Рубцовская наб., 2/18				(499) 263 62 61			
31	Концертный зал Международного университета	Ленинградский просп., 17				(495) 946 10 49			
32	Оркестрион	Гарибальди, 19				(495) 504 07 85, (499) 128 19 20, 128 17 82			
33	Дворец на Яузе	пл. Журавлева, 1				(499) 558 02 08, (495) 645 22 45			
34	Академия хорового искусства	Фестивальная, 2				(499) 459 62 74			
35	Академический	Ленинский просп., 32а				(495) 930 20 14			
36	ДК Метростроя	Костомаровский пер., 3, стр. 1				(495) 916 07 13			
37	Magic Center	5-й Лучевой просек, 7, стр. 2, КВЦ«Сокольники»				(499) 268 76 82			
38	МДМ	Комсомольский просп., 28				(495) 788 46 46			
39	Колонный зал Дома союзов	Б.Дмитровка, 1				(495) 692 07 36, 692 70 65, 692 00 52			
40	Москва	Триумфальная пл., 1, вход с 1-й Брестской				(495) 228 20 80			
41	Мир	Цветной б-р, 11, стр. 2				(495) 624 96 47, 644 22 22			
42	Arma Music Hall	Ниж.Сусальный пер., 5, стр. 5а, территория завода «Арма»				(495) 775 55 72, 410 54 52			
43	Меридиан	Профсоюзная, 61				(495) 333 35 38			
44	Известия Hall	Пушкинская пл., 5				(495) 364 05 05			
45	Stadium Live	Ленинградский просп., 80, корп. 17				(495) 540 55 40			
46	Пятая студия на Малой Никитской	М.Никитская, 24				(495) 780 56 05			
47	Государственное бюджетное учреждение культуры города Москвы «Московский государственный академический театр танца «Гжель»	123362, г.Москва, ул. Свободы, д.17	Северо-Западный АО	Покровское-Стрешнево	123362, г.Москва, ул. Свободы, д.17	(495) 490-41-50, (495) 491-19-30	(495) 490-41-50	gzhel-zakharov.ru	info@theatregzhel.ru
48	Государственное бюджетное учреждение культуры города Москвы «Московский культурный центр народного творчества «Русская душа» под руководством Людмилы Николаевой»	123308, г.Москва, 3-й Силикатный пр-д, д.3 стр.2	Северо-Западный АО	Хорошево-Мневники	123308, г.Москва, 3-й Силикатный пр-д, д.3 стр.2	(495) 768-62-87		russiansoul.ru	ovrd@mail.ru
49	Государственное бюджетное учреждение культуры города Москвы «Москонцерт»	103045, г.Москва, ул. Сретенка, д.34/1 стр.5	Северный АО	Беговой	125040, г.Москва, Ленинградский пр-т, д.30 стр.2	(495) 612-51-60	(495) 612-51-60	mosconcert.com	mosconcert@mail.ru
50	Государственное бюджетное учреждение культуры города Москвы «Москонцерт»	119034, г.Москва, пер. Сеченовский, д.5	Северный АО	Беговой	125040, г.Москва, Ленинградский пр-т, д.30 стр.2	(495) 612-51-60	(495) 612-51-60	mosconcert.com	mosconcert@mail.ru
51	Государственное бюджетное учреждение культуры города Москвы «Творческое объединение «Созвездие»	129301, г.Москва, ул. Касаткина, д.15	Северо-Восточный АО	Алексеевский	129301, г.Москва, ул. Касаткина, д.15	(495) 697-11-45, (495) 691-44-43	(495) 697-11-45	rusfantasy-dance.ru	info@rusfantasy-dans.ru
